timestep,i,j,theta1,theta3,target_density,reconstructed_density,difference
fine,3,2,-2.7750735106709836,-2.879793265790644,0.055054847613179005,0.056567851481792,0.001513003868612993
fine,3,3,-2.7750735106709836,-2.7750735106709836,0.053715521610166884,0.05233604700005099,-0.001379474610115894
fine,3,4,-2.7750735106709836,-2.670353755551324,0.05445642535651424,0.05257232655179183,-0.0018840988047224075
fine,3,5,-2.7750735106709836,-2.5656340004316647,0.048614684279546266,0.05035721106920419,0.0017425267896579236
fine,3,6,-2.7750735106709836,-2.4609142453120048,0.048244232406372906,0.04869670564885945,0.0004524732424865466
fine,3,7,-2.7750735106709836,-2.356194490192345,0.045793550783839884,0.04636913860438805,0.0005755878205481665
fine,3,8,-2.7750735106709836,-2.2514747350726854,0.045936032273522026,0.04359334145714632,-0.0023426908163757046
fine,3,9,-2.7750735106709836,-2.1467549799530254,0.044397232184955095,0.0429116329558478,-0.0014855992291072928
fine,3,10,-2.7750735106709836,-2.0420352248333655,0.04166158758305782,0.039232893611376045,-0.0024286939716817724
fine,3,11,-2.7750735106709836,-1.9373154697137058,0.040521735665600696,0.03701667690294544,-0.003505058762655257
fine,3,12,-2.7750735106709836,-1.8325957145940461,0.037957068851322245,0.03584618370641974,-0.0021108851449025065
fine,3,13,-2.7750735106709836,-1.7278759594743862,0.036560750252437275,0.0334531522603781,-0.0031075979920591745
fine,3,14,-2.7750735106709836,-1.6231562043547265,0.03502195016387008,0.03379563523218395,-0.0012263149316861302
fine,3,15,-2.7750735106709836,-1.5184364492350668,0.03433803901339588,0.032077054166098816,-0.0022609848472970664
fine,3,16,-2.7750735106709836,-1.413716694115407,0.031003972154833786,0.030210721562524013,-0.000793250592309773
fine,3,17,-2.7750735106709836,-1.3089969389957472,0.030006601727058744,0.03008033088440948,7.372915735073468e-05
fine,3,18,-2.7750735106709836,-1.2042771838760875,0.029351186874520957,0.028217307073327976,-0.0011338798011929808
fine,3,19,-2.7750735106709836,-1.0995574287564276,0.026843512656115284,0.02929668237477595,0.0024531697186606673
fine,3,20,-2.7750735106709836,-0.9948376736367679,0.02678652006024237,0.026105184002275194,-0.0006813360579671773
fine,3,21,-2.7750735106709836,-0.8901179185171082,0.026473060782941774,0.02491635325217738,-0.0015567075307643952
