I1,I2,I3,theta1,theta3,log_rho_ss,rho_ss
1.0,1.0,1.0,0.0,0.0,-7.4923890356292935,0.0005573099354989273
2.0,2.0,2.0,1.0,-1.0,-9.404918917838526,8.231815182149542e-05
4.0,4.0,4.0,-2.0,2.0,-17.008079420848283,4.10662417794487e-08
