entropy_center,positive_count,negative_count,log_probability_ratio,poisson_standard_error,usable
0.027169260341603607,81599,79372,0.027671345770002798,0.0049853739600000824,1
0.08150778102481082,63067,59351,0.060728683234568745,0.005718834562429133,1
0.13584630170801804,50801,44757,0.1266681823612375,0.0064828639980607375,1
0.1901848223912257,41938,35985,0.15309015220478628,0.007185685759839281,1
0.24452334307443335,36283,29130,0.2195807410443786,0.007867018962517486,1
0.29886186375764057,31479,24264,0.2603268864576036,0.008542864275582669,1
0.3532003844408478,27928,20112,0.32831311795484325,0.00924813053960065,1
0.407538905124055,24505,16847,0.3747045789574438,0.010008283944904448,1
0.4618774258072622,21765,14454,0.4093319821434715,0.010729880043832029,1
0.5162159464904694,19691,12035,0.4923426073279979,0.011570462697943422,1
0.5705544671736766,17589,10365,0.5288389607624447,0.012382739959984268,1
0.6248929878568839,15934,8953,0.5764665193061553,0.01320807648720767,1
0.6792315085400911,14404,7805,0.6127413918192334,0.014055182594190026,1
0.7335700292232987,13201,6650,0.6856757296308598,0.015037545572056327,1
0.7879085499065064,11929,5749,0.7299464836586548,0.016055298750984267,1
0.8422470705897136,10949,4916,0.8007529361874994,0.017168283382888064,1
0.8965855912729208,9958,4318,0.8355839161273754,0.018221154461547238,1
0.950924111956128,9224,3648,0.9276297107546729,0.019558518427972394,1
1.0052626326393352,8504,3313,0.9426825177218879,0.020480062330350168,1
1.0596011533225425,7747,2768,1.0291806338943423,0.022143936002394504,1
1.1139396740057497,7207,2465,1.0728609684476507,0.023333098858955126,1
1.1682781946889569,6697,2207,1.1100255376533137,0.0245443344189806,1
1.222616715372164,6262,1888,1.198981555180905,0.026255559518754513,1
1.2769552360553718,5758,1612,1.2731145481055475,0.028178339344720978,1
1.3312937567385794,5157,1387,1.3132118737361274,0.030247177094750204,1
1.3856322774217866,5041,1253,1.3920637991865625,0.031566721964603285,1
1.4399707981049938,4478,1103,1.4011427779051977,0.03361446553412757,1
1.494309318788201,4250,978,1.4691645918836451,0.035465321162688225,1
1.5486478394714083,4020,847,1.5573364869610122,0.037807324200204655,1
1.6029863601546155,3770,719,1.6569689227210098,0.040694871587640694,1
1.6573248808378227,3484,651,1.6774266957638242,0.042698064554745924,1
1.71166340152103,3275,613,1.675708212133141,0.044007554825965196,1
1.7660019222042371,3079,520,1.7785313363490274,0.04741157765836487,1
1.8203404428874448,2723,455,1.789192073722809,0.05064626551176726,1
1.8746789635706524,2709,406,1.8979816824833624,0.05321836234999855,1
1.9290174842538597,2544,353,1.9750248675267161,0.056797385070159606,1
1.9833560049370669,2386,306,2.0537885007054806,0.06072137465393716,1
2.037694525620274,2214,292,2.0258023110003003,0.06226016959200381,1
2.0920330463034813,2093,245,2.145095511901273,0.0675234458506078,1
2.1463715669866885,1957,209,2.236833715431265,0.07277138997289952,1
2.2007100876698957,1804,218,2.11326663783348,0.07170411207426101,1
2.255048608353103,1674,160,2.3477974358155937,0.08274884630684286,1
2.30938712903631,1694,148,2.4376356014478846,0.08571508343864405,1
2.363725649719518,1590,143,2.40864466495437,0.087303710176699,1
2.4180641704027255,1450,114,2.5431203870201244,0.09727067901981148,1
2.4724026910859327,1402,106,2.582215973482468,0.10073345534587724,1
2.52674121176914,1328,84,2.7606125311930656,0.11250677292036544,1
2.581079732452347,1257,98,2.5515157299196756,0.10487910459640014,1
2.6354182531355543,1203,55,3.0852405307422077,0.13788790148944596,1
2.6897567738187615,1056,68,2.7427357590901003,0.12511135859669525,1
2.7440952945019688,1017,73,2.634152954900169,0.12116894943058298,1
2.798433815185176,943,58,2.788623272087038,0.13528423669225986,1
2.8527723358683836,937,55,2.8353500970059513,0.13874096021342452,1
2.9071108565515913,883,28,3.451120690428756,0.19195517327111242,1
2.9614493772347985,820,43,2.9481042245647364,0.15644592084362674,1
3.0157878979180057,757,37,3.018445340793224,0.1683687351916588,1
3.070126418601213,733,29,3.2298498719001776,0.1893330797850918,1
3.12446493928442,686,33,3.034370066259405,0.17821547702304694,1
3.1788034599676274,659,24,3.3126697041545614,0.20780788567693834,1
3.2331419806508346,644,29,3.10040289611788,0.18983032858778273,1
3.287480501334042,569,12,3.8589737843383305,0.29170327831140597,0
3.341819022017249,607,19,3.4640898118930576,0.23297859430719925,0
3.3961575427004567,519,12,3.7669972333778885,0.2919933485662583,0
3.4504960633836643,537,7,4.3400879454535515,0.38041995248680965,0
3.5048345840668715,525,14,3.624340932976365,0.27080128015453203,0
3.5591731047500788,471,10,3.8522730010223722,0.31956711697314977,0
3.613511625433286,429,15,3.353406717825807,0.26267407370669266,0
3.6678501461164936,446,7,4.154408802964751,0.3809190141270327,0
3.722188666799701,405,5,4.394449154672439,0.4499657051403686,0
3.776527187482908,359,8,3.803880846808443,0.3574709992717371,0
3.8308657081661153,343,7,3.8918202981106265,0.38180177416060623,0
3.8852042288493225,345,8,3.764102875351524,0.3576290686236756,0
3.9395427495325297,346,4,4.460144413937834,0.5028818682458184,0
3.993881270215737,317,5,4.14946386144318,0.450726717793046,0
4.048219790898944,324,9,3.58351893845611,0.3379312516832344,0
4.102558311582151,285,4,4.26619481914876,0.5034965460952285,0
4.1568968322653586,281,2,4.945207488773801,0.709618713719706,0
4.211235352948566,282,1,5.641907070938114,1.0017714805736786,0
4.265573873631774,251,2,4.832305758571839,0.7099183500551454,0
4.319912394314981,220,4,4.007333185232471,0.504524979109513,0
