j,controlled_mean_sin,controlled_se,controlled_z,simd_mean_sin,simd_se,simd_z,controlled_over_simd_se
1,6.159162648281125e-05,0.0002357903330388339,0.26121353530073393,0.0017408330261371552,0.00022851421414073867,7.618051387669919,1.0318409903972712
2,-0.000300711622496608,0.00046007244966187784,-0.6536179741204038,0.002384361486430267,0.00046921379264970126,5.081609969232828,0.9805177445100212
3,-9.259435862089227e-05,0.0004840627819679167,-0.19128584570054666,0.002584749478786303,0.0004795104455144321,5.3903924366304725,1.0094937169691909
4,-0.00013845875732125223,0.00046351688017509733,-0.29871351668778123,0.0023055385501940754,0.0004764563683661656,4.838929025337796,0.972842238974705
5,0.0005578946410558022,0.00047974870424231003,1.162889312930843,0.002265785235264074,0.0004787736456545677,4.732476935246399,1.0020365753140177
6,-4.946221297071329e-05,0.00046166012515908266,-0.10713988554603712,0.0021441989158099547,0.0004737707452584648,4.525815359579011,0.9744378051608585
7,0.0007289974511584367,0.0004541255334871893,1.605277390065541,0.0024840055915430464,0.0004948497109802453,5.019717171547887,0.9177039481090418
8,0.0007964136294864065,0.00045336728344026506,1.7566632145200674,0.0023034378875979446,0.0004811278087450371,4.7875800270331075,0.9423011416089584
9,7.733740847503718e-05,0.0004738858580809378,0.16319838871796058,0.0024502025438398636,0.0004894383775923716,5.006151246031862,0.9682237433281403
10,-6.383964540657299e-05,0.0005003509790310342,-0.12758972817481656,0.0017629150097706538,0.0004910344158266456,3.590206618822889,1.0189733405726855
11,-0.00023235534109280077,0.0004741257411893118,-0.49007113705734134,0.000788586943725576,0.00046830490833409637,1.683917741820859,1.0124295790021118
12,-0.00013219648040171947,0.0004950864666825984,-0.26701695420503396,0.0008827596501454995,0.00047285223697813157,1.866882677317915,1.0470215174333524
13,9.776720556170588e-05,0.00048269445510352386,0.20254470406281685,0.0006283336729280444,0.0004936842236527388,1.272744079766298,0.9777392753855849
14,4.657197541462137e-05,0.000465819594522714,0.09997856672890659,0.0006679105089932953,0.00047883138458160076,1.3948762142584084,0.9728259456713424
15,-0.0002318628368209854,0.0004491329012659572,-0.5162454947465231,8.830318453671285e-05,0.00047609409370231163,0.18547422810904765,0.943370033795856
16,0.0008558281168558759,0.00045636593320352755,1.8753111365001873,-0.0011434298852129776,0.000483543476017506,-2.3646888892604587,0.9437950377537623
17,2.5611904552347294e-05,0.00046310109163602564,0.0553052130839652,-0.0015134056521046335,0.0004804484489375091,-3.1499855092704836,0.9638934055467421
18,0.0003494861252706005,0.00046151065373652335,0.7572655635163783,-0.0010799177224039436,0.00047201618193285644,-2.287882839062412,0.9777432880514518
19,0.000284919477036566,0.00046395576801258365,0.6141091385867592,-0.0014514774460432614,0.0004711629699479157,-3.0806271685648676,0.9847033778224787
20,-4.806468113596993e-05,0.00047928481409613606,-0.10028417283909398,-0.001977247418076861,0.00048407173207186096,-4.084616570387416,0.9901111391998939
21,-0.00031954340693240253,0.0004687495385564332,-0.6816932725234723,-0.0021360038628070372,0.0004764653690457328,-4.483020176440181,0.9838061043035449
22,0.0003689074952867997,0.0004915230392759062,0.750539579650754,-0.003043268171542788,0.00048647998306164283,-6.255690424074795,1.0103664207980874
23,0.0008379439319327434,0.00046048962766053034,1.819680361075298,-0.003017956784663898,0.0004773689817527881,-6.322063016291216,0.9646408653736137
24,0.00028845512040879894,0.00023863651906612499,1.208763526796456,-0.0020445705578270553,0.00023560046139830935,-8.678126289279529,1.0128864674109566
