j,controlled_mean_sin,controlled_se,controlled_z,simd_mean_sin,simd_se,simd_z,controlled_over_simd_se
1,0.00011756767868434349,0.00019338289529689605,0.6079528311117934,0.002524429305024541,0.00019526042987600496,12.92852477395248,0.9903844594611352
2,0.00019055650533842202,0.0006217412314607529,0.3064884484027513,0.004237708193787196,0.0006556340028036807,6.463527174712614,0.9483053484139131
3,-0.000579926794282342,0.0006185579521760172,-0.9375464210624482,0.005054528865902598,0.0006540980497693693,7.727478881315717,0.9456654891328857
4,-0.00036417609318426224,0.0006223444087342145,-0.585168096753628,0.005412570565806818,0.0006638098108477389,8.153797183103586,0.937534213210001
5,0.0007287791477312553,0.0006433589868667747,1.132772157703875,0.005474028788122054,0.0006492985911432745,8.430680218300601,0.9908522760444599
6,0.0007763791719943878,0.0006244979337320466,1.2432053495432525,0.0049920724277859084,0.0006892326955340437,7.242941984807992,0.9060770589940772
7,0.0001721890405077367,0.0006728391524145856,0.2559141213614133,0.004544613305287982,0.0006606582884899576,6.878916657014079,1.018437464778455
8,0.000387887255291093,0.0006748175013341154,0.5748031942328693,0.003968245396422921,0.0007119250753480797,5.573964921073663,0.9478771358126113
9,0.0007125753413657139,0.0006624489348079594,1.0756683329444645,0.004694429175887863,0.0006905764387743806,6.797841502121662,0.9592695284879089
10,-0.0004890256101632315,0.0006513627770107436,-0.7507730368128873,0.004726983656523142,0.0006870374180439756,6.880241937886096,0.9480746752705271
11,0.00017065631959752644,0.0006554080881839506,0.26038177232507553,0.004261057814413207,0.0007068696510200728,6.028067279821874,0.9271979455308927
12,0.001004503026177186,0.0006304714532676297,1.5932569523505185,0.005130693203488617,0.0006971895146133065,7.359108385808608,0.9043042674233537
13,0.0007167071576497331,0.0006453783718918798,1.1105224297318148,0.004720774157355732,0.0006727742615368809,7.016876874230634,0.9592792245315417
14,-0.00016598860611561603,0.0006592958062434326,-0.25176651291230545,0.004955060900896905,0.0006855964765300479,7.227372179588116,0.9616382650918386
15,-3.804965274168761e-05,0.0006721265458993198,-0.05661084653452625,0.004536998698602499,0.0007081726701567408,6.40662777567838,0.9490998088793191
16,0.0005122462615884069,0.0006801368314323358,0.7531517746357607,0.004589857798585107,0.0007189934232380722,6.383727097132735,0.945956957949989
17,-0.0014724336436127427,0.0006347063146186837,-2.319866069864683,0.0035844988586448408,0.000723533704594085,4.954156020493623,0.8772311650288152
18,-0.0012333772869061207,0.0006885607062770598,-1.7912397202779682,0.003795704594885506,0.0007329205033904895,5.178876259193978,0.939475295194743
19,0.00032725071162904395,0.0006928598737867563,0.4723187530553443,0.003039195338536819,0.0007207656969912797,4.2166203958144095,0.9612830864162767
20,-5.313478757129404e-05,0.0006601327679764352,-0.08049106202404241,0.002778509207919953,0.000725791061568501,3.8282494164578718,0.9095355439481823
21,0.00048246219116475754,0.0006726923481014663,0.7172107613924944,0.0021669586766544027,0.0007127984504667512,3.0400720922379185,0.9437343019769153
22,0.0008817312983245746,0.0006678846451124821,1.3201850121529257,0.0038319959990219766,0.000777341962217033,4.929614230644206,0.8591902631984885
23,0.0006334444225973344,0.0006730312478084339,0.9411812967971331,0.0036270425349401733,0.0007044652115923567,5.148646768151533,0.9553789693704388
24,-0.0003894418115667436,0.0006515467863823215,-0.5977188740797853,0.0031966300731511438,0.0007052546315635071,4.532589975431153,0.9238461645234168
25,-0.0005285842867594635,0.0006557132137440346,-0.8061211451593573,0.0020201335439010227,0.0006887461596472545,2.9330596121735857,0.9520390125730241
26,0.00022743601090615054,0.0006718069891263141,0.33854368083001246,0.0023732489973250525,0.00068206140952931,3.4795239316688944,0.9849655467092436
27,-0.0008128185653551566,0.0006424932810540599,-1.2651004910458594,0.0035905845272749593,0.0007145305943210453,5.025095574370432,0.8991823249563777
