event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,0.084155783915461413,0.084155783915461413,0.042077891957730706,-0.0097169931824119468,-0.80410056792724571,0.043648392353723649,-0.5864942274484487,0.052305924060530501,0,-0.66672373044374733,677.61807483153245,0.0081099735395154544,1,1042,659.68921044353567,1042,659.68921044353567,659.68921044353579
2,4,-0.081548292790922794,0.002607491124538619,0.00065187278113465474,0.26287648808500913,-0.59489943163033809,0.27291589290140489,-0.39228657832986413,0.054545815242067912,0,-0.68539170219483958,604.19715357591781,0.010851966150635155,1,996,577.88702121796643,668,357.26609880749572,357.26609880749578
3,6,-0.023040497286565653,-0.020433006162027034,-0.0034055010270045059,0.31733872085229936,-0.54486388278557318,0.26531432418564993,-0.42336790857729928,0.094034204473529143,0,-0.68156559732983524,635.8622338945047,0.0078188317988239619,1,989,613.56114686951435,484,248.86104188916579,248.86104188916582
4,8,-0.020571782868058719,-0.041004789030085753,-0.0051255986287607191,0.18486149609012845,-0.71675647082629323,0.21796688340140824,-0.50845986622044859,0.048153343033757762,0,-0.68702944443653147,619.27992415861729,0.0076995054816874449,1,988,597.81984036488029,372,197.00817285110381,197.00817285110384
5,10,-0.12931281895482183,-0.17031760798490758,-0.01703176079849076,0.42895909408448391,-0.44786427716043742,0.34694989878399074,-0.38468996244565062,0.085250595791930645,0,-0.72133852478590976,607.33156459397446,0.0064697951586078955,1,988,586.78007834359266,304,146.67449993006014,146.67449993006016
6,12,-0.053179237453121253,-0.22349684543802883,-0.018624737119835737,0.30297684516556461,-0.56708705304395812,0.28741079035788786,-0.45222048192065101,0.049742890181327451,0,-0.68792843580327567,640.63618232146348,0.0064825963219787806,1,991,616.08460634547589,260,136.85408509527539,136.85408509527539
7,14,-0.059419133712284022,-0.28291597915031286,-0.020208284225022348,0.29598922020814983,-0.4650266254469374,0.29746726172278548,-0.38574840744856015,-0.013248685561804306,0,-0.69969967664783228,596.56230932018718,0.0076523819390049708,1,981,575.50823271130628,221,115.42473443777864,115.42473443777865
8,16,-0.11289010773136177,-0.39580608688167462,-0.024737880430104664,0.31296851058720104,-0.51411365235653883,0.34493285291034703,-0.39621105318658612,0.044366434661924678,0,-0.7030077209133605,585.74336836018449,0.0097581157166657263,1,963,561.03584804708396,180,87.901416715567109,87.901416715567123
9,18,-0.15577099803300687,-0.55157708491468149,-0.030643171384148973,0.36500601506678021,-0.61651195957487315,0.35170698815738893,-0.40997491155903287,0.050922073391769782,0,-0.77193204876391308,592.88340297550621,0.0065581027105583089,1,961,575.98242241142543,159,81.499766827296753,81.499766827296767
10,20,-0.11804408533481414,-0.66962117024949563,-0.033481058512474779,0.48802803312297161,-0.64640064971040234,0.47377775957641366,-0.46796392751623622,0.029810251860976317,0,-0.72807542173855555,554.09568734361414,0.010407572453203036,1,955,541.61983471074382,148,75.753214853344886,75.7532148533449
11,22,-0.12413356326263614,-0.79375473351213177,-0.036079760614187807,0.37612172229915031,-0.62786270276796752,0.34515592573353265,-0.43138189667293292,0.074493403923165585,0,-0.80087290227063113,606.84044891831741,0.0063193287006197904,1,944,579.48383531362254,129,68.550060471349653,68.550060471349667
