event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_observable_rate,tilted_mean_observable_rate,population_mean_action_current,population_mean_potential_rate,population_mean_log_likelihood_ratio_rate,weight_ess,max_weight_fraction,resampled,unique_parents,parent_count_ess,unique_roots,root_count_ess,root_weight_ess
1,2,0.19855114274340568,0.19855114274340568,0.099275571371702842,-0.045264758727398158,-0.73749537204378801,0.011458285163610013,-0.56011784178967439,0.050932365321282203,0,-0.61593800288861078,638.69846475318263,0.014415829600122328,1,1062,616.26564795768445,1062,616.26564795768445,616.26564795768445
2,4,-0.081837964596261692,0.11671317814714399,0.029178294536785998,0.20446586768585367,-0.66650980897460643,0.2227291355721554,-0.44324274594320678,0.073405618301914929,0,-0.72497642849574329,626.30591333164443,0.0082601237798675935,1,993,608.75239477503624,676,370.84916003536694,370.84916003536699
3,6,-0.17516972863673974,-0.058456550489595749,-0.0097427584149326254,0.34580308203033178,-0.48229487648658892,0.35787461186638575,-0.3710388500033428,0.010489635596922288,0,-0.73600176351244229,583.35471126687298,0.006370437947293508,1,952,562.23914209115287,483,239.18248175182481,239.18248175182487
4,8,-0.096399397756401051,-0.1548559482459968,-0.0193569935307496,0.32234556633367989,-0.53270672759119364,0.27495834671507724,-0.46011006063099391,0.094943922352127064,0,-0.72718625152070482,585.43932063572026,0.0079698852982907544,1,978,563.29626645178621,374,180.82014140369029,180.82014140369031
5,10,-0.087019617672720706,-0.24187556591871751,-0.024187556591871752,0.27607823299088524,-0.52968801838123603,0.2914700847537377,-0.4008567843797301,0.042577053565276399,0,-0.71092620347728053,604.50909660792979,0.0080174253565795661,1,972,580.76765438936582,292,151.63788864786696,151.63788864786699
6,12,-0.15471326610964287,-0.39658883202836037,-0.0330490693356967,0.33304087200434684,-0.55670103870734,0.34105318075951274,-0.41921713037882269,0.088888191674526273,0,-0.73216963880351438,604.42812632932328,0.010065235764321749,1,981,581.08949847603219,240,129.87069606143174,129.87069606143177
7,14,-0.073949589665645021,-0.47053842169400539,-0.033609887263857531,0.25621003319705138,-0.70141731719346601,0.27154519901160212,-0.49269226885471784,0.034254149351313996,0,-0.72056451292079715,571.14815931058092,0.010151983264201031,1,949,553.19229754682146,207,97.99775700934579,97.997757009345804
8,16,-0.12655570551940976,-0.59709412721341515,-0.037318382950838447,0.36002669990259645,-0.5554476298995874,0.31481872839723407,-0.44211515705768767,0.050882729005041739,0,-0.73410210215228855,611.52479718277607,0.0063677334358389201,1,951,581.08949847603219,178,97.085875653904907,97.085875653904935
9,18,-0.070142060467111911,-0.66723618768052706,-0.037068677093362618,0.29302129430647572,-0.50490512658890807,0.25146850325776099,-0.47162619512668486,0.034048109297056449,0,-0.71983671555571338,600.14360785746078,0.007456707582715277,1,967,578.36514065085498,156,78.932289510331586,78.9322895103316
10,20,-0.12019028999055159,-0.78742647767107865,-0.039371323883553931,0.31561781044566312,-0.61175632766447441,0.34331206817366028,-0.43373396432397465,0.094729812623938522,0,-0.7024190497671593,587.87557039085391,0.0090946868836180132,1,954,567.10438074634942,141,69.449018114382227,69.449018114382241
