mode,n,clone_count,horizon,selection_time,dt,k,gauge_shift,control_scale,resample_threshold,independent_runs,mean_scgf,run_scgf_se,scgf_ci_low,scgf_ci_high,mean_late_half_scgf,late_half_scgf_se,late_half_ci_low,late_half_ci_high,minimum_weight_ess,minimum_final_unique_roots,minimum_final_root_weight_ess,support_gate
controlled_exact,10,1024,20.0,1.0,0.0005,0.3,0.1,0.5,1.0,4,-0.18628663406369494,0.0018907115543214021,-0.19230372206410232,-0.18026954606328757,-0.1885774539182567,0.005155470623900288,-0.20498446235728687,-0.17217044547922652,800.8245044845603,165,102.56025039123631,1
controlled_exact,10,1024,20.0,1.0,0.0005,0.7,0.1,0.5,1.0,4,-0.17337746717525185,0.009788774138789345,-0.2045297152664987,-0.14222521908400498,-0.19108654268340022,0.011376516422537487,-0.22729169533930407,-0.15488139002749637,278.5789731542621,55,24.23444577979107,1
controlled_exact,10,1024,20.0,2.0,0.00025,0.3,0.1,0.5,1.0,4,-0.18001998146770853,0.0029153838148274994,-0.18929803391769023,-0.17074192901772683,-0.17923675624149957,0.0028961292154376754,-0.1884535319627934,-0.17001998052020573,639.4088709985739,182,99.52315869400152,1
controlled_exact,10,1024,20.0,2.0,0.00025,0.7,0.1,0.5,1.0,4,-0.16926426912254058,0.009386943449147095,-0.19913771262018587,-0.1393908256248953,-0.1941492634307895,0.012549151578649725,-0.23408626450670852,-0.15421226235487048,138.28137806340516,53,22.226895031371885,1
controlled_exact,10,1024,20.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.18624508071428558,0.0011397079736187453,-0.18987214014403095,-0.18261802128454022,-0.1876275146832182,0.0020921211300604305,-0.194285577843785,-0.1809694515226514,633.0488693584673,181,99.63664006081338,1
controlled_exact,10,1024,20.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.17783809120521063,0.008769810468659758,-0.20574754212923527,-0.149928640281186,-0.19640164845054572,0.01427600450669082,-0.2418342662470775,-0.15096903065401396,164.67254388120296,50,24.392295524332372,1
controlled_exact,10,1024,40.0,1.0,0.0005,0.3,0.1,0.5,1.0,4,-0.1844036453030551,0.0021480540655917013,-0.19123971202764706,-0.17756757857846317,-0.18252065654241528,0.0028095234376597764,-0.19146181402620363,-0.17357949905862693,800.8245044845603,93,51.633641914516446,1
controlled_exact,10,1024,40.0,1.0,0.0005,0.7,0.1,0.5,1.0,4,-0.17972257407405262,0.005010659655216662,-0.19566872938083102,-0.16377641876727422,-0.1860676809728534,0.002924498716144129,-0.1953747411068532,-0.17676062083885358,278.5789731542621,22,11.55404720453093,1
controlled_exact,10,1024,40.0,2.0,0.00025,0.3,0.1,0.5,1.0,4,-0.17973253301769465,0.0021247008361082297,-0.1864942793434005,-0.17297078669198881,-0.17944508456768077,0.00400689168596714,-0.1921968022093589,-0.16669336692600265,637.1664962184708,96,25.81427868045298,1
controlled_exact,10,1024,40.0,2.0,0.00025,0.7,0.1,0.5,1.0,4,-0.17426374284295765,0.006788211117589444,-0.19586686023361596,-0.15266062545229933,-0.17926321656337477,0.009949782931758536,-0.2109278664929246,-0.14759856663382492,138.28137806340516,23,6.247771581104915,1
controlled_exact,10,1024,40.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.1840182331521311,0.000684165736559147,-0.18619555387264544,-0.18184091243161674,-0.18179138558997662,0.0014282549784009303,-0.18633673036899173,-0.1772460408109615,633.0488693584673,96,29.58235061784122,1
controlled_exact,10,1024,40.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.18295711814632323,0.0033945562669507904,-0.19376011119615844,-0.17215412509648803,-0.1880761450874358,0.0031392401275937283,-0.19806660823289482,-0.1780856819419768,164.67254388120296,22,11.088767158055033,1
controlled_exact,10,1024,60.0,1.0,0.0005,0.3,0.1,0.5,1.0,4,-0.18276961432732447,0.0011152197879668447,-0.18631874142111884,-0.1792204872335301,-0.1800060216041604,0.00038546918290775545,-0.1812327565811059,-0.1787792866272149,800.8245044845603,63,24.546467531251462,1
controlled_exact,10,1024,60.0,1.0,0.0005,0.7,0.1,0.5,1.0,4,-0.1815197086143855,0.0037979438859111737,-0.19360646110177834,-0.16943295612699263,-0.18528258401615907,0.0029806707716765906,-0.19476840870074838,-0.17579675933156977,278.5789731542621,14,6.130302605116692,1
controlled_exact,10,1024,60.0,2.0,0.00025,0.3,0.1,0.5,1.0,4,-0.17953787329324178,0.002359641226926596,-0.18704730479766943,-0.17202844178881413,-0.17922380444357738,0.0026875615890541616,-0.18777682489288522,-0.17067078399426955,630.0409360295596,56,8.969854576561163,1
controlled_exact,10,1024,60.0,2.0,0.00025,0.7,0.1,0.5,1.0,4,-0.17938635635288958,0.003751415596887299,-0.19132503505878723,-0.16744767764699192,-0.1875119292630216,0.0013599493196540973,-0.19183989495072787,-0.18318396357531533,138.28137806340516,13,4.572225904349949,1
controlled_exact,10,1024,60.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.18195070796931503,0.0012884112085054997,-0.18605100745950948,-0.1778504084791206,-0.17906597589235257,0.0017212831436031531,-0.18454386707305956,-0.17358808471164558,633.0488693584673,52,8.609281092975138,1
controlled_exact,10,1024,60.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.1839362970638432,0.0007746260636117595,-0.18640150291796093,-0.1814710912097255,-0.18839002498441737,0.003930974498694644,-0.2009001402539526,-0.17587990971488213,164.67254388120296,15,7.823909507394308,1
