lag,time,rho_I2,rho_theta1_periodic
0,0.0,1.0,1.0
1,0.1,0.684385058141005,0.40677045436085646
2,0.2,0.3749052930879844,0.1246978492812168
3,0.30000000000000004,0.3252756257778841,0.03568150010236414
4,0.4,0.3347491077633141,0.02104980174408425
5,0.5,0.3163612561985267,0.022486192224104678
6,0.6000000000000001,0.2820234017831134,0.02365674867264131
7,0.7000000000000001,0.24985722331145274,0.025047902719060457
8,0.8,0.2238222675312787,0.02609483586558938
9,0.9,0.20260821077873173,0.02602175282976161
10,1.0,0.18335068874679314,0.02473463479012301
11,1.1,0.16547107433667688,0.023169964932250996
12,1.2000000000000002,0.1494829245406856,0.02062830893717478
13,1.3,0.13458166591219314,0.018112447908841468
14,1.4000000000000001,0.12096655780521369,0.015796971128789954
15,1.5,0.10926832972969557,0.014005590392329202
16,1.6,0.09894200099034288,0.012059965665908747
17,1.7000000000000002,0.08936303187704017,0.010569847081033402
18,1.8,0.080594334855947,0.009387586948438111
19,1.9000000000000001,0.07305003013523219,0.008407427018125958
20,2.0,0.06634185054215022,0.008204626781588623
21,2.1,0.060263638906205196,0.008046396505513677
22,2.2,0.05457861102915375,0.007484942866066946
23,2.3000000000000003,0.04892578303096777,0.006320297507286115
24,2.4000000000000004,0.044103047525383875,0.0061777764791052115
25,2.5,0.03997161118929904,0.005743308250994303
26,2.6,0.036134894131654605,0.004862168624194198
27,2.7,0.032941193091284446,0.004297167133364819
28,2.8000000000000003,0.02985253423651514,0.003443686101345382
29,2.9000000000000004,0.026626731658783414,0.002970642939423729
30,3.0,0.024120830459392135,0.003002756053857836
31,3.1,0.021930062466179675,0.0029191592337189025
32,3.2,0.019917465916434327,0.0025597189927792385
33,3.3000000000000003,0.018394294540566524,0.0017114235141582484
34,3.4000000000000004,0.016789893969647536,0.0014379182622177194
35,3.5,0.015183885564181671,0.0013545769184413797
36,3.6,0.014151118510853192,0.0011112365773274307
37,3.7,0.013089670389756225,0.0011030769654403936
38,3.8000000000000003,0.011679982732253827,0.0009030667446788986
39,3.9000000000000004,0.010788911608930432,0.0009965360183221115
40,4.0,0.010173868131890128,0.0008196638608449136
41,4.1000000000000005,0.00929633481583723,0.0012489062535197813
42,4.2,0.008222790368704857,0.0008740782093234565
43,4.3,0.0072675938029190925,0.0002769620389232975
44,4.4,0.006724658625238797,-1.489226826876357e-05
45,4.5,0.006282267674432525,0.00023044945081371877
46,4.6000000000000005,0.005568841016079258,0.0004567121317335802
47,4.7,0.005284060134423288,0.00038592158699357913
48,4.800000000000001,0.004862665676017318,0.0002688974803784448
49,4.9,0.004109034001502795,-0.0003926126243510372
50,5.0,0.0037867981559109067,-6.816113623774889e-05
51,5.1000000000000005,0.003650743676673486,0.0005521802674743337
52,5.2,0.0036105667003894447,0.0005915236869609003
53,5.300000000000001,0.003118113365614965,0.0006715775809654754
54,5.4,0.002694369339661442,-2.1663083987191224e-05
55,5.5,0.002803593213969392,-0.00018496883277826376
56,5.6000000000000005,0.002612872660977928,-0.0006758718966437742
57,5.7,0.002468142548715112,-0.0010413630703187168
58,5.800000000000001,0.002748580724657637,-0.0004534269770047664
59,5.9,0.0029467999725341356,-0.00036490918698883865
60,6.0,0.0028753102378191475,8.824190946032448e-05
61,6.1000000000000005,0.002619598412763622,0.00040798849638244055
62,6.2,0.0022300402374008338,0.0002546160950253353
63,6.300000000000001,0.002093335298766182,-0.000239323041613158
