bin_left,bin_right,bin_center,forward_count,reverse_mirror_count,log_probability_ratio,standard_error,accepted
-8.929718411224245,-8.706475450943639,-8.818096931083943,0,36,nan,nan,0
-8.706475450943639,-8.483232490663033,-8.594853970803335,0,39,nan,nan,0
-8.483232490663033,-8.259989530382427,-8.37161101052273,0,31,nan,nan,0
-8.259989530382427,-8.03674657010182,-8.148368050242123,0,49,nan,nan,0
-8.03674657010182,-7.813503609821215,-7.925125089961518,0,47,nan,nan,0
-7.813503609821215,-7.590260649540609,-7.701882129680912,0,56,nan,nan,0
-7.590260649540609,-7.3670176892600026,-7.478639169400306,0,56,nan,nan,0
-7.3670176892600026,-7.1437747289793965,-7.2553962091196995,0,66,nan,nan,0
-7.1437747289793965,-6.92053176869879,-7.032153248839093,0,70,nan,nan,0
-6.92053176869879,-6.697288808418184,-6.808910288558487,0,78,nan,nan,0
-6.697288808418184,-6.474045848137578,-6.585667328277881,0,97,nan,nan,0
-6.474045848137578,-6.250802887856971,-6.362424367997274,0,80,nan,nan,0
-6.250802887856971,-6.027559927576365,-6.139181407716668,1,101,-4.61512051684126,1.0049383016379712,0
-6.027559927576365,-5.804316967295759,-5.915938447436062,0,125,nan,nan,0
-5.804316967295759,-5.581074007015153,-5.692695487155456,0,114,nan,nan,0
-5.581074007015153,-5.357831046734547,-5.46945252687485,1,133,-4.890349128221754,1.0037523583994616,0
-5.357831046734547,-5.134588086453941,-5.246209566594244,0,145,nan,nan,0
-5.134588086453941,-4.911345126173335,-5.022966606313638,0,183,nan,nan,0
-4.911345126173335,-4.688102165892729,-4.799723646033032,3,187,-4.132496328186477,0.581962994456023,0
-4.688102165892729,-4.464859205612123,-4.576480685752426,3,218,-4.28588277412098,0.5813092888442745,0
-4.464859205612123,-4.2416162453315165,-4.3532377254718195,4,258,-4.1666652238017265,0.5038610611986682,0
-4.2416162453315165,-4.01837328505091,-4.1299947651912134,5,281,-4.028916756899645,0.45117482073051235,0
-4.01837328505091,-3.7951303247703043,-3.9067518049106074,6,340,-4.037186148382152,0.411834727939807,0
