time,mean_total_action
0.00050000000000000001,4.2488506912833
0.001,4.2487156130349302
0.0015,4.2332083857631035
0.002,4.2507982982940167
0.0025000000000000001,4.2770961026504084
0.0030000000000000001,4.2661325574505273
0.0035000000000000001,4.2880897158627569
0.0040000000000000001,4.2645629404209178
0.0045000000000000005,4.2870407628450877
0.0050000000000000001,4.3231023972709668
0.0054999999999999997,4.325577016727574
0.0060000000000000001,4.3315455339098801
0.0065000000000000006,4.3072342507712627
0.0070000000000000001,4.3034290573052338
0.0074999999999999997,4.3085487921156789
0.0080000000000000002,4.2726721147243731
0.0085000000000000006,4.2720944307488509
0.0090000000000000011,4.2671566916172585
0.0094999999999999998,4.2617041275204146
0.01,4.2638769028475902
