trajectory_id,time_averaged_action_current,first_half_action_current,second_half_action_current,block_0_action_current,block_1_action_current,block_2_action_current,block_3_action_current
0,-1.7816394000655522,-0.6401924286641969,-2.9230863714669075,-0.38960381616835205,-0.89078104116004186,-2.5104562084233972,-3.3357165345104174
1,1.2541465937096361,1.1711832630599774,1.3371099243592948,1.1471878401271387,1.1951786859928162,1.5344039901767976,1.1398158585417917
2,3.3261922722359283,3.3101701480481367,3.3422143964237194,3.2201257579736504,3.4002145381226234,3.4620477780384991,3.2223810148089398
3,0.87330980620134668,0.47591536113840316,1.2707042512642901,0.17487952645921226,0.77695119581759409,1.2403879365468109,1.3010205659817693
4,1.2413310524699666,0.71493103874776109,1.7677310661921719,0.13663534632988067,1.2932267311656416,1.4626483556543963,2.0728137767299475
5,-0.77791767590937677,-0.70692338190082338,-0.84891196991793016,-0.88262038661170683,-0.53122637718993992,-0.7443759284203727,-0.95344801141548763
6,0.23521307481151449,0.29090846531222858,0.17951768431080042,0.30573424030190005,0.27608269032255706,-0.38732237369810213,0.74635774231970298
7,-2.5456131615073989,-1.8784686794525984,-3.212757643562199,-1.6851574120947412,-2.0717799468104556,-3.1267679590172914,-3.2987473281071065
8,1.6535070777515193,1.3379118633957459,1.9691022921072929,1.0629944356621499,1.6128292911293418,1.8630636757535637,2.0751409084610222
9,0.40975181432458851,0.050897108264941197,0.76860652038423583,-0.091944245406053685,0.19373846193593608,0.57836147187815679,0.95885156889031498
10,-0.78629498750021898,-1.3423417676650566,-0.23024820733538137,-1.4715780306274766,-1.2131055047026365,-0.4434653736916136,-0.017031040979149172
11,-0.65721426663737004,-0.98972865389775855,-0.32469987937698142,-1.3324806833011751,-0.64697662449434212,-0.61420288511862042,-0.035196873635342442
12,0.085745123182230112,-0.31468646910787623,0.48617671547233643,-0.49200571202291454,-0.13736722619283795,0.2328114811949743,0.73954194974969856
13,0.94419105208734511,1.2925302775018455,0.59585182667284498,0.77630912307031552,1.8087514319333755,0.94568897748522718,0.24601467586046272
14,0.51609232812969197,-0.062868890343504832,1.0950535466028888,-0.33369842134081917,0.20796064065380951,0.75527227459205304,1.4348348186137245
15,-0.86873951234238378,0.067397686272625462,-1.8048767109573929,0.5376107609407097,-0.40281538839545877,-1.4904212083082093,-2.1193322136065764
