j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta,sample_count
1,1.4839160185302447,0.09662898943583377,0.040959163090839967,0.044745591774358683,16
2,1.412842344636452,0.0049430584619727441,0.03153125526971317,0.055282456957381466,16
3,1.286816126683034,0.050092122804717955,,,16
