case,observable,weight_real,weight_imag,weight_abs
driven_dt1e-3,I2,0.49210627972452103,-1.191684840245952e-14,0.49210627972452103
driven_dt1e-3,I1_plus_I3,0.29435629310300593,-5.7867654000975616e-15,0.29435629310300593
driven_dt1e-3,cos_theta3,0.1214383866951178,3.2371485815129512e-15,0.1214383866951178
driven_dt1e-3,cos_even_sum,0.21400356529213604,7.963713680354776e-15,0.21400356529213604
driven_dt2p5e-4,I2,0.4852617280306447,-3.093403958572489e-15,0.4852617280306447
driven_dt2p5e-4,I1_plus_I3,0.2847411375677873,3.7513242143883703e-16,0.2847411375677873
driven_dt2p5e-4,cos_theta3,0.12197089233802416,-1.201669982107074e-14,0.12197089233802416
driven_dt2p5e-4,cos_even_sum,0.21847256547047253,-8.326027412108183e-15,0.21847256547047253
equilibrium_dt1e-3,I2,0.47045236272278784,-6.874678986842684e-15,0.47045236272278784
equilibrium_dt1e-3,I1_plus_I3,0.26819175566716297,-3.577521574680419e-15,0.26819175566716297
equilibrium_dt1e-3,cos_theta3,0.10296818883940449,5.9378817492014304e-15,0.10296818883940449
equilibrium_dt1e-3,cos_even_sum,0.2028153498905518,4.705979139518073e-15,0.2028153498905518
equilibrium_dt2p5e-4,I2,0.46624356693084834,3.055643036083281e-15,0.46624356693084834
equilibrium_dt2p5e-4,I1_plus_I3,0.2703185063832091,1.092623182735327e-15,0.2703185063832091
equilibrium_dt2p5e-4,cos_theta3,0.10143924067274498,2.234000751777754e-15,0.10143924067274498
equilibrium_dt2p5e-4,cos_even_sum,0.20195475136716215,3.622941414438636e-15,0.20195475136716215
