case,target,reference_mode,point_real,bootstrap_mean_real,ci_low,ci_high,bootstrap_accept,pair_separated
driven_dt1e-3,-1.8,1,-1.7219560332019352,-1.7437400186561762,-1.900297025776897,-1.5575525261309573,500,False
driven_dt1e-3,-2.1,2,-1.9826109179025015,-1.980384443912839,-2.1591654647852727,-1.7858257797974117,500,False
driven_dt2p5e-4,-1.8,2,-1.7807710567401813,-1.7921918771029777,-1.8817869678703085,-1.6769161146364218,500,False
driven_dt2p5e-4,-2.1,3,-1.9776322153425845,-1.9660819652734436,-2.1597665697923816,-1.7890687326815395,500,False
