case,variable,log_mean,log_sd,min_action,max_action,snapshot_count
equilibrium_dt1e-3,I1,-0.17976145548910274,1.2843261220069453,2.384185791015625e-07,14.958357334136963,6400064
equilibrium_dt1e-3,I2,-0.03354454564563781,1.2689616488629192,4.2065953493874986e-06,15.921411514282227,6400064
equilibrium_dt1e-3,I3,-0.17797971331902646,1.287155052392791,5.960464477539063e-08,14.765944957733154,6400064
