case,reference_mode,eigen_index,conjugate_index,lambda_real,lambda_imag,observable,contribution_real,contribution_imag,reconstructed_variance_real,reconstructed_variance_imag,weight_real,weight_imag,weight_abs
equilibrium_dt1e-3,0,1,-1,-0.905455076191947,0.0,I2,1.1172074683588158,8.237266405366912e-15,2.374751530405483,5.221128172947787e-14,0.47045236272278784,-6.874678986842684e-15,0.47045236272278784
equilibrium_dt1e-3,0,1,-1,-0.905455076191947,0.0,I1_plus_I3,0.8048618889114016,-8.448338502795181e-15,3.0010687200626274,8.531394205745032e-15,0.26819175566716297,-3.577521574680419e-15,0.26819175566716297
equilibrium_dt1e-3,0,1,-1,-0.905455076191947,0.0,cos_theta3,0.05039864215813403,-5.417631002660059e-16,0.489458372786753,-3.3487129159940643e-14,0.10296818883940449,5.9378817492014304e-15,0.10296818883940449
equilibrium_dt1e-3,0,1,-1,-0.905455076191947,0.0,cos_even_sum,0.20202931914707123,-1.7487411790226383e-15,0.9961244021031703,-3.173567404616309e-14,0.2028153498905518,4.705979139518073e-15,0.2028153498905518
equilibrium_dt1e-3,1,2,-1,-1.8348107649636518,0.0,I2,0.014640478531269473,6.728727204567565e-16,2.374751530405483,5.221128172947787e-14,0.0061650569938867025,1.4779954381615655e-16,0.0061650569938867025
equilibrium_dt1e-3,1,2,-1,-1.8348107649636518,0.0,I1_plus_I3,0.05710949889469439,-9.514368210262157e-16,3.0010687200626274,8.531394205745032e-15,0.019029720483542477,-3.71130077978759e-16,0.019029720483542477
equilibrium_dt1e-3,1,2,-1,-1.8348107649636518,0.0,cos_theta3,0.0011610583738064172,1.5692268537172354e-16,0.489458372786753,-3.3487129159940643e-14,0.002372128945707639,4.828980091094398e-16,0.002372128945707639
equilibrium_dt1e-3,1,2,-1,-1.8348107649636518,0.0,cos_even_sum,0.005312702947723996,4.425782921377615e-16,0.9961244021031703,-3.173567404616309e-14,0.005333372956738139,6.14216935723712e-16,0.005333372956738139
equilibrium_dt1e-3,2,3,-1,-2.0035315885367884,0.0,I2,0.002058413455845612,-2.1744212772525046e-16,2.374751530405483,5.221128172947787e-14,0.0008667910850842333,-1.1062142624425558e-16,0.0008667910850842333
equilibrium_dt1e-3,2,3,-1,-2.0035315885367884,0.0,I1_plus_I3,0.06937193578970882,-1.347734401936206e-15,3.0010687200626274,8.531394205745032e-15,0.02311574384350024,-5.147979167207774e-16,0.02311574384350024
equilibrium_dt1e-3,2,3,-1,-2.0035315885367884,0.0,cos_theta3,0.005315332000212801,2.711800395839352e-16,0.489458372786753,-3.3487129159940643e-14,0.01085962013470057,1.2970204964480828e-15,0.01085962013470057
equilibrium_dt1e-3,2,3,-1,-2.0035315885367884,0.0,cos_even_sum,0.018745532757278822,1.4264230207121813e-15,0.9961244021031703,-3.173567404616309e-14,0.018818465562835708,2.0315130375188703e-15,0.018818465562835708
equilibrium_dt1e-3,3,4,-1,-2.4350963972733997,0.0,I2,0.04667077923694605,1.3051545429601998e-15,2.374751530405483,5.221128172947787e-14,0.019652910479007937,1.1750740806507086e-16,0.019652910479007937
equilibrium_dt1e-3,3,4,-1,-2.4350963972733997,0.0,I1_plus_I3,0.05129136995572691,-1.2266001792048925e-15,3.0010687200626274,8.531394205745032e-15,0.017091034807978852,-4.573072670282705e-16,0.017091034807978852
equilibrium_dt1e-3,3,4,-1,-2.4350963972733997,0.0,cos_theta3,0.048424678251216526,-9.509851006296104e-16,0.489458372786753,-3.3487129159940643e-14,0.09893523319564126,4.825889111699356e-15,0.09893523319564126
equilibrium_dt1e-3,3,4,-1,-2.4350963972733997,0.0,cos_even_sum,0.19473681648099977,-4.1588665843108325e-15,0.9961244021031703,-3.173567404616309e-14,0.19549447445503954,2.0532398669302202e-15,0.19549447445503954
equilibrium_dt1e-3,4,5,-1,-2.971366402513569,0.0,I2,0.0008652381700323335,1.2700884089566361e-17,2.374751530405483,5.221128172947787e-14,0.0003643489261735927,-2.6622744576719204e-18,0.0003643489261735927
equilibrium_dt1e-3,4,5,-1,-2.971366402513569,0.0,I1_plus_I3,0.14118442201422476,-2.0280238769676252e-15,3.0010687200626274,8.531394205745032e-15,0.04704471479456108,-8.095052498918365e-16,0.04704471479456108
equilibrium_dt1e-3,4,5,-1,-2.971366402513569,0.0,cos_theta3,0.010613504370083019,-3.3038582304915743e-16,0.489458372786753,-3.3487129159940643e-14,0.021684181863422948,8.085573722759702e-16,0.021684181863422948
equilibrium_dt1e-3,4,5,-1,-2.971366402513569,0.0,cos_even_sum,0.056450873240880065,6.215503588134382e-16,0.9961244021031703,-3.173567404616309e-14,0.056670505332157645,2.429442586645412e-15,0.056670505332157645
