case,dimension,setting,lambda_real,lambda_imag,nyquist,distance_from_reference,aliased_20pct,matched
driven_dt1e-3,dictionary,E1,-6.465709855105031,4.904442625850657,62.83185307179586,0.9554793611560454,0,1
driven_dt1e-3,dictionary,E2,-5.11214713309866,4.917872890797572,62.83185307179586,0.4245245400862324,0,1
driven_dt1e-3,dictionary,E3,-5.5195170492573435,5.037333497460582,62.83185307179586,0.0,0,1
driven_dt1e-3,short_lag,0.02,-5.673340652555918,5.270747367411665,157.07963267948966,0.2795420104694428,0,1
driven_dt1e-3,short_lag,0.05,-5.5195170492573435,5.037333497460582,62.83185307179586,0.0,0,1
driven_dt1e-3,short_lag,0.1,-5.307090727661007,5.305392061147068,31.41592653589793,0.3420238817284725,0,1
driven_dt1e-3,long_lag,0.25,-5.253842877301883,5.4809229110106195,12.566370614359172,0.517063181301749,0,1
driven_dt1e-3,long_lag,0.5,-5.481169437240307,4.950669608643439,6.283185307179586,0.0947690296052426,0,1
driven_dt1e-3,long_lag,1.0,-5.821379238538011,3.141592653589793,3.141592653589793,1.9196234340196126,1,1
driven_dt1e-3,cutoff,1e-08,-5.519516635441204,5.037332044227978,62.83185307179586,1.511002581098464e-06,0,1
driven_dt1e-3,cutoff,1e-10,-5.5195170492573435,5.037333497460582,62.83185307179586,0.0,0,1
driven_dt1e-3,cutoff,1e-12,-5.5195170492573435,5.037333497460582,62.83185307179586,0.0,0,1
driven_dt2p5e-4,dictionary,E1,-5.403714978967988,6.194270768594114,62.83185307179586,0.5293301895914122,0,1
driven_dt2p5e-4,dictionary,E2,-5.698357637723934,5.065835783650952,62.83185307179586,0.6406448464219374,0,1
driven_dt2p5e-4,dictionary,E3,-5.581749738501255,5.695778969252528,62.83185307179586,0.0,0,1
driven_dt2p5e-4,short_lag,0.02,-5.19428980219592,5.709204744529322,157.07963267948966,0.38769247308081367,0,1
driven_dt2p5e-4,short_lag,0.05,-5.581749738501255,5.695778969252528,62.83185307179586,0.0,0,1
driven_dt2p5e-4,short_lag,0.1,-5.2962220191522995,5.409029991227007,31.41592653589793,0.40466165486156064,0,1
driven_dt2p5e-4,long_lag,0.25,-5.5481429928246,5.14410536942834,12.566370614359172,0.552696276537081,0,1
driven_dt2p5e-4,long_lag,0.5,-5.511881670170623,5.840727170784956,6.283185307179586,0.16090844632815077,1,1
driven_dt2p5e-4,long_lag,1.0,-5.133120106917061,3.141592653589793,3.141592653589793,2.5932867719274983,1,1
driven_dt2p5e-4,cutoff,1e-08,-5.581749246651391,5.695777544168986,62.83185307179586,1.5075740080963503e-06,0,1
driven_dt2p5e-4,cutoff,1e-10,-5.581749738501255,5.695778969252528,62.83185307179586,0.0,0,1
driven_dt2p5e-4,cutoff,1e-12,-5.581749738501255,5.695778969252528,62.83185307179586,0.0,0,1
equilibrium_dt1e-3,dictionary,E1,-5.00985011161609,5.463675600014646,62.83185307179586,0.3707006445842383,0,1
equilibrium_dt1e-3,dictionary,E2,-5.767939912322789,5.315243938472576,62.83185307179586,0.8758727820545368,0,1
equilibrium_dt1e-3,dictionary,E3,-5.059998360061554,5.830968563564211,62.83185307179586,0.0,0,1
equilibrium_dt1e-3,short_lag,0.02,-5.251770475793275,5.609239253328527,157.07963267948966,0.2931559847415922,0,1
equilibrium_dt1e-3,short_lag,0.05,-5.059998360061554,5.830968563564211,62.83185307179586,0.0,0,1
equilibrium_dt1e-3,short_lag,0.1,-4.410006923373024,6.4995299395339865,31.41592653589793,0.932450095826591,0,1
equilibrium_dt1e-3,long_lag,0.25,-5.138932931427471,5.4982544405089975,12.566370614359172,0.3419493445484588,0,1
equilibrium_dt1e-3,long_lag,0.5,-5.229102136187803,5.710216648297758,6.283185307179586,0.207791029981261,1,1
equilibrium_dt1e-3,long_lag,1.0,-5.073903981104043,3.141592653589793,3.141592653589793,2.689411859765496,1,1
equilibrium_dt1e-3,cutoff,1e-08,-5.059998460746984,5.8309682664113085,62.83185307179586,3.137473555335205e-07,0,1
equilibrium_dt1e-3,cutoff,1e-10,-5.059998360061554,5.830968563564211,62.83185307179586,0.0,0,1
equilibrium_dt1e-3,cutoff,1e-12,-5.059996747812631,5.830969907331535,62.83185307179586,2.0988228153826315e-06,0,1
equilibrium_dt2p5e-4,dictionary,E1,-5.476395493970394,5.6923799065109515,62.83185307179586,0.6297067235873605,0,1
equilibrium_dt2p5e-4,dictionary,E2,-5.736297375304411,5.416492750414255,62.83185307179586,0.25831267266673086,0,1
equilibrium_dt2p5e-4,dictionary,E3,-5.963038880424105,5.2927441071235695,62.83185307179586,0.0,0,1
equilibrium_dt2p5e-4,short_lag,0.02,-5.602320973223399,5.293961371691259,157.07963267948966,0.36071996106160353,0,1
equilibrium_dt2p5e-4,short_lag,0.05,-5.963038880424105,5.2927441071235695,62.83185307179586,0.0,0,1
equilibrium_dt2p5e-4,short_lag,0.1,-5.912542173296263,5.0080920288471376,31.41592653589793,0.2890963906690068,0,1
equilibrium_dt2p5e-4,long_lag,0.25,-5.789630643268442,5.1132201386192975,12.566370614359172,0.24959822110936133,0,1
equilibrium_dt2p5e-4,long_lag,0.5,-6.091303954932902,5.381108478268839,6.283185307179586,0.15575683428551776,1,1
equilibrium_dt2p5e-4,long_lag,1.0,-6.51777871884599,3.141592653589793,3.141592653589793,2.221528497312789,1,1
equilibrium_dt2p5e-4,cutoff,1e-08,-5.963039008725339,5.292745292273785,62.83185307179586,1.1920747624947137e-06,0,1
equilibrium_dt2p5e-4,cutoff,1e-10,-5.963038880424105,5.2927441071235695,62.83185307179586,0.0,0,1
equilibrium_dt2p5e-4,cutoff,1e-12,-5.963038880424105,5.2927441071235695,62.83185307179586,0.0,0,1
