case,replicate,reference_mode,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
equilibrium_dt1e-3,0,0,-0.905455076191947,0.0,1,0.014261655996453015,0.6313730630074322,0.0,-0.9197167321884,0.0,516,3.752553823233029e-14
equilibrium_dt1e-3,0,1,-1.8348107649636518,0.0,1,0.13107970791508272,0.37420734513266796,0.0,-1.9658904728787345,0.0,516,3.752553823233029e-14
equilibrium_dt1e-3,0,2,-2.0035315885367884,0.0,1,0.037641115658053836,0.37420734513266796,0.0,-1.9658904728787345,0.0,516,3.752553823233029e-14
equilibrium_dt1e-3,0,3,-2.4350963972733997,0.0,1,0.06279222396281606,0.28840112993129596,0.005204912548268864,-2.4864802529288443,0.03609103445700715,516,3.752553823233029e-14
equilibrium_dt1e-3,0,4,-2.971366402513569,0.0,1,0.2730558468665838,0.2594593391603154,0.0,-2.698310555646985,0.0,516,3.752553823233029e-14
equilibrium_dt1e-3,1,0,-0.905455076191947,0.0,1,0.011352873577169076,0.6322919945212518,0.0,-0.9168079497691161,0.0,516,1.0791367799356522e-13
equilibrium_dt1e-3,1,1,-1.8348107649636518,0.0,1,0.08392060422350078,0.38313583787761735,0.0,-1.9187313691871526,0.0,516,1.0791367799356522e-13
equilibrium_dt1e-3,1,2,-2.0035315885367884,0.0,1,0.08480021934963577,0.38313583787761735,0.0,-1.9187313691871526,0.0,516,1.0791367799356522e-13
equilibrium_dt1e-3,1,3,-2.4350963972733997,0.0,1,0.17849927308872848,0.3235833452884869,0.0,-2.256597124184671,0.0,516,1.0791367799356522e-13
equilibrium_dt1e-3,1,4,-2.971366402513569,0.0,1,0.1612219011543199,0.24534932915675245,0.0,-2.810144501359249,0.0,516,1.0791367799356522e-13
equilibrium_dt1e-3,2,0,-0.905455076191947,0.0,1,0.004046459050103812,0.6371792227603053,0.0,-0.9014086171418432,0.0,516,1.2079226507921703e-13
equilibrium_dt1e-3,2,1,-1.8348107649636518,0.0,1,0.07292938583751618,0.38524719900433907,0.0,-1.907740150801168,0.0,516,1.2079226507921703e-13
equilibrium_dt1e-3,2,2,-2.0035315885367884,0.0,1,0.09579143773562038,0.38524719900433907,0.0,-1.907740150801168,0.0,516,1.2079226507921703e-13
equilibrium_dt1e-3,2,3,-2.4350963972733997,0.0,1,0.21542787531090068,0.3296135863806653,0.0,-2.219668521962499,0.0,516,1.2079226507921703e-13
equilibrium_dt1e-3,2,4,-2.971366402513569,0.0,1,0.19908472874679634,0.2480828364034388,0.009203174627729094,-2.786609886702236,0.07416036060755217,516,1.2079226507921703e-13
