case,overall_gate,reference_real,reference_imag,bootstrap_mean_real,bootstrap_ci_low_real,bootstrap_ci_high_real,bootstrap_mean_imag,bootstrap_ci_low_imag,bootstrap_ci_high_imag,bootstrap_accept,autocorr_imag,imag_minus_autocorr,dictionary_pass,dictionary_real_range,dictionary_real_tolerance,dictionary_imag_range,dictionary_imag_tolerance,short_lag_pass,short_lag_real_range,short_lag_real_tolerance,short_lag_imag_range,short_lag_imag_tolerance,timestep_pass,timestep_real_range,timestep_real_tolerance,timestep_imag_range,timestep_imag_tolerance,cutoff_pass,all_short_unaliased,bootstrap_imag_ci_excludes_zero
driven_dt1e-3,FAIL,-5.5195170492573435,5.037333497460582,-5.402167478034238,-6.026783810830343,-4.885433807170513,5.08363158856779,4.467042836516252,5.674052243779608,500,5.400912262786367,-0.3635787653257845,False,1.3535627220063704,1.1039034098514688,0.1328908716099253,0.9835745781595144,True,0.3662499248949116,1.1039034098514688,0.26805856368648584,1.054149473482333,True,0.062232689243911565,1.11012667877586,0.6584454717919455,1.073311246671311,True,True,True
driven_dt2p5e-4,PASS,-5.581749738501255,5.695778969252528,-5.419707505049196,-6.1319407501689485,-4.827802650804265,5.721400635204219,5.077304096322944,6.301797160219788,500,5.4996904921446035,0.19608847710792432,True,0.2946426587559454,1.116349947700251,1.128434984943162,1.1391557938505057,True,0.38745993630533526,1.05924440383046,0.3001747533023158,1.1391557938505057,True,0.062232689243911565,1.11012667877586,0.6584454717919455,1.073311246671311,True,True,True
equilibrium_dt1e-3,PASS,-5.059998360061554,5.830968563564211,-5.470815136188505,-5.876631823973677,-4.750260668171818,5.5664292132432704,5.112113216846921,6.338555587498341,500,5.0809735907636755,0.7499949728005353,True,0.7580898007066992,1.0119996720123108,0.515724625091635,1.0927351200029294,True,0.8417635524202502,1.0119996720123108,0.8902906862054598,1.1661937127128421,True,0.9030405203625511,1.102303724048566,0.5382244564406413,1.112371267068778,True,True,True
equilibrium_dt2p5e-4,PASS,-5.963038880424105,5.2927441071235695,-5.791918670037345,-6.29740863149266,-5.403307676871982,5.23537204606799,4.778360675707078,5.776191680263269,500,5.263668093703114,0.029076013420455737,True,0.48664338645371163,1.1472594750608822,0.39963579938738203,1.0832985500828511,True,0.36071790720070585,1.1825084346592527,0.285869342844121,1.0585488214247138,True,0.9030405203625511,1.102303724048566,0.5382244564406413,1.112371267068778,True,True,True
