case,reference_mode,eigen_index,conjugate_index,lambda_real,lambda_imag,observable,contribution_real,contribution_imag,reconstructed_variance_real,reconstructed_variance_imag,weight_real,weight_imag,weight_abs
driven_dt1e-3,0,1,-1,-0.9003294425796398,0.0,I2,1.2714511861680997,-9.017512250409973e-15,2.5836922602976182,4.424238753131249e-14,0.49210627972452103,-1.191684840245952e-14,0.49210627972452103
driven_dt1e-3,0,1,-1,-0.9003294425796398,0.0,I1_plus_I3,0.9153629136900638,4.390711410590665e-15,3.1097106980136657,7.605027718682322e-14,0.29435629310300593,-5.7867654000975616e-15,0.29435629310300593
driven_dt1e-3,0,1,-1,-0.9003294425796398,0.0,cos_theta3,0.05961653638659563,7.503249125660809e-16,0.4909200295641971,-6.907668881339646e-15,0.1214383866951178,3.2371485815129512e-15,0.1214383866951178
driven_dt1e-3,0,1,-1,-0.9003294425796398,0.0,cos_even_sum,0.2130013752708708,4.261405022118938e-15,0.9953169470803107,-1.712594909636378e-14,0.21400356529213604,7.963713680354776e-15,0.21400356529213604
driven_dt1e-3,1,2,-1,-1.7219560332019352,0.0,I2,0.0030673048128530274,-2.9502318011968137e-16,2.5836922602976182,4.424238753131249e-14,0.0011871788525231334,-1.3451555834360645e-16,0.0011871788525231334
driven_dt1e-3,1,2,-1,-1.7219560332019352,0.0,I1_plus_I3,0.03592721885974322,1.6973556941921069e-15,3.1097106980136657,7.605027718682322e-14,0.011553235123348228,2.632813917963163e-16,0.011553235123348228
driven_dt1e-3,1,2,-1,-1.7219560332019352,0.0,cos_theta3,0.007694293919136008,6.059979827635798e-17,0.4909200295641971,-6.907668881339646e-15,0.01567321244962533,3.439769209155432e-16,0.01567321244962533
driven_dt1e-3,1,2,-1,-1.7219560332019352,0.0,cos_even_sum,0.018489641673614308,-7.085117049925992e-16,0.9953169470803107,-1.712594909636378e-14,0.018576637047979856,-3.9220588544421953e-16,0.018576637047979856
driven_dt1e-3,2,3,-1,-1.9826109179025015,0.0,I2,0.006450476849931693,-6.622140314727724e-16,2.5836922602976182,4.424238753131249e-14,0.002496611902684051,-2.9905655354543e-16,0.002496611902684051
driven_dt1e-3,2,3,-1,-1.9826109179025015,0.0,I1_plus_I3,0.09920104180783959,-2.100166048320678e-15,3.1097106980136657,7.605027718682322e-14,0.03190040857215575,-1.4555054801390863e-15,0.03190040857215575
driven_dt1e-3,2,3,-1,-1.9826109179025015,0.0,cos_theta3,-0.00010146216478370739,-2.843356236689803e-17,0.4909200295641971,-6.907668881339646e-15,-0.00020667758224038665,-6.08270611747479e-17,0.00020667758224038665
driven_dt1e-3,2,3,-1,-1.9826109179025015,0.0,cos_even_sum,0.008050459695314977,8.941406107686308e-16,0.9953169470803107,-1.712594909636378e-14,0.008088337809308292,1.0375198326465502e-15,0.008088337809308292
driven_dt1e-3,3,4,5,-2.4330203253846303,0.19025723976725073,I2,0.0321926142006277,-6.078471059822732e-15,2.5836922602976182,4.424238753131249e-14,0.012459925934414265,-2.565989778852708e-15,0.012459925934414265
driven_dt1e-3,3,4,5,-2.4330203253846303,0.19025723976725073,I1_plus_I3,0.0022765770800692075,4.9057979900624105e-15,3.1097106980136657,7.605027718682322e-14,0.0007320864547056984,1.559670041124838e-15,0.0007320864547056984
driven_dt1e-3,3,4,5,-2.4330203253846303,0.19025723976725073,cos_theta3,0.022244954650850753,4.128641872824801e-16,0.4909200295641971,-6.907668881339646e-15,0.045312786831285326,1.4785909539036345e-15,0.045312786831285326
driven_dt1e-3,3,4,5,-2.4330203253846303,0.19025723976725073,cos_even_sum,0.14281663091509247,-4.003741782554471e-15,0.9953169470803107,-1.712594909636378e-14,0.14348859560166696,-1.5536391728360882e-15,0.14348859560166696
