case,replicate,reference_real,reference_imag,matched,distance,mu_real,mu_imag,lambda_real,lambda_imag,gram_kept,trivial_error
driven_dt1e-3,0,-5.5195170492573435,5.037333497460582,1,0.22455139552003706,0.7360010165812503,0.19757519534607895,-5.4346339809533255,5.245223357591594,517,1.1546541500706553e-11
driven_dt1e-3,1,-5.5195170492573435,5.037333497460582,1,0.29964176353277105,0.7442451584178889,0.18255313265462755,-5.323446697464665,4.810746640822947,517,7.205347429817266e-13
driven_dt1e-3,2,-5.5195170492573435,5.037333497460582,1,0.2758482212070431,0.7372063432309202,0.19935060969364204,-5.392013364212866,5.281945540179596,517,1.7871260027391145e-12
driven_dt1e-3,3,-5.5195170492573435,5.037333497460582,1,0.2770238992150494,0.7371098203181088,0.19941721507610236,-5.39399817119917,5.28428946921937,517,3.149258631651719e-12
driven_dt1e-3,4,-5.5195170492573435,5.037333497460582,1,0.13101532147393183,0.7397019115394095,0.1904181788961153,-5.388513670550843,5.039102459981071,517,8.696376951888851e-12
driven_dt1e-3,5,-5.5195170492573435,5.037333497460582,1,0.4602530045749835,0.7177691912984829,0.19144234292950116,-5.944920873236889,5.2130162079470725,516,1.532107773982716e-13
driven_dt1e-3,6,-5.5195170492573435,5.037333497460582,1,0.1621287447002649,0.7377728347100045,0.1945627695242079,-5.4100406839857715,5.1569188448280965,516,1.9630963521422018e-12
driven_dt1e-3,7,-5.5195170492573435,5.037333497460582,1,0.3398961708988616,0.7462369800392237,0.18281567100051424,-5.271393046199018,4.805032214429214,517,3.0242475190789264e-13
driven_dt1e-3,8,-5.5195170492573435,5.037333497460582,1,0.5580060884971338,0.7558819223132769,0.19360987601426854,-4.961960520941851,5.014939021966693,517,9.636735853746359e-14
driven_dt1e-3,9,-5.5195170492573435,5.037333497460582,1,0.20360279649678736,0.7279927460294476,0.19252412082389,-5.673272379863201,5.17080033623185,516,7.647216193618078e-13
driven_dt1e-3,10,-5.5195170492573435,5.037333497460582,1,0.3287045842250995,0.7463618884596552,0.1942542850674984,-5.195455389406356,5.092385693649457,516,1.3808953980287697e-12
driven_dt1e-3,11,-5.5195170492573435,5.037333497460582,1,0.370140443409073,0.7406248714328694,0.2020184419589085,-5.287576948138791,5.325791011386257,517,4.1089354141377044e-13
driven_dt1e-3,12,-5.5195170492573435,5.037333497460582,1,0.13179139254879166,0.7374261401896304,0.1934325867324968,-5.426371578697494,5.130569179815215,517,1.8052226380405045e-13
driven_dt1e-3,13,-5.5195170492573435,5.037333497460582,1,0.34130907752211037,0.7398774290519808,0.2011333019367235,-5.312439747946138,5.3086467438763485,516,7.174261185127762e-13
driven_dt1e-3,14,-5.5195170492573435,5.037333497460582,1,0.8506975230585312,0.7178532524399988,0.1622738455390634,-6.1314245578980495,4.4463550912501315,517,8.356648706353553e-13
driven_dt1e-3,15,-5.5195170492573435,5.037333497460582,1,0.22075626789021457,0.7379042352619054,0.1969533318742671,-5.39065173912637,5.216573731943982,517,1.7863488466218769e-13
driven_dt1e-3,16,-5.5195170492573435,5.037333497460582,1,0.18511738138990394,0.7345055754820091,0.1961296420161034,-5.482414866964509,5.218694664642988,517,5.238032230181489e-13
driven_dt1e-3,17,-5.5195170492573435,5.037333497460582,1,0.43068546088617965,0.7187414120797533,0.19003862741803845,-5.929328686944146,5.169788727010804,517,1.0125233984581428e-13
driven_dt1e-3,18,-5.5195170492573435,5.037333497460582,1,0.5563007881608965,0.745960727103313,0.2073300730808868,-5.117541120374679,5.421892881050885,516,7.172040739078511e-14
driven_dt1e-3,19,-5.5195170492573435,5.037333497460582,1,0.47561658717817534,0.7511645743436695,0.19738209387414787,-5.054933510828161,5.139182767559269,516,1.2223555501122974e-13
driven_dt1e-3,20,-5.5195170492573435,5.037333497460582,1,0.24051376623125315,0.7416719750882057,0.19528746008909173,-5.306635834975629,5.1492641025366055,517,5.218048215738236e-14
driven_dt1e-3,21,-5.5195170492573435,5.037333497460582,1,0.5032779555989234,0.7225800393923419,0.20357345680475006,-5.7347425960689735,5.492269388099546,516,7.971401316808624e-14
driven_dt1e-3,22,-5.5195170492573435,5.037333497460582,1,0.6344631128122619,0.7328661544793997,0.21316644031918264,-5.403699034303743,5.661136053508273,516,1.5714096690544466e-12
driven_dt1e-3,23,-5.5195170492573435,5.037333497460582,1,0.04995516395255836,0.7365756268485855,0.1899803430431339,-5.4708134983666685,5.04844576708323,516,6.039613253960852e-14
driven_dt1e-3,24,-5.5195170492573435,5.037333497460582,1,0.1374901772774782,0.7298264751801707,0.18792916359309478,-5.65697146765801,5.040469053221052,516,1.0236256287043943e-13
driven_dt1e-3,25,-5.5195170492573435,5.037333497460582,1,0.36230497082293894,0.748059312374432,0.18481630662026993,-5.212972570685153,4.844213393535811,517,5.163647287531603e-13
driven_dt1e-3,26,-5.5195170492573435,5.037333497460582,1,0.26682564021827315,0.7447653178246745,0.18662675638806664,-5.2847220478274775,4.910576921373026,516,6.902256544094598e-13
driven_dt1e-3,27,-5.5195170492573435,5.037333497460582,1,0.13830539468461953,0.730539271522096,0.18620572100695645,-5.649999102431571,4.991477025743861,516,1.9761969838327786e-13
driven_dt1e-3,28,-5.5195170492573435,5.037333497460582,1,0.37962124931609365,0.7418556638173291,0.1764632128238292,-5.421630665838002,4.670549434457031,517,4.4853010194856324e-14
driven_dt1e-3,29,-5.5195170492573435,5.037333497460582,1,0.0018567629488225228,0.7349595961036328,0.18910527504258645,-5.517753817362809,5.036751619523024,517,6.3806737671257e-12
driven_dt1e-3,30,-5.5195170492573435,5.037333497460582,1,0.4710582711069785,0.7498620629439157,0.1790924854622893,-5.202579153088943,4.68884208472471,517,2.886579864025407e-14
driven_dt1e-3,31,-5.5195170492573435,5.037333497460582,1,0.32644425379450515,0.7467531203156064,0.19300620934840218,-5.193760420481446,5.058510599340055,517,1.312283615106935e-13
driven_dt1e-3,32,-5.5195170492573435,5.037333497460582,1,0.7364739263102202,0.7529771540194188,0.2109612942654251,-4.918742375071147,5.463318984292307,517,4.334310688136611e-13
driven_dt1e-3,33,-5.5195170492573435,5.037333497460582,1,0.2776116564043526,0.744758430994501,0.18526209936340302,-5.293508850451492,4.8761239262679785,517,1.9815260543509794e-12
driven_dt1e-3,34,-5.5195170492573435,5.037333497460582,1,0.3161050350186338,0.7289108882913918,0.19947866248793691,-5.601860157333816,5.342525249833477,516,2.7977620220553945e-14
driven_dt1e-3,35,-5.5195170492573435,5.037333497460582,1,0.3864116839612752,0.748884574801316,0.18435629349818475,-5.195042588653893,4.827499482301247,516,4.884981308350689e-15
driven_dt1e-3,36,-5.5195170492573435,5.037333497460582,1,0.08337830418745187,0.7369466807366719,0.19152020851485438,-5.451231149906127,5.085176757790233,517,5.304645611658998e-13
driven_dt1e-3,37,-5.5195170492573435,5.037333497460582,1,0.47162439574387843,0.751794351544284,0.19559276845011608,-5.0508997395896635,5.090506683754091,517,5.663247648612924e-13
driven_dt1e-3,38,-5.5195170492573435,5.037333497460582,1,0.27167578877396376,0.7276082799295046,0.19635633107617256,-5.656873515231884,5.27172832560519,516,1.368904989362818e-13
driven_dt1e-3,39,-5.5195170492573435,5.037333497460582,1,0.2205819937663816,0.7409533040720635,0.19493659010094458,-5.327098921159839,5.145183763818179,517,2.402522625288839e-13
driven_dt1e-3,40,-5.5195170492573435,5.037333497460582,1,0.6803022523646711,0.7295320842810804,0.21438530374605064,-5.478732909014413,5.716412144214469,517,8.915090887740007e-14
driven_dt1e-3,41,-5.5195170492573435,5.037333497460582,1,0.36351549603435285,0.7325616939012078,0.20271594054234335,-5.486306670558349,5.399328782794205,516,2.469136006766348e-13
driven_dt1e-3,42,-5.5195170492573435,5.037333497460582,1,0.013409653248120235,0.7353966426133075,0.18915044495363842,-5.5063057871393095,5.035035377906812,517,8.459899447643693e-14
driven_dt1e-3,43,-5.5195170492573435,5.037333497460582,1,0.6391297369687519,0.7227629940199694,0.16842065410258683,-5.9647091200162725,4.578758704421189,517,3.064215547965432e-14
driven_dt1e-3,44,-5.5195170492573435,5.037333497460582,1,0.6836085760598589,0.7375831937838762,0.21506812024993274,-5.271527486531387,5.674374989077554,517,2.369215934550084e-12
driven_dt1e-3,45,-5.5195170492573435,5.037333497460582,1,0.5611084986112077,0.7419010703891031,0.20938948603135127,-5.204364011805862,5.501576225135264,517,9.769962616701378e-14
driven_dt1e-3,46,-5.5195170492573435,5.037333497460582,1,0.20488632494438386,0.7418488619482771,0.18557966043072574,-5.365203500579041,4.9025531767771655,517,5.848654893725325e-13
driven_dt1e-3,47,-5.5195170492573435,5.037333497460582,1,0.17841198864198876,0.7339895803642901,0.19582287382055863,-5.49761720635535,5.214396295845949,517,5.697664562376303e-13
driven_dt1e-3,48,-5.5195170492573435,5.037333497460582,1,1.080988764969594,0.6987181640899944,0.20662946693467668,-6.331763075718905,5.750630842533373,516,7.395417611633093e-12
driven_dt1e-3,49,-5.5195170492573435,5.037333497460582,1,0.24645244035722688,0.7410934795809428,0.19616994592252257,-5.315349336015065,5.175370993190732,516,9.310774373716413e-12
driven_dt1e-3,50,-5.5195170492573435,5.037333497460582,1,0.3117402907986296,0.7289552575978849,0.19931338031907078,-5.601881671940081,5.337996228502433,517,4.976019596369952e-13
driven_dt1e-3,51,-5.5195170492573435,5.037333497460582,1,0.41167731402235413,0.7482634107531694,0.19747383647416347,-5.126705780416348,5.160530567036879,516,1.9750867608081535e-13
driven_dt1e-3,52,-5.5195170492573435,5.037333497460582,1,0.16300740172281117,0.7409387384473415,0.18771938650582326,-5.3746262252204815,4.962647072145529,516,1.2332357357536239e-12
driven_dt1e-3,53,-5.5195170492573435,5.037333497460582,1,0.5264698115622818,0.7447346275952953,0.20670157498283684,-5.152433565270612,5.4147194779508325,517,3.019806626980426e-14
driven_dt1e-3,54,-5.5195170492573435,5.037333497460582,1,0.44521999070419516,0.7182718624828104,0.18737498898072308,-5.95977176882435,5.103640525908705,517,1.4277468096679513e-13
driven_dt1e-3,55,-5.5195170492573435,5.037333497460582,1,0.6529421676802342,0.7377300105710471,0.21387134922884976,-5.276555855328986,5.643389049848208,517,3.062439191126032e-12
driven_dt1e-3,56,-5.5195170492573435,5.037333497460582,1,0.48235314427173454,0.7479449387505186,0.1761214554834406,-5.268865824200613,4.625218805698218,516,1.978417429882029e-13
driven_dt1e-3,57,-5.5195170492573435,5.037333497460582,1,0.3609676130368485,0.7483358556199657,0.19230097164518675,-5.158612537921641,5.030584322766003,517,1.6486811915683575e-13
driven_dt1e-3,58,-5.5195170492573435,5.037333497460582,1,0.33071241691881076,0.7457797996433528,0.19554183055899535,-5.201622126223366,5.128512007064014,516,1.7208456881689926e-13
driven_dt1e-3,59,-5.5195170492573435,5.037333497460582,1,0.320278855058001,0.7458498956225709,0.19457514844323168,-5.206208487423229,5.1037886709138425,517,2.424727085781342e-13
driven_dt1e-3,60,-5.5195170492573435,5.037333497460582,1,0.4942209639459449,0.753819696736044,0.19050130328680076,-5.032959071326974,4.9506403874923235,517,2.389199948993337e-13
driven_dt1e-3,61,-5.5195170492573435,5.037333497460582,1,0.3379039204411862,0.7311625065533718,0.20137287819064253,-5.531250162885843,5.375033650694341,516,2.5757174171303632e-14
driven_dt1e-3,62,-5.5195170492573435,5.037333497460582,1,0.39057212300544597,0.7494619803374498,0.18577917871126906,-5.171670830267709,4.85971145152147,517,7.4495964952348e-14
driven_dt1e-3,63,-5.5195170492573435,5.037333497460582,1,0.6439168509740201,0.7345505786607893,0.21363682755780042,-5.35792644223827,5.660645126336144,517,5.218048215738236e-14
driven_dt1e-3,64,-5.5195170492573435,5.037333497460582,1,0.1721476434209477,0.7408595401675433,0.1864071575087682,-5.385043590638171,4.929854662044565,517,2.8310687127941492e-14
driven_dt1e-3,65,-5.5195170492573435,5.037333497460582,1,0.7771815161474578,0.7353939934785301,0.15975090336178477,-5.68587731376113,4.278165945838747,517,1.5372147998959917e-12
driven_dt1e-3,66,-5.5195170492573435,5.037333497460582,1,0.33915179452057576,0.7477968291379242,0.19044586196760208,-5.1840473277342305,4.987493697423545,517,2.55351295663786e-14
driven_dt1e-3,67,-5.5195170492573435,5.037333497460582,1,0.5653173751377463,0.7426979492986682,0.20928001687541925,-5.1852456914149245,5.493235234635181,517,5.88418203051333e-13
driven_dt1e-3,68,-5.5195170492573435,5.037333497460582,1,0.11121999617435316,0.7360377482062128,0.19317672306352598,-5.463339602533555,5.133322986617568,517,3.0686564400639327e-13
driven_dt1e-3,69,-5.5195170492573435,5.037333497460582,1,0.7272887814448235,0.7475499112012514,0.16445827711079816,-5.346447354469996,4.3309371127290985,517,2.9609648066752925e-13
driven_dt1e-3,70,-5.5195170492573435,5.037333497460582,1,0.7138120164415923,0.7618593988570479,0.1836168570880132,-4.875243952321956,4.730022951950513,517,3.448352714485736e-13
driven_dt1e-3,71,-5.5195170492573435,5.037333497460582,1,0.34829959254670373,0.7218983830848528,0.18741149930232986,-5.865188468948274,5.080040356125867,517,1.7686963005303369e-12
driven_dt1e-3,72,-5.5195170492573435,5.037333497460582,1,0.3311583523894852,0.747304022340042,0.18663512622259845,-5.2206189464041355,4.8947649929861665,517,7.438494264988549e-14
driven_dt1e-3,73,-5.5195170492573435,5.037333497460582,1,0.7178542087670875,0.7476643313938552,0.2135421478351645,-5.031845556565142,5.564107813709943,517,1.3486989303146402e-12
driven_dt1e-3,74,-5.5195170492573435,5.037333497460582,1,0.31335631228526256,0.742349147177076,0.17980242553005582,-5.388630778493044,4.752621427863184,517,1.3716694446941347e-11
