control,n,clone_count,horizon,k,residual_delta_control_minus_baseline,combined_residual_se,late_half_delta_control_minus_baseline,combined_late_half_se,both_support_gate,all_member_gates,paired_control_gate
timestep_halving,30,4096,60.0,0.4,-0.0019017799701823712,0.0031547900991725857,-0.0021285671583307422,0.004035715069864406,1,1,1
selection_interval,30,4096,60.0,0.4,-0.0031570691943638082,0.00301678759795409,0.0005597990578753292,0.0032700982793003866,1,1,1
