mode,n,clone_count,horizon,selection_time,dt,k,gauge_shift,control_scale,resample_threshold,independent_runs,mean_scgf,run_scgf_se,scgf_ci_low,scgf_ci_high,mean_late_half_scgf,late_half_scgf_se,late_half_ci_low,late_half_ci_high,minimum_weight_ess,minimum_final_unique_roots,minimum_final_root_weight_ess,support_gate
controlled_exact,10,1024,20.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.18624508071428558,0.0011397079736187453,-0.18987214014403095,-0.18261802128454022,-0.1876275146832182,0.0020921211300604305,-0.194285577843785,-0.1809694515226514,633.0488693584673,181,99.63664006081338,1
controlled_exact,10,1024,20.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.17783809120521063,0.008769810468659758,-0.20574754212923527,-0.149928640281186,-0.19640164845054572,0.01427600450669082,-0.2418342662470775,-0.15096903065401396,164.67254388120296,50,24.392295524332372,1
controlled_exact,10,1024,40.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.1840182331521311,0.000684165736559147,-0.18619555387264544,-0.18184091243161674,-0.18179138558997662,0.0014282549784009303,-0.18633673036899173,-0.1772460408109615,633.0488693584673,96,29.58235061784122,1
controlled_exact,10,1024,40.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.18295711814632323,0.0033945562669507904,-0.19376011119615844,-0.17215412509648803,-0.1880761450874358,0.0031392401275937283,-0.19806660823289482,-0.1780856819419768,164.67254388120296,22,11.088767158055033,1
controlled_exact,10,1024,60.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.18195070796931503,0.0012884112085054997,-0.18605100745950948,-0.1778504084791206,-0.17906597589235257,0.0017212831436031531,-0.18454386707305956,-0.17358808471164558,633.0488693584673,52,8.609281092975138,1
controlled_exact,10,1024,60.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.1839362970638432,0.0007746260636117595,-0.18640150291796093,-0.1814710912097255,-0.18839002498441737,0.003930974498694644,-0.2009001402539526,-0.17587990971488213,164.67254388120296,15,7.823909507394308,1
controlled_exact,10,2048,20.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.18089856223214063,0.0016170636505531157,-0.18604478047225198,-0.17575234399202927,-0.18189810443131701,0.001502767199939993,-0.18668058035446758,-0.17711562850816645,1276.8558192402143,372,200.91511783866645,1
controlled_exact,10,2048,20.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.16780100666325126,0.0027956546984103875,-0.17669802762905643,-0.1589039856974461,-0.18086665508791544,0.003992851512728312,-0.1935736906321441,-0.16815961954368677,300.3648892810636,96,36.229001831185435,1
controlled_exact,10,2048,40.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.17950812808758848,0.0018921599820743,-0.18552982563154652,-0.17348643054363044,-0.17811769394303634,0.0023385982108838914,-0.18556015717880686,-0.1706752307072658,1276.8558192402143,202,62.54554130629288,1
controlled_exact,10,2048,40.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.17753486143876618,0.0029535663867508344,-0.18693442787369152,-0.16813529500384083,-0.1872687162142811,0.00816504191567176,-0.2132535236912973,-0.1612839087372649,300.3648892810636,46,19.490622502276995,1
controlled_exact,10,2048,60.0,2.0,0.0005,0.3,0.1,0.5,1.0,4,-0.17877837746917205,0.0026887334648028763,-0.18733512735012664,-0.17022162758821746,-0.17784279087429913,0.004252457329379469,-0.19137600799055945,-0.1643095737580388,1276.8558192402143,132,13.879416008153651,1
controlled_exact,10,2048,60.0,2.0,0.0005,0.7,0.1,0.5,1.0,4,-0.17870305772415035,0.002995882751583351,-0.18823729371798997,-0.16916882173031073,-0.1815534058046704,0.005365755495540531,-0.19862963455650912,-0.16447717705283166,300.3648892810636,28,13.830354669797016,1
