event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,1.9113469696526044,1.9113469696526044,3.8226939393052088,1.1185083197467245,-9.1019101822294157,0.50632777184816324,5.759217227420053,0.36342216724329973,67,5.7588752196836559,67,5.7588752196836559
2,1,0.37236493613013444,2.2837119057827389,2.2837119057827389,7.5657297276723465,-6.5373102744855345,-0.21095454415774981,7.3958212106916532,0.20576794554064387,45,7.3768572714993246,36,7.3061315496098107
3,1.5,0.75792887084690452,3.0416407766296434,2.0277605177530957,6.3446674873054096,-6.419785445198948,0.55998043486829219,7.3016141644949633,0.3443522761227632,62,7.3372145096283026,21,4.4564123487012104
4,2,-0.55226787353906914,2.4893729030905742,1.2446864515452871,11.121787428292105,-2.8417581495765658,2.031943295209826,17.281104341022488,0.15055703455871189,65,17.120167189132708,16,6.0737720111214086
5,2.5,0.43680328667350654,2.9261761897640808,1.1704704759056324,6.5206695950508218,-5.3211194176066483,1.4756691972538081,12.345211677401466,0.19352253193097796,61,12.240567799775869,13,4.9075932304927363
6,3,-0.012926444759924216,2.9132497450041566,0.97108324833471882,5.8080173302904274,-4.8276742952970251,-0.55759988137823069,7.2011894325225123,0.32777452208391628,67,7.1671041119860019,10,3.6004834633556753
7,3.5,0.92051759040884917,3.8337673354130057,1.0953620958322874,3.0964099553711231,-6.8220703759975567,1.2148898686931133,5.7060041558344512,0.40130988283997365,69,5.6603903955778199,6,3.1859990277102574
8,4,-0.82431835332453396,3.0094489820884718,0.75236224552211795,9.0672039091449612,-2.51082249818699,2.5948297764948123,13.943407262672954,0.21119649977411489,62,13.831996623047699,6,3.7608171697463559
9,4.5,0.55488122231355774,3.5643302044020295,0.79207337875600659,5.896726547086323,-6.8950061747118019,-1.5576704077961274,5.8393054158390845,0.35563369272363116,49,5.854564945506521,6,2.8382849718492853
10,5,1.4816161718864054,5.0459463762884349,1.009189275257687,6.0130235929829547,-10.001914180689115,0.42097426415463485,3.6875440250120617,0.43082612490018152,36,3.6992549108150823,4,1.7965897253138878
11,5.5,-1.4118541096553061,3.6340922666331288,0.66074404847875068,15.032246343728652,-2.7010004274168686,-2.1909097639730253,8.1229908770622909,0.29271560147683773,38,8.0968618729923403,3,1.2405072875260268
12,6,0.62200386651547834,4.2560961331486071,0.70934935552476786,8.2250184948514278,-6.3108707959179631,-3.9630278050379975,9.6772443684927278,0.25003764953875163,49,9.6319811875367431,2,1.6882889381214901
13,6.5,0.13386567357104173,4.3899618067196489,0.67537873949533056,11.367385808324517,-8.2058530132016969,-3.9001574630049198,1.8527672975688383,0.7325139559917706,40,1.8624531090144367,2,1.168282943525385
14,7,-0.82023377119142449,3.5697280355282244,0.5099611479326035,10.245406385318333,-3.2391035575558713,-0.85567528483946576,11.648275140317415,0.18768029990896296,45,11.562455892731123,2,1.4180370434481564
15,7.5,0.042745017737900959,3.6124730532661253,0.48166307376881673,6.7412808033421996,-4.2796985396877432,1.3409283664052598,16.46146768302464,0.1389818150402152,61,16.28628230616302,2,1.5496807755970678
16,8,0.2788576039228241,3.8913306571889494,0.48641633214861868,9.7912764570734527,-7.2717963274348429,1.579876813807179,2.7367320067379883,0.59864578133635993,54,2.7466890192791285,2,1.8891899682905737
17,8.5,0.87995059115272323,4.7712812483416727,0.56132720568725558,25.794832688374978,-9.5459884949378786,1.0833646367629779,2.3862155439153692,0.6358242340039586,24,2.3769041056143916,2,1.0157470551766894
18,9,0.88847776807247136,5.659759016414144,0.6288621129349049,7.4249385956705654,-9.7925571668866116,-0.64936027141641683,2.0277510791646032,0.69586553764473968,31,2.0309904549398787,1,1
19,9.5,1.1721195890306131,6.8318786054447571,0.71914511636260603,5.4928780153677064,-8.0786894053255001,-1.1562865712807151,4.6607670822272862,0.44480846671976915,53,4.710076182262469,1,1
20,10,0.25617199429380655,7.0880505997385637,0.70880505997385634,13.734077514567922,-9.1242288328444072,1.7270112539474929,1.7695474805459239,0.74541390084912229,23,1.7657075115853,1,1
