case,delta_beta,availability,FT_status,a_inf,a_inf_ci_low,a_inf_ci_high,a_inf_over_delta_beta,ratio_ci_low,ratio_ci_high,largest_resolved_t,a_Gauss_at_largest_resolved_t,a_Gauss_over_delta_beta,gaussFT_t640,skew_t160,excess_kurtosis_t160,n_negative_t160
dbeta_0p000000,0.0,AVAILABLE,CONSISTENT_WITH_EQUILIBRIUM,7.803429241384298e-05,-0.00011783591410364698,0.0002589832876700629,nan,nan,nan,640,9.27544245308769e-05,nan,nan,-0.00032657791290917907,0.06122800750445245,62425
dbeta_0p027972,0.02797202797202797,AVAILABLE,CONSISTENT_WITH_FT,0.02761143692156027,0.026997203356833054,0.028047530896013986,0.9871088699457797,0.9651500200067817,1.0026992295325001,640,0.026850247028398833,0.9598963312652584,1.0417791665917508,0.051243395309378215,0.03882319099180842,20136
dbeta_0p057143,0.05714285714285716,AVAILABLE,CONSISTENT_WITH_FT,0.05668246047550599,0.05503487715968071,0.057869064462634526,0.9919430583213545,0.963110350294412,1.012708628096104,320,0.05319906854073187,0.9309836994628075,1.0659401870497551,0.09514481927560195,0.04088308273283392,2997
dbeta_0p125000,0.125,AVAILABLE,CONSISTENT_WITH_FT,0.12774886808964275,0.11450731165873948,0.13763718596428162,1.021990944717142,0.9160584932699158,1.101097487714253,80,0.09313060732271033,0.7450448585816827,1.3175084499319085,0.1806440356092923,0.08078030994979857,2
dbeta_0p222222,0.2222222222222222,AVAILABLE,UNRESOLVED,nan,nan,nan,nan,nan,nan,40,0.1143884890942965,0.5147482009243343,1.9405952307036776,0.23233008694470103,0.08886652556164698,0
dbeta_0p400000,0.4,AVAILABLE,UNRESOLVED,nan,nan,nan,nan,nan,nan,20,0.120264278066631,0.30066069516657745,3.2298013214187016,0.23610935471253575,0.08361596810959115,0
