entropy_center,positive_count,negative_count,log_probability_ratio,poisson_standard_error,usable
0.0371409500235691,20755,20182,0.027996063462664953,0.00988586184038685,1
0.11142285007070729,18889,17191,0.0941937509903261,0.01054091256551575,1
0.18570475011784549,15862,13829,0.1371584751786066,0.011634240881229498,1
0.2599866501649837,13166,10562,0.2203750947609435,0.013062628023559257,1
0.3342685502121219,10779,8322,0.2586971862387418,0.014592340688223304,1
0.40855045025926007,8994,6510,0.3232182321280378,0.016272524869547163,1
0.48283235030639826,7479,5212,0.36113543394693187,0.01804363161967345,1
0.5571142503535365,6432,4262,0.4115469982002399,0.019751057317506347,1
0.6313961504006746,5476,3253,0.520797259934988,0.022136476536194508,1
0.7056780504478128,4713,2636,0.5810620313013329,0.02432163131568272,1
0.779959950494951,4215,2069,0.7115841926904127,0.026843494593526737,1
0.8542418505420892,3567,1713,0.7334786870347715,0.02939589754994954,1
0.9285237505892274,3254,1387,0.8527418674641515,0.03206703304813573,1
1.0028056506363656,2961,1174,0.9251103277135495,0.03448930991434124,1
1.0770875506835038,2628,987,0.9793083401710195,0.03733214070666667,1
1.151369450730642,2434,805,1.106448996128909,0.04065811565127267,1
1.2256513507777802,2137,686,1.1362806275932624,0.04388247561178088,1
1.2999332508249184,1802,554,1.1794877514209994,0.04857976027461756,1
1.3742151508720566,1663,481,1.2405112090871664,0.051771855186046455,1
1.4484970509191948,1537,393,1.3637781316693345,0.0565256344437578,1
1.5227789509663325,1397,328,1.449068750872818,0.06135633709130856,1
1.5970608510134703,1308,270,1.5778325730187692,0.06684481803092515,1
1.6713427510606085,1201,233,1.639871368514283,0.07158550803530679,1
1.7456246511077467,1103,177,1.8296392866796733,0.08097120369498177,1
1.8199065511548849,966,142,1.9173367766112572,0.08987463606878952,1
1.894188451202023,869,153,1.7369052038729567,0.08767380280682095,1
1.9684703512491613,814,133,1.8116112377807865,0.09352699193806262,1
2.0427522512962994,727,113,1.8615386588211789,0.10111910472584201,1
2.1170341513434376,686,101,1.9157571108846256,0.10657727734621375,1
2.191316051390576,670,78,2.15056888569542,0.11963716033885816,1
2.265597951437714,575,69,2.120263536200091,0.12740441145412124,1
2.3398798514848522,547,62,2.1773144173768895,0.134004424639502,1
2.4141617515319904,514,55,2.2348900802226943,0.14187086900998025,1
2.4884436515791286,450,36,2.5257286443082556,0.17320508075688773,1
2.562725551626267,433,52,2.1194940094210626,0.14676592946913847,1
2.637007451673405,417,25,2.8142103969306005,0.20590794432166085,1
2.711289351720543,366,25,2.6837575085331657,0.2067177796832156,1
2.7855712517676814,383,20,2.952302715626655,0.22937080471899918,1
2.8598531518148196,338,23,2.687551679553869,0.21549208976484965,1
2.9341350518619578,281,16,2.8657659470939647,0.25701890759477203,0
3.008416951909096,249,11,3.119557623666337,0.30809926187207753,0
3.082698851956234,263,13,3.007204674716228,0.28412208342875817,0
3.1569807520033724,211,16,2.579269411236285,0.2593054887442435,0
3.2312626520505106,229,17,2.600508659498024,0.25137689161662996,0
3.3055445520976487,182,4,3.817712325956905,0.5054646431695351,0
3.379826452144787,214,7,3.420065865966538,0.3840963942207796,0
3.454108352191925,204,5,3.708682081410116,0.45266097775743136,0
3.528390252239063,183,6,3.417726683613366,0.4148869093391398,0
3.6026721522862006,163,4,3.7074558396868715,0.5060977863270629,0
3.676954052333339,136,5,3.3032169733019514,0.4553602323177449,0
3.751235952380477,151,6,3.2255203675868693,0.41628017394893796,0
3.825517852427615,109,2,3.9982007016691985,0.7135645113979573,0
3.8997997524747534,113,5,3.1179499062782403,0.45700060998003483,0
3.9740816525218916,110,3,3.6018680771243066,0.5851702678915278,0
4.04836355256903,102,5,3.0155349008501706,0.4580435804250808,0
4.122645452616168,105,2,3.960813169597578,0.7138093649734567,0
4.196927352663306,94,4,3.1570004211501135,0.510527470242631,0
4.271209252710444,79,0,nan,nan,0
4.345491152757583,93,4,3.1463051320333655,0.5106394894365721,0
4.419773052804721,84,1,4.430816798843313,1.0059347702036956,0
