dataset,observable,first_quarter_mean,last_quarter_mean,last_minus_first,stream_standard_error,z_score,streams
equilibrium,log_action_1,0.29438763182980643,0.27954942318515985,-0.01483820864464654,0.018028204431221065,-0.8230552688292062,64
equilibrium,log_action_2,0.29207404444246055,0.2900809427262413,-0.001993101716219218,0.017760352621515433,-0.11222196758665219,64
equilibrium,cos_theta,-0.2656663613368549,-0.25980903901115904,0.0058573223256958885,0.010025142382431518,0.5842632555484206,64
equilibrium,sin_theta,-0.001589929187691816,0.00024212857155593093,0.0018320577592477465,0.003344025786397792,0.5478599377731629,64
equilibrium,energy,6.1257334246804005,6.095321870740301,-0.03041155394009898,0.11406620926728987,-0.2666131726078139,64
driven,log_action_1,0.3322701621152777,0.33413413282184884,0.001863970706571115,0.012307798097929147,0.15144631815862644,64
driven,log_action_2,0.22397055254817816,0.22082967954115312,-0.003140873007025059,0.017623963294638906,-0.17821604337887448,64
driven,cos_theta,-0.27482366982422496,-0.26567202447653665,0.009151645347688284,0.009308051549118986,0.9831966764896671,64
driven,sin_theta,0.041158795714123356,0.04069659004833004,-0.000462205665793312,0.0031997933942007977,-0.144448596784717,64
driven,energy,6.041568533792913,6.057197568233265,0.015629034440353073,0.091311419872367,0.17116188163757587,64
