sector,angle,metric,source,estimate,ci_low,ci_high,seed_min,seed_max
low,theta1,prob_within_pi_over_6_of_theta0,direct_trajectory,0.20413467903755744,0.20128898431599598,0.20716714439785786,,
low,theta1,prob_within_pi_over_6_of_theta0,new_ensemble,0.2043232025540463,0.20168030559707525,0.20681707695306348,0.20409466635140242,0.20446108428597332
low,theta1,prob_within_pi_over_6_of_theta0,legacy_density,0.20060448251268964,0.19806026164045323,0.2029942293302336,,
low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,direct_trajectory,0.19329376371149196,0.19102527520690982,0.19554447380107254,,
low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,new_ensemble,0.19378482610876618,0.19165505678414432,0.19583979645756575,0.1936372436434769,0.19393816642250827
low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,legacy_density,0.19145695867576004,0.18937487680207066,0.19349018395186895,,
low,joint,prob_both_within_pi_over_6_of_theta0,direct_trajectory,0.03905931791560041,0.03816251219731825,0.03986004941244941,,
low,joint,prob_both_within_pi_over_6_of_theta0,new_ensemble,0.03819036653802054,0.0373397541991605,0.03914326972325185,0.03814880608464843,0.03821874683066745
low,joint,prob_both_within_pi_over_6_of_theta0,legacy_density,0.037500404221305184,0.03665254719465116,0.0383967749939219,,
low,theta1,circular_resultant,direct_trajectory,0.19067988241349915,0.18075085204722546,0.20059794107990292,,
low,theta1,circular_resultant,new_ensemble,0.19259988675368114,0.18529675990797764,0.19858573958633272,0.1922172491104306,0.1928913737355622
low,theta1,circular_resultant,legacy_density,0.18384381767651403,0.17627074406962698,0.1909268530843495,,
low,theta3,circular_resultant,direct_trajectory,0.1891066666344145,0.1828019164738405,0.1955931217046825,,
low,theta3,circular_resultant,new_ensemble,0.1851010167301194,0.1780802171573365,0.19200979863070727,0.1846773058774924,0.1855547962181103
low,theta3,circular_resultant,legacy_density,0.173472425236119,0.16678746748831094,0.18012205823105185,,
middle,theta1,prob_within_pi_over_6_of_theta0,direct_trajectory,0.2173881819779605,0.21503689846450513,0.21952949160246807,,
middle,theta1,prob_within_pi_over_6_of_theta0,new_ensemble,0.2184032487713323,0.2162308519193358,0.22059490695101355,0.21833980718091495,0.21844072572957396
middle,theta1,prob_within_pi_over_6_of_theta0,legacy_density,0.21150286470096752,0.2094152785470777,0.21366223568681872,,
middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,direct_trajectory,0.2027881037379451,0.2009887824179769,0.20482283814460625,,
middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,new_ensemble,0.20505138547978075,0.20257557175170252,0.20749696328294343,0.20491259208001644,0.20513681724416769
middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,legacy_density,0.20103763116736462,0.19861176705287756,0.20368665019730534,,
middle,joint,prob_both_within_pi_over_6_of_theta0,direct_trajectory,0.039840042635138836,0.03880686216307566,0.04098312681005111,,
middle,joint,prob_both_within_pi_over_6_of_theta0,new_ensemble,0.039276918529828904,0.038552148078667456,0.04002365073456279,0.039201510983748786,0.03931468176219865
middle,joint,prob_both_within_pi_over_6_of_theta0,legacy_density,0.03769484449401581,0.03699769657887482,0.03842866414019322,,
middle,theta1,circular_resultant,direct_trajectory,0.21761867933930176,0.2099765628834222,0.2249128463870066,,
middle,theta1,circular_resultant,new_ensemble,0.21271450858330984,0.20809616931603597,0.21739649673211653,0.21245731399277604,0.21309080966029317
middle,theta1,circular_resultant,legacy_density,0.19316585959815746,0.1882987777810702,0.19799629323004656,,
middle,theta3,circular_resultant,direct_trajectory,0.18676960308172127,0.18017909565203696,0.19346359833402277,,
middle,theta3,circular_resultant,new_ensemble,0.1895233668919901,0.18221444741061293,0.19605760550899295,0.18825350075938863,0.19018646382656967
middle,theta3,circular_resultant,legacy_density,0.16937216366877242,0.16206044997255922,0.176158631173903,,
high,theta1,prob_within_pi_over_6_of_theta0,direct_trajectory,0.2504700548523687,0.24800242172088663,0.25332205348657383,,
high,theta1,prob_within_pi_over_6_of_theta0,new_ensemble,0.24469088969802477,0.24257924258353786,0.2470619910566482,0.24426400173112417,0.2454320708767462
high,theta1,prob_within_pi_over_6_of_theta0,legacy_density,0.22300844173602477,0.21677071885400545,0.2276698933520606,,
high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,direct_trajectory,0.21892994287317238,0.21691320127408287,0.2209141570571183,,
high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,new_ensemble,0.21817145864508258,0.21590060578103143,0.22033049249560827,0.21803687919949327,0.21830380538333485
high,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,legacy_density,0.20742099613861312,0.20177043262695094,0.2120082951714052,,
high,joint,prob_both_within_pi_over_6_of_theta0,direct_trajectory,0.04206043237464888,0.041257440959588436,0.04283494177403843,,
high,joint,prob_both_within_pi_over_6_of_theta0,new_ensemble,0.041817833003831135,0.04090855692097349,0.042751160832688276,0.04152230410595799,0.04200697240239929
high,joint,prob_both_within_pi_over_6_of_theta0,legacy_density,0.03841660043628726,0.03706750163142412,0.03962189150383019,,
high,theta1,circular_resultant,direct_trajectory,0.2621158549810939,0.255326343479389,0.2689305002238705,,
high,theta1,circular_resultant,new_ensemble,0.2492221234492531,0.24292327139924094,0.25559372524696267,0.24839890725761413,0.24987392445704398
high,theta1,circular_resultant,legacy_density,0.21102428059221962,0.18390585688960978,0.22948100539405425,,
high,theta3,circular_resultant,direct_trajectory,0.18828346537757323,0.18115569791535088,0.19558701238556678,,
