sector,angle,metric,density_estimate,density_ci_low,density_ci_high,trajectory_estimate,trajectory_ci_low,trajectory_ci_high,difference,difference_z
low,theta3,circular_mean,-3.02987189419847,-3.0549175311943664,-3.0076532624459693,-3.0650148616111825,-3.0828462069826927,-3.0443657958085426,0.03514296741271261,2.26029624183883
middle,theta1,circular_mean,2.8894480519787336,2.8697542060912067,2.908442037547717,2.919437153657089,2.8997097580272158,2.936049206695512,-0.029989101678355556,-2.214790646318046
high,theta1,prob_within_pi_over_6_of_theta0,0.24469088969802477,0.24257924258353786,0.2470619910566482,0.2504700548523687,0.24800242172088663,0.25332205348657383,-0.0057791651543439015,-3.2565487541662645
