case,scope,density_estimate,density_ci_low,density_ci_high,trajectory_estimate,trajectory_ci_low,trajectory_ci_high,density_minus_trajectory,difference_z,density_trajectory_gate_pass,reference_zero_applicable_after_conditioning
driven,section4_1_support_mask,-0.0038465917170254446,-0.008807363750147113,0.0005286557672952157,0.001926387329722244,0.0013208066822562752,0.002551657539972735,-0.005772979046747688,-2.305935665371991,False,False
equilibrium,section4_1_support_mask,-8.787840346998602e-05,-0.0008117602733896178,0.0007143506672285265,-0.0004233116994749883,-0.001260041379847401,0.0004234133602253727,0.0003354332960050023,0.5856031883559825,True,False
