case,source,tv_exchange,ci_low,ci_high,bootstrap_replicates,seed_min,seed_max
driven,direct_trajectory,0.11586565828552785,0.11364713755353681,0.12119650017157857,1000,,
driven,new_seed_8201,0.11496972938768507,0.11406264099569063,0.11973828027322808,1000,,
driven,new_seed_8202,0.11566983913940321,0.1146818865481119,0.1204178011061949,1000,,
driven,new_seed_8203,0.1140501203730782,0.11326887425150554,0.11871971185235371,1000,,
driven,new_ensemble,0.11489389571600815,0.1136942675996477,0.11959014156239314,1000,0.1140501203730782,0.11566983913940321
driven,legacy_density,0.09920134496793698,0.09689826249841961,0.10865863470704623,1000,,
equilibrium,direct_trajectory,0.02747173635985818,0.032761618594270826,0.04544888542295367,1000,,
equilibrium,new_seed_8201,0.028707974507233114,0.03445879114982735,0.047217062918513304,1000,,
equilibrium,new_seed_8202,0.028707974507233114,0.03343620698453158,0.0468098213546772,1000,,
equilibrium,new_seed_8203,0.028707974507233114,0.03401126824866405,0.04638708073546221,1000,,
equilibrium,new_ensemble,0.028707974507233114,0.034136032542963816,0.0466831442516441,1000,0.028707974507233114,0.028707974507233114
equilibrium,legacy_density,0.030785647301071216,0.035777787671640734,0.04916445135919846,1000,,
