case,source,mass,ci_low,ci_high,ess_fraction_full,endpoint_low,endpoint_high,middle_low,middle_high,energy_low_mid,energy_mid_high
driven,direct_trajectory,0.9941991205087949,0.9938353038344617,0.9945207657298426,1.0,0.0013386726093202554,9.097123012991574,0.001590777283908471,9.737255536776356,3.8436158325253054,8.441668424562586
driven,new_seed_8201,0.9942274765811733,0.9937268922729272,0.9946985118718997,0.9156472965461926,0.0013386726093202554,9.097123012991574,0.001590777283908471,9.737255536776356,3.8436158325253054,8.441668424562586
driven,new_seed_8202,0.9942030408916098,0.9937215528511024,0.9946671697494328,0.9162441305029864,0.0013386726093202554,9.097123012991574,0.001590777283908471,9.737255536776356,3.8436158325253054,8.441668424562586
driven,new_seed_8203,0.9942287038722399,0.9937180771863086,0.9946921320679649,0.9173303905546495,0.0013386726093202554,9.097123012991574,0.001590777283908471,9.737255536776356,3.8436158325253054,8.441668424562586
driven,new_ensemble,0.9942197404483412,0.9937484557526631,0.9946872459057671,0.9164827157093638,0.0013386726093202554,9.097123012991574,0.001590777283908471,9.737255536776356,3.8436158325253054,8.441668424562586
driven,legacy_density,0.9841197020252753,0.9749829845160758,0.9896981310934515,0.03373891192475064,0.0013386726093202554,9.097123012991574,0.001590777283908471,9.737255536776356,3.8436158325253054,8.441668424562586
equilibrium,direct_trajectory,0.9940344346556534,0.9935446739282607,0.9944696959280407,1.0,0.001462212099099066,8.64527811172375,0.0017207645998461084,9.014979452966527,3.8694304489798217,8.363698562783178
equilibrium,new_seed_8201,0.9938994360056399,0.9933988003869961,0.9943476971480285,1.0,0.001462212099099066,8.64527811172375,0.0017207645998461084,9.014979452966527,3.8694304489798217,8.363698562783178
equilibrium,new_seed_8202,0.9938994360056399,0.993437862496375,0.9943594782802172,1.0,0.001462212099099066,8.64527811172375,0.0017207645998461084,9.014979452966527,3.8694304489798217,8.363698562783178
equilibrium,new_seed_8203,0.9938994360056399,0.9934506279937201,0.9943313691863082,1.0,0.001462212099099066,8.64527811172375,0.0017207645998461084,9.014979452966527,3.8694304489798217,8.363698562783178
equilibrium,new_ensemble,0.9938994360056399,0.9934325031749682,0.9943451659233408,1.0,0.001462212099099066,8.64527811172375,0.0017207645998461084,9.014979452966527,3.8694304489798217,8.363698562783178
equilibrium,legacy_density,0.9912185839584445,0.9879791491466442,0.9932044453511318,0.4904896118295953,0.001462212099099066,8.64527811172375,0.0017207645998461084,9.014979452966527,3.8694304489798217,8.363698562783178
