case,diagnostic,sector,angle,metric,density_estimate,trajectory_estimate,difference,difference_z_approx,intervals_overlap
driven,phase_locking,low,theta1,circular_mean,3.0071486467293984,2.99513444142327,0.01201420530612829,0.5825710957932299,True
driven,phase_locking,low,theta1,circular_resultant,0.19259988675368114,0.19067988241349915,0.0019200043401819966,0.31510765918931954,True
driven,phase_locking,low,theta1,histogram_mode,-3.097959422289935,3.097959422289935,0.08726646259971638,0.04017186351088787,True
driven,phase_locking,low,theta1,prob_within_pi_over_6_of_theta0,0.2043232025540463,0.20413467903755744,0.0001885235164888477,0.09466801586709973,True
driven,phase_locking,low,theta3,circular_mean,-3.02987189419847,-3.0650148616111825,0.03514296741271261,2.26029624183883,False
driven,phase_locking,low,theta3,circular_resultant,0.1851010167301194,0.1891066666344145,-0.004005649904295111,-0.8302923790517776,True
driven,phase_locking,low,theta3,histogram_mode,-3.097959422289935,-3.097959422289935,0.0,0.0,True
driven,phase_locking,low,theta3,prob_within_pi_over_6_of_theta0,0.18534306562605776,0.1887431635659851,-0.003400097939927349,-2.2725149562082914,True
driven,phase_locking,low,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.19378482610876618,0.19329376371149196,0.0004910623972742278,0.3125370767745616,True
driven,phase_locking,low,joint,prob_both_within_pi_over_6_of_theta0,0.03819036653802054,0.03905931791560041,-0.0008689513775798699,-1.3753049544657368,True
driven,phase_locking,middle,theta1,circular_mean,2.8894480519787336,2.919437153657089,-0.029989101678355556,-2.214790646318046,False
driven,phase_locking,middle,theta1,circular_resultant,0.21271450858330984,0.21761867933930176,-0.004904170755991921,-1.0925948059907042,True
driven,phase_locking,middle,theta1,histogram_mode,2.923426497090502,2.923426497090502,0.0,0.0,True
driven,phase_locking,middle,theta1,prob_within_pi_over_6_of_theta0,0.2184032487713323,0.2173881819779605,0.0010150667933717938,0.6353024927400304,True
driven,phase_locking,middle,theta3,circular_mean,-2.9047886729808945,-2.9153803692094375,0.010591696228543057,0.8221497411063102,True
driven,phase_locking,middle,theta3,circular_resultant,0.1895233668919901,0.18676960308172127,0.0027537638102688167,0.562630582774038,True
driven,phase_locking,middle,theta3,histogram_mode,-2.923426497090502,-3.097959422289935,0.17453292519943275,0.0815164384018936,True
driven,phase_locking,middle,theta3,prob_within_pi_over_6_of_theta0,0.17714873139131118,0.1781538380129304,-0.0010051066216192062,-0.719938571561165,True
driven,phase_locking,middle,theta3,prob_within_pi_over_6_of_minus_2pi_over_3,0.20505138547978075,0.2027881037379451,0.0022632817418356543,1.4221252139197953,True
driven,phase_locking,middle,joint,prob_both_within_pi_over_6_of_theta0,0.039276918529828904,0.039840042635138836,-0.0005631241053099326,-0.8402723619793951,True
driven,phase_locking,high,theta1,circular_mean,2.7251052591648004,2.718571076625131,0.00653418253966942,0.5032817272808263,True
driven,phase_locking,high,theta1,circular_resultant,0.2492221234492531,0.2621158549810939,-0.012893731531840813,-2.718750492021166,True
driven,phase_locking,high,theta1,histogram_mode,2.4870941840919194,2.574360646691636,-0.08726646259971638,-0.784,True
driven,phase_locking,high,theta1,prob_within_pi_over_6_of_theta0,0.24469088969802477,0.2504700548523687,-0.0057791651543439015,-3.2565487541662645,False
driven,phase_locking,high,theta3,circular_mean,-2.687513315785179,-2.64654455385747,-0.04096876192770882,-1.934674494002301,True
driven,phase_locking,high,theta3,circular_resultant,0.190470646790384,0.18828346537757323,0.002187181412810768,0.40962819844532244,True
driven,phase_locking,high,theta3,histogram_mode,-2.923426497090502,-2.923426497090502,0.0,0.0,True
