case,scope,source,observable,estimate,ci_low,ci_high,bootstrap_se,z_from_zero,streams,rows,reference_zero_applicable
driven,complete_held_out_trajectory,direct_trajectory,J12,0.2327497079544463,0.22843957980740354,0.23763324489766646,0.002328393391293138,99.96150514118334,32,3200032,False
driven,complete_held_out_trajectory,direct_trajectory,J23,-0.232732662449285,-0.2376222698702543,-0.22846514131256782,0.0023254075019524664,-100.08252844023133,32,3200032,False
driven,complete_held_out_trajectory,direct_trajectory,J12_plus_J23,1.7045505161284203e-05,-0.0002701338628903681,0.00031680865270405684,0.00014757498860902226,0.11550402491606288,32,3200032,True
equilibrium,complete_held_out_trajectory,direct_trajectory,J12,0.0013909780104393438,-0.00396479706676925,0.007659344137103738,0.0030324848253974104,0.4586924883480842,16,1600016,False
equilibrium,complete_held_out_trajectory,direct_trajectory,J23,-0.0012997642025351027,-0.007678725802949053,0.004097604188097177,0.003088188424829308,-0.42088241510293983,16,1600016,False
equilibrium,complete_held_out_trajectory,direct_trajectory,J12_plus_J23,9.121380790423979e-05,-0.0003173855782489348,0.0005371968835569365,0.00022172645017286684,0.4113799135517023,16,1600016,True
