epoch,phase,learning_rate,training_loss,training_nll,training_fp_loss,validation_nll
1,pretrain,0.001,8.031845486333967,8.031845486333967,1954946360.4022968,7.829567073937731
2,pretrain,0.001,7.821670437525533,7.821670437525533,9895822.806264471,7.800239982171893
3,pretrain,0.001,7.796900826984424,7.796900826984424,66708669.042940915,7.789220618249237
4,pretrain,0.001,7.794524785710465,7.794524785710465,7520136.062928541,7.786404587514278
5,pretrain,0.001,7.79331663684149,7.79331663684149,8512685.867107488,7.78597171311507
6,pretrain,0.001,7.7927241540553185,7.7927241540553185,85111945.46531764,7.785169575256063
7,pretrain,0.001,7.7893889633625495,7.7893889633625495,5877754.051148334,7.785111335823652
8,pretrain,0.001,7.79249497469971,7.79249497469971,2178017723.265882,7.784897889943287
9,pretrain,0.001,7.787403318220379,7.787403318220379,148789832.756066,7.784824205099643
10,pretrain,0.001,7.7885193654873515,7.7885193654873515,1253544483.8103116,7.784168554604586
11,pretrain,0.001,7.787852004622576,7.787852004622576,79954587.70957404,7.783954719054396
12,pretrain,0.001,7.789254786031001,7.789254786031001,6598846.341934455,7.783864709259419
13,pretrain,0.001,7.78477018742997,7.78477018742997,36012663.90967319,7.784087838623379
14,pretrain,0.001,7.786566159020936,7.786566159020936,14948709.136402626,7.783335867645645
15,pretrain,0.001,7.788305553673441,7.788305553673441,267739363.5388259,7.783305851342672
16,pretrain,0.001,7.788332681616691,7.788332681616691,8397724.283364417,7.782856359516499
17,pretrain,0.001,7.788333532432873,7.788333532432873,47133387.7231836,7.7830309181155295
18,pretrain,0.001,7.785661389942469,7.785661389942469,42057702.12483188,7.782231267620059
19,pretrain,0.001,7.7911039296510145,7.7911039296510145,6457887.167696515,7.7823571881965545
20,pretrain,0.001,7.7879334023757,7.7879334023757,243585002.2347761,7.78171855264951
21,pretrain,0.001,7.7877260251058145,7.7877260251058145,8197339.43335906,7.78168529570825
22,pretrain,0.001,7.7865169320061485,7.7865169320061485,74240014.09720306,7.781493081068221
23,pretrain,0.001,7.786662073828661,7.786662073828661,2190826612173.9092,7.781395105590997
24,pretrain,0.001,7.7864268025186325,7.7864268025186325,1223099095.3305404,7.7814403526908675
25,pretrain,0.001,7.787896908770997,7.787896908770997,78295484.9327481,7.7815147622624306
26,pretrain,0.001,7.784442917479931,7.784442917479931,7354311.052477512,7.7816214613345345
27,pretrain,0.001,7.784398264681288,7.784398264681288,9209809.150015341,7.781593346625533
28,pretrain,0.001,7.783651218087198,7.783651218087198,1649314190.0924945,7.781693114138468
29,pretrain,0.001,7.785481877217783,7.785481877217783,4187516.104140556,7.781389528477215
30,pretrain,0.001,7.785980377668514,7.785980377668514,1765367708.981277,7.78135328757545
31,pretrain,0.001,7.787345535692998,7.787345535692998,14319779.602791667,7.781185984983852
32,pretrain,0.001,7.7834884249658804,7.7834884249658804,2879877.1126441425,7.781155397518287
33,pretrain,0.001,7.7847388662190085,7.7847388662190085,30674059.123467334,7.781194554774193
34,pretrain,0.001,7.785867604731855,7.785867604731855,397490230.0811584,7.781160762723295
35,pretrain,0.001,7.786875621708003,7.786875621708003,2262951.157774234,7.7809162187386605
36,pretrain,0.001,7.784922319192366,7.784922319192366,338022088.0786899,7.7808011612452495
37,pretrain,0.001,7.783804731656581,7.783804731656581,91124744.46625105,7.780767143093748
38,pretrain,0.001,7.786003902906422,7.786003902906422,204091743.48415676,7.780585252624988
39,pretrain,0.001,7.784696067601012,7.784696067601012,23176828.923519924,7.781026920692114
40,pretrain,0.001,7.785038896849837,7.785038896849837,205813519.4257547,7.780447064372409
41,pretrain,0.001,7.78575697883445,7.78575697883445,1587357216.7737725,7.780305787769295
42,pretrain,0.001,7.784473414601927,7.784473414601927,7908671.880526608,7.780488732769628
43,pretrain,0.001,7.7813340702677385,7.7813340702677385,1925411.631236339,7.780644384820232
