power,points,replicate,seed,log_partition,partition
16,65536,0,2026107501,6.242892326986892,514.3440126973059
16,65536,1,2026107502,6.242890949472363,514.3433041814434
16,65536,2,2026107503,6.242890015946026,514.3428240286468
16,65536,3,2026107504,6.242889856658907,514.3427421004668
16,65536,4,2026107505,6.242890913025169,514.3432854350737
16,65536,5,2026107506,6.242888601624534,514.3420965830509
16,65536,6,2026107507,6.2428940354468185,514.3448914341906
16,65536,7,2026107508,6.242890078480508,514.34285619281
16,65536,8,2026107509,6.242893460896463,514.3445959172351
16,65536,9,2026107510,6.242889205668613,514.3424072684427
16,65536,10,2026107511,6.242893389795823,514.3445593470065
16,65536,11,2026107512,6.242892159297762,514.343926447413
16,65536,12,2026107513,6.24289022005763,514.3429290119963
16,65536,13,2026107514,6.242892952362199,514.3443343554513
16,65536,14,2026107515,6.242894163120097,514.3449571022932
16,65536,15,2026107516,6.242898263642724,514.3470661897521
18,262144,0,2026109501,6.242891313243129,514.3434912845354
18,262144,1,2026109502,6.2428914348441165,514.3435538292155
18,262144,2,2026109503,6.242890610849235,514.3431300129345
18,262144,3,2026109504,6.242891179701369,514.3434225982045
18,262144,4,2026109505,6.242891125732852,514.3433948398537
18,262144,5,2026109506,6.242890934029807,514.3432962386684
18,262144,6,2026109507,6.2428906130233965,514.3431311311995
18,262144,7,2026109508,6.242890906285526,514.3432819685834
18,262144,8,2026109509,6.242891208235859,514.3434372747322
18,262144,9,2026109510,6.242890468718924,514.3430569091906
18,262144,10,2026109511,6.242891538638824,514.3436072153571
18,262144,11,2026109512,6.242890572962105,514.3431105259499
18,262144,12,2026109513,6.2428909363581955,514.3432974362591
18,262144,13,2026109514,6.242890668698456,514.3431597672845
18,262144,14,2026109515,6.242890551872351,514.3430996785804
18,262144,15,2026109516,6.242891886919962,514.3437863515649
20,1048576,0,2026111501,6.242891060542812,514.3433613097882
20,1048576,1,2026111502,6.2428909867299485,514.3433233446334
20,1048576,2,2026111503,6.24289110752426,514.3433854743847
20,1048576,3,2026111504,6.24289114076335,514.343402570691
20,1048576,4,2026111505,6.242891087270111,514.3433750567975
20,1048576,5,2026111506,6.242890964950062,514.3433121422944
20,1048576,6,2026111507,6.242891141781007,514.3434030941162
20,1048576,7,2026111508,6.242891035613328,514.3433484874737
20,1048576,8,2026111509,6.242891042830847,514.3433521997566
20,1048576,9,2026111510,6.242890984962541,514.3433224355791
20,1048576,10,2026111511,6.24289095816289,514.343308651358
20,1048576,11,2026111512,6.24289103586147,514.3433486151043
20,1048576,12,2026111513,6.2428910914941635,514.3433772294107
20,1048576,13,2026111514,6.242891299162791,514.3434840424048
20,1048576,14,2026111515,6.242890966462243,514.3433129200744
20,1048576,15,2026111516,6.242891121676388,514.3433927534384
