power,points_per_scramble,scrambles,partition_mean,partition_se,log_partition,relative_se
16,65536,16,514.3437992682861,0.00031509235034148423,6.242891912032973,6.126103800410149e-07
18,262144,16,514.3433285663821,5.300536107323087e-05,6.2428909968822115,1.0305443490629412e-07
20,1048576,16,514.3433631454566,1.1432018568877294e-05,6.242891064111767,2.2226433522861096e-08
