affinity,selection,timesteps,ratios,times_used_by_dt,same_times_used,all_finite_time_fits_adequate,bootstrap_accepted,bootstrap_total,dt_zero_ratio,dt_zero_ci_low,dt_zero_ci_high,dt_slope,dt_slope_ci_low,dt_slope_ci_high,linear_reduced_chi2,max_abs_standardized_residual,linear_Odt_compatible,dt_zero_ci_contains_one,interpretable
weak,all_admissible,0.0005;0.00025;0.000125,0.99405140372445866;0.99726296049685925;0.99351864786316502,0.0005:5;10;20;25;40;80;160;320;640|0.00025:5;10;20;25;40;80;160;320;640|0.000125:5;10;20;25;40;80;160;320;640,1,1,1000,1000,0.9952627060003765,0.983446966451882,1.0045054570417609,-0.27988336687712945,-33.60981885003214,33.70014599707469,0.4453256441259892,0.50840838717317,1,1,1
weak,tau_ge_10,0.0005;0.00025;0.000125,0.99471833543696708;0.99916115056464083;0.99436644090331716,0.0005:10;20;25;40;80;160;320;640|0.00025:10;20;25;40;80;160;320;640|0.000125:10;20;25;40;80;160;320;640,1,1,1000,1000,0.9967833679788332,0.9823399709517463,1.0079302504119878,-1.4797447062696847,-40.1506053230324,42.52428167288829,0.5581151639164772,0.5725919816717175,1,1,1
moderate,all_admissible,0.0005;0.00025;0.000125,0.95505140967283253;0.95975049421460235;0.95988428401957337,0.0005:5;10;20;25;40;80|0.00025:5;10;20;25;40;80|0.000125:5;10;20;25;40;80,1,0,1000,1000,0.9624994905782048,0.9534859059569248,0.9692525017412661,-14.426217909703837,-35.302689183975566,6.385706675285588,0.15077081320536143,0.29585262549530783,1,0,0
moderate,tau_ge_10,0.0005;0.00025;0.000125,0.97272773101747045;0.98270767860798136;0.97827872322619391,0.0005:10;20;25;40;80|0.00025:10;20;25;40;80|0.000125:10;20;25;40;80,1,0,1000,1000,0.9839829552099061,0.9700720906108318,0.9947622272056125,-20.410109315997033,-55.55814048997238,13.708448071646282,1.0324856984707802,0.7932870109307666,1,0,0
