affinity,quantity,selection,tau,baseline_case,finer_case,baseline_dt,finer_dt,baseline_value,finer_value,finer_minus_baseline,difference_bootstrap_se,difference_ci_low,difference_ci_high,difference_ci_contains_zero,bootstrap_accepted,mean_Q_baseline,mean_Q_finer,mean_Q_relative_change
weak,per_tau_slope,,5,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.025316907040886294,0.025321690865849254,4.783824962960315e-06,0.00017769279988077527,-0.00036063103199902147,0.0003613549093772509,1,1000,2.2341967997632945,2.2395499588254824,0.002396010531728877
weak,per_tau_slope,,10,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.026490863957086504,0.026487378597024932,-3.485360061571824e-06,0.0001928149100431133,-0.0003787526500518804,0.00037099126689326605,1,1000,4.468393599526589,4.479099917650966,0.0023960105317290758
weak,per_tau_slope,,20,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.027204963425473242,0.027228073087490843,2.3109662017600785e-05,0.00022677230705885748,-0.00042577950525236977,0.0004677769057952061,1,1000,8.93678719905318,8.958199835301931,0.0023960105317288767
weak,per_tau_slope,,25,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.02740704682157422,0.027400127891222138,-6.918930352081687e-06,0.00021852910617587784,-0.0004401584627301149,0.0004225633137304168,1,1000,11.171444186885997,11.197735971411513,0.0023534812586163962
weak,per_tau_slope,,40,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.02757986881033367,0.027647300793392452,6.743198305878342e-05,0.00023139283987189178,-0.00038973034707901166,0.0005325324523212308,1,1000,17.874162995050643,17.9159672518531,0.002338809197053483
weak,per_tau_slope,,80,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.027805757740501213,0.027766300998675733,-3.945674182547973e-05,0.000277841956609339,-0.0006062809127303422,0.000495935091461848,1,1000,35.748325990101286,35.83193450370621,0.002338809197053682
weak,per_tau_slope,,160,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.02706173872878414,0.02768138688908955,0.0006196481603054117,0.0003838875721716264,-0.00016532644661885934,0.001345683676087047,1,1000,71.49735971887642,71.66384453650721,0.0023285449740437602
weak,per_tau_slope,,320,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.02777637440712455,0.02811643559678445,0.0003400611896599015,0.0006655715651223876,-0.0008427722493383306,0.0016908367608165233,1,1000,142.99471943775285,143.32768907301443,0.0023285449740437602
weak,per_tau_slope,,640,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.030356440311276107,0.02496633279147329,-0.005390107519802817,0.002542735251331986,-0.010548707081497775,-0.0006804849052382478,0,1000,285.9894388755057,286.65537814602885,0.0023285449740437602
weak,intercept_ratio,all_admissible,,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.9940514037244587,0.9972629604968593,0.0032115567724005922,0.0065729986120554125,-0.009251960836324966,0.01607106287291362,1,1000,,,
weak,intercept_ratio,tau_ge_10,,weak_dt5e4,weak_dt2p5e4,0.0005,0.00025,0.9947183354369671,0.9991611505646408,0.004442815127673749,0.007575059360308608,-0.01088929861121285,0.018686415569138352,1,1000,,,
weak,per_tau_slope,,5,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.025316907040886294,0.02537870303100658,6.179599012028775e-05,0.00017471767490425983,-0.00029421403874449237,0.00038764886334878134,1,1000,2.2341967997632945,2.2326403799774344,-0.0006966350439787055
weak,per_tau_slope,,10,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.026490863957086504,0.02652907972588664,3.821576880013583e-05,0.00017538292319043718,-0.00032659931546941525,0.00036271731456485477,1,1000,4.468393599526589,4.465280759954869,-0.0006966350439787055
weak,per_tau_slope,,20,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.027204963425473242,0.02709515909602477,-0.00010980432944847351,0.0002172585589751863,-0.0005341226127552473,0.000302580249852849,1,1000,8.93678719905318,8.930561519909737,-0.0006966350439789041
weak,per_tau_slope,,25,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.02740704682157422,0.027460923408609783,5.387658703556383e-05,0.00022680644119982073,-0.00041646434808706315,0.0004956783221659323,1,1000,11.171444186885997,11.163182037887488,-0.0007395775210700659
weak,per_tau_slope,,40,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.02757986881033367,0.02758432474867799,4.455938344322813e-06,0.00023839051837160332,-0.0004909260527858083,0.00045394836690052117,1,1000,17.874162995050643,17.86096883650495,-0.0007381693089263952
weak,per_tau_slope,,80,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.027805757740501213,0.027579450507162078,-0.00022630723333913472,0.000289421471065048,-0.000788591844024877,0.00039285921335649747,1,1000,35.748325990101286,35.7219376730099,-0.0007381693089263952
weak,per_tau_slope,,160,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.02706173872878414,0.027680430226846905,0.0006186914980627657,0.00043123683688795796,-0.00025688395885622176,0.0013880863188463948,1,1000,71.49735971887642,71.44523961545163,-0.0007289794144809165
weak,per_tau_slope,,320,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.02777637440712455,0.027482161608075352,-0.0002942127990491969,0.0006756977527450119,-0.0015585896115750749,0.0010469717684665413,1,1000,142.99471943775285,142.89047923090325,-0.0007289794144809165
weak,per_tau_slope,,640,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.030356440311276107,0.025095078662409412,-0.005261361648866696,0.002545877656545173,-0.010148171443657098,-0.0002100427231465408,0,1000,285.9894388755057,285.7809584618065,-0.0007289794144809165
weak,intercept_ratio,all_admissible,,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.9940514037244587,0.993518647863165,-0.0005327558612936434,0.006791907357520582,-0.01351080958137388,0.012103916152535752,1,1000,,,
weak,intercept_ratio,tau_ge_10,,weak_dt5e4,weak_dt1p25e4,0.0005,0.000125,0.9947183354369671,0.9943664409033172,-0.0003518945336499213,0.007895273863091901,-0.016966706565720586,0.014525418642408399,1,1000,,,
moderate,per_tau_slope,,5,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.09594196561402853,0.09589655660906543,-4.5409004963095634e-05,0.00022149495860808183,-0.0004935718001424543,0.0003693904494945914,1,1000,8.724804056290328,8.723577185710482,-0.00014061869721428968
moderate,per_tau_slope,,10,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.10681800458074688,0.10671090857518396,-0.00010709600556291221,0.00032951364846463407,-0.0007246586695239906,0.0005377824261560067,1,1000,17.449608112580655,17.447154371420964,-0.00014061869721428968
moderate,per_tau_slope,,20,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.11336899308909201,0.1143320172977489,0.0009630242086568902,0.0005471447694367299,-9.530582774333016e-05,0.0020740670026269045,1,1000,34.89921622516131,34.89430874284192,-0.00014061869721449327
moderate,per_tau_slope,,25,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.1162790925689311,0.11694554491608633,0.000666452347155233,0.0007048912778240319,-0.0007351201145176473,0.0019739159022523537,1,1000,43.623931274133696,43.61765399861226,-0.00014389522764437362
moderate,per_tau_slope,,40,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.11966113186895713,0.11934606848547306,-0.00031506338348406826,0.0014309603184239292,-0.003100649815650795,0.002796422909367878,1,1000,69.79734329651409,69.78767639053815,-0.0001384996264810033
moderate,per_tau_slope,,80,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.1246027986997101,0.11252693886084811,-0.012075859838861988,0.007617290814921414,-0.025151523517054856,0.005148744201298672,1,1000,139.59468659302817,139.5753527810763,-0.0001384996264810033
moderate,per_tau_slope,,160,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,nan,nan,nan,nan,nan,nan,0,0,279.190273769414,279.1602174714729,-0.00010765524720933076
moderate,per_tau_slope,,320,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,nan,nan,nan,nan,nan,nan,0,0,558.3805475388281,558.3204349429459,-0.00010765524720933074
moderate,per_tau_slope,,640,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,nan,nan,nan,nan,nan,nan,0,0,1116.761095077656,1116.6408698858916,-0.00010765524720933076
moderate,intercept_ratio,all_admissible,,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.9550514096728325,0.9597504942146023,0.004699084541769816,0.003940143566003685,-0.002568294174243771,0.012374465453914563,1,1000,,,
moderate,intercept_ratio,tau_ge_10,,moderate_dt5e4,moderate_dt2p5e4,0.0005,0.00025,0.9727277310174705,0.9827076786079814,0.009979947590510907,0.006507474792611031,-0.002754521955233138,0.022512900043009806,1,1000,,,
moderate,per_tau_slope,,5,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.09594196561402853,0.09621307253693849,0.00027110692290996385,0.00022832325928140584,-0.00017566725000752007,0.0007119394159533183,1,1000,8.724804056290328,8.736495427501854,0.0013400153328483252
moderate,per_tau_slope,,10,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.10681800458074688,0.10722134745151185,0.000403342870764975,0.00033389419589589125,-0.00021078234617959157,0.0010419583404416874,1,1000,17.449608112580655,17.472990855003708,0.0013400153328483252
moderate,per_tau_slope,,20,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.11336899308909201,0.11465957233682479,0.0012905792477327788,0.0005662525880922151,0.00011245123882809712,0.002344275673262507,0,1000,34.89921622516131,34.94598171000742,0.0013400153328485289
moderate,per_tau_slope,,25,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.1162790925689311,0.11624770944603188,-3.138312289921452e-05,0.0007283705692856294,-0.0014741194073764935,0.0013469733924010136,1,1000,43.623931274133696,43.68265752342786,0.0013461934213384737
moderate,per_tau_slope,,40,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.11966113186895713,0.11873402810078958,-0.0009271037681675559,0.0015094930346517734,-0.0037818759315688486,0.002200786247105335,1,1000,69.79734329651409,69.89135916243063,0.0013469834448733477
moderate,per_tau_slope,,80,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.1246027986997101,0.1271756257106185,0.002572827010908399,0.009168885767578397,-0.016899191416233455,0.018838826164025692,1,1000,139.59468659302817,139.78271832486126,0.0013469834448733477
moderate,per_tau_slope,,160,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,nan,nan,nan,nan,nan,nan,0,0,279.190273769414,279.5653878013278,0.0013435784379209241
moderate,per_tau_slope,,320,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,nan,nan,nan,nan,nan,nan,0,0,558.3805475388281,559.1307756026556,0.0013435784379207203
moderate,per_tau_slope,,640,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,nan,nan,nan,nan,nan,nan,0,0,1116.761095077656,1118.2615512053112,0.0013435784379209241
moderate,intercept_ratio,all_admissible,,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.9550514096728325,0.9598842840195734,0.004832874346740845,0.004248908112036413,-0.0035604562357532342,0.01321348108325222,1,1000,,,
moderate,intercept_ratio,tau_ge_10,,moderate_dt5e4,moderate_dt1p25e4,0.0005,0.000125,0.9727277310174705,0.9782787232261939,0.00555099220872346,0.006855864461371141,-0.009063419573889652,0.019034793057893972,1,1000,,,
