affinity,case,kind,T_left,T_right,delta_beta,dt,seed,bootstrap_seed,tau,inverse_tau,N_windows,mean_Q,std_Q,skew_Q,excess_kurtosis_Q,n_negative,p_negative,dQ,n_symmetric_pairs,full_sample_resolved,admissible,a_fit,a_bootstrap_se,a_ci_low,a_ci_high,ci_contains_reference,a_over_delta_beta,intercept,R2,quadratic_linear,quadratic_coefficient,quadratic_intercept,quadratic_R2,bootstrap_accepted,bootstrap_total
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,40,0.025,499968,69.89135916243063,38.910266235448475,0.34334872559695157,0.2741137200915942,12720,0.02544162826420891,1.9455133117724237,29,1,1,0.11873402810078958,0.0011063216936731425,0.1163380198075983,0.12057557507058743,0,0.9498722248063166,0.0006316968733189177,0.9986416277571628,0.12274874940605549,-9.667133722547443e-05,-0.025801086077044854,0.9987800401996519,1000,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,80,0.0125,249984,139.78271832486126,54.947163318846556,0.2632416697601125,0.138945344987063,620,0.00248015873015873,2.7473581659423276,11,1,1,0.1271756257106185,0.007663935418562107,0.10914415169013754,0.13820763567482203,1,1.017405005684948,-0.031979659703568766,0.9862316552947106,0.11617448236643123,0.00037616411511977993,0.023131762251542173,0.9867459869172887,1000,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,160,0.00625,124928,279.5653878013278,77.5449823440703,0.1912449400285329,0.0922992802493523,1,8.004610655737705e-06,3.8772491172035153,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,320,0.003125,62464,559.1307756026556,109.67709048334936,0.14635019516190415,0.05099007296842162,0,0.0,5.483854524167468,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
moderate,moderate_dt1p25e4,new,8.0,4.0,0.125,0.000125,2026091104,2026095106,640,0.0015625,31232,1118.2615512053112,154.78022407012446,0.11845981182621845,0.07453389074356753,0,0.0,7.739011203506223,0,0,0,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,0,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,5,0.2,4000256,0.0076529845400908295,13.393459359993651,0.0016861279311780643,0.9052293669070881,2000032,0.4999760015359017,0.6696729679996826,106,1,1,0.0002020978795807339,0.00011751416145543757,-1.8986291472898742e-05,0.000428868127960838,1,nan,-0.002086428703739592,0.027025350146423266,0.00035355580261102693,-4.584528501322763e-06,-0.002844834726505864,0.02972883690617978,1000,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,10,0.1,2000128,0.015305969080181663,18.440875480342278,0.0002901237298191438,0.6363117371088118,999544,0.4997400166389351,0.9220437740171139,97,1,1,0.00013933763538376897,0.00012796675481164407,-0.00011902420304504381,0.00038411278947940707,1,nan,-0.0011556804103358342,0.01274942172863347,0.00017948353911782292,-9.081123188461704e-07,-0.00142885231731873,0.012923557556135501,1000,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,20,0.05,1000064,0.03061193816036332,25.72828103919953,-0.002717995149712864,0.378280116730509,499786,0.49975401574299244,1.2864140519599765,85,1,1,0.0001630124232864755,0.000133217894406757,-9.52651561551227e-05,0.00041656536616674334,1,nan,-0.002397268739404307,0.021354029726014856,0.0007441262849789175,-9.712942013999357e-06,-0.007835661182888582,0.06216465257963333,1000,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,25,0.04,800000,0.03836064001996009,28.70105668073288,0.00031374239847769614,0.3140268389036578,399455,0.49931875,1.435052834036644,81,1,1,4.7212615692964034e-05,0.00011985452142289754,-0.00018193316520365187,0.0002903563065490239,1,nan,0.0017294141020319058,0.0016042486577390047,-0.00011075180706167739,2.394470097273144e-06,0.0033654140575954746,0.004219199781194116,1000,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,40,0.025,499968,0.060953143361087495,36.110661683551164,-0.006828848045177606,0.20635221352679078,249282,0.49859591013824883,1.8055330841775583,76,1,1,-1.1067792118875444e-05,0.00013448489040169943,-0.00026866783871264496,0.0002622486869586931,1,nan,0.004959653755677883,0.00010246864674234857,0.0002831745736310669,-3.5983251625202548e-06,0.0011537348592644703,0.010184697375860363,1000,1000
equilibrium,equilibrium_dt5e4,baseline,6.0,6.0,0.0,0.0005,2026090405,2026091099,80,0.0125,249984,0.12190628672217496,50.883761537303734,-0.0029387554290640563,0.11902424409273094,124666,0.49869591653865847,2.5441880768651868,71,1,1,3.89543721509715e-05,0.00012474031854166727,-0.0002037785540935463,0.00027616127095111455,1,nan,0.003999427984943898,0.0010327858834333625,-0.0001327458939809266,1.5146880021444214e-06,0.007096600438965026,0.0036969195204212824,1000,1000
