# mode_index   <I_j>
# total_samples=101376000512
0 0.498182
1 0.491289
2 0.492479
3 0.493396
4 0.494099
5 0.49455
6 0.495022
7 0.495463
8 0.495712
9 0.495928
10 0.496034
11 0.496187
12 0.496175
13 0.496299
14 0.496189
15 0.496122
16 0.49585
17 0.49546
18 0.495127
19 0.494656
20 0.494077
21 0.493434
22 0.492427
23 0.491266
24 0.498177
