source,n,tau,plus_log_survival_rmse_vs_normal,minus_log_survival_rmse_vs_normal,plus_thresholds_used,minus_thresholds_used,sample_count,sample_mu,sample_sigma,tail_probability_max,joint_tail_fit_mu,joint_tail_fit_sigma,joint_tail_fit_success,joint_tail_fit_plus_points,joint_tail_fit_minus_points,joint_tail_fit_plus_log_rmse,joint_tail_fit_minus_log_rmse
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,3.117583025857703,3.1044884359938147,62,51,1000064,0.05426050419513707,0.09552548467154422,0.01,0.06254379841516218,0.12003781930392234,1,32,34,0.618123620674765,0.7622598463883292
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,1.6621658247893,1.6490741142889462,34,23,499968,0.05426098571770842,0.05650094807994972,0.01,0.058955686637033426,0.06555753198626979,1,15,16,0.4905417610595435,0.5189988993646837
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,1.727390037857402,1.4939625269401955,27,15,333312,0.054260985717708425,0.04169269051217315,0.01,0.059118065706876506,0.04791758987483696,1,12,11,0.6241423295152672,0.5882696161080478
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,1.3214251818247449,0.8008203905308076,22,10,249984,0.05426098571770842,0.03389566788611714,0.01,0.05983301360819101,0.037465729510826724,1,9,8,0.4691030906349046,0.3491877004247567
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,0.8108905390191307,0.5585759617172059,18,7,199936,0.05426065269138891,0.028941625607399553,0.01,0.05821027242860986,0.031141299796367823,1,6,6,0.22869739398223143,0.2715146639471387
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,0.6037477252060554,0.5164772946479118,16,5,166656,0.054260985717708425,0.025568326929534802,0.01,0.05735282119063836,0.02704080953244252,1,5,5,0.19047545642292368,0.3709699513014953
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,0.5971195555083717,0.36205862406288014,15,4,142848,0.05426098571770842,0.022998201626761593,0.01,0.05747215955861138,0.02418946227217695,1,4,4,0.18361527911714254,0.2548576131015572
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,0.6456164131273154,0.4342987182522552,14,3,124928,0.05426158230814064,0.021146668256718994,0.01,0.05751788168703564,0.02234881208646559,1,4,3,0.3173897681065526,0.3385598741147502
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,0.7050650229479669,1.0221118248638816,14,3,111104,0.05426098571770841,0.019570596112102556,0.01,0.05575286507546966,0.021099106673438606,1,4,3,0.2448047565210993,0.5442159921264544
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,0.6566626603568773,0.36652566492800176,13,1,99968,0.05426065269138891,0.01834981115989176,0.01,nan,nan,0,4,1,nan,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,3.6035654481105635,3.109858652751208,51,43,1000064,0.03051862827008755,0.0792044811200786,0.01,0.04003997481378423,0.10162374203419718,1,28,28,0.6193110257243724,0.6847798661777432
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,2.087793591702013,1.7563908894267501,28,21,499968,0.03051958681978504,0.04706881080000154,0.01,0.035992616001759556,0.05556796649978643,1,13,14,0.46400227284769585,0.5206924965900951
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,1.5073085415285212,1.268501312477234,20,13,333312,0.030519586819785043,0.03453546987590138,0.01,0.03375327724295963,0.039386074319541844,1,9,9,0.46122632496825766,0.47674551781124735
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,1.080360607405368,0.6712980131554673,16,9,249984,0.03051958681978504,0.02773085899260425,0.01,0.03371641468523739,0.03028917865882236,1,7,6,0.3096734545157781,0.2691824143441873
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,1.1990061164784318,0.8260462192832434,14,7,199936,0.030520771371975303,0.02341255175345089,0.01,0.03318560796853772,0.025899287849175775,1,6,5,0.45635638165356984,0.3393407218835575
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,0.7348364055601233,0.6428219892918844,12,5,166656,0.030519586819785043,0.020449276979582726,0.01,0.031997528706884715,0.022005566818365033,1,4,4,0.14907624627928534,0.33066098801290295
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,0.675126644591037,1.0054921950917775,11,5,142848,0.030519586819785043,0.01823999617299375,0.01,0.031206251099562127,0.019675757055456183,1,4,4,0.13652866739821332,0.5723878949802162
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,0.6745077502158602,0.22288835748879746,10,3,124928,0.030520774349722005,0.016573901356063733,0.01,0.0327890008691973,0.017495741296356792,1,3,3,0.17505883726406707,0.11352087897462503
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,0.5394841550085993,0.7299931821828171,9,3,111104,0.030519586819785043,0.015180541013766407,0.01,0.031531756648069474,0.01617394472364838,1,3,3,0.15936416065952777,0.428949443046826
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,0.6628786102008397,0.33154781253357657,9,2,99968,0.030520771371975303,0.014085454327200264,0.01,nan,nan,0,3,2,nan,nan
