source,n,tau,observable,n_samples,negative_count,autocorrelation_time,max_bins,min_effective_count,range_quantile,adaptive_slope,adaptive_intercept,adaptive_r_squared,adaptive_slope_ci_low,adaptive_slope_ci_high,adaptive_intercept_ci_low,adaptive_intercept_ci_high,adaptive_bins_used,adaptive_a_max
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,180.0,action_current,111104,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,entropy_rate,99968,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,heat_current,99968,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,action_current,99968,0,1.0,60,50.0,0.99,nan,nan,nan,nan,nan,nan,nan,0,nan
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,entropy_rate,1000064,107491,1.0,60,50.0,0.99,0.3640082048438897,-0.0040185205243796615,0.9948915382011546,0.36141844686756397,0.3665831854280944,-0.004594798281018073,-0.003461174333805442,60,0.5396335453550354
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,heat_current,1000064,99933,1.0,60,50.0,0.99,0.1221799037130642,0.002099389304884378,0.9984561191658752,0.12132084147502122,0.12295221927410356,0.001558761709777795,0.002714491860070666,60,1.9361482969819899
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,20.0,action_current,1000064,153016,1.0,60,50.0,0.99,0.7998276772681614,0.008169526241370738,0.9818817169372615,0.7942299247857777,0.8049821661921214,0.0077063804663558945,0.008672345940282447,60,0.280830991956241
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,entropy_rate,499968,10195,1.0,60,50.0,0.99,0.4893643689983656,-0.0012043298005656087,0.9930834909647689,0.47550950766665495,0.5016314817458329,-0.00229691038096556,-0.000134186872311628,42,0.27129196394915356
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,heat_current,499968,11174,1.0,60,50.0,0.99,0.155704633078385,0.0006995563358934002,0.9963507098730284,0.15202685328348448,0.15884453210352992,-0.00024223227364363897,0.0017063939763422682,39,0.9655699654723133
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,40.0,action_current,499968,23622,1.0,60,50.0,0.99,1.131519731994224,0.0030463022147506013,0.9931556573278807,1.115466207918881,1.1448948942134924,0.002511160324918753,0.0035844022895154567,49,0.1388885855284357
