source,n,tau,n_samples,autocorrelation_time,effective_sample_size,mean_entropy_rate,std_entropy_rate,negative_count,negative_probability,normal_symmetry_slope,mean_balance_error_rate,rms_balance_error_rate,ft_slope,ft_intercept,ft_r_squared,ft_slope_ci_low,ft_slope_ci_high,ft_intercept_ci_low,ft_intercept_ci_high,ft_bins_used
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,180.0,111104,1.0,111104.0,0.5627641925010445,0.14446373436067647,0,0.0,0.2996168768900264,1.7363879031702523e-07,1.8065242124453648e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n20_blocks.csv,20,200.0,99968,1.0,99968.0,0.5627711407496836,0.13651177758071792,0,0.0,0.3019893134510242,1.7357634449886087e-07,1.71692733966862e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,20.0,1000064,1.0,1000064.0,0.31839227322790703,0.41726165920011393,214942,0.21492824459234608,0.18287130259419765,7.798191358571711e-08,3.986702730947813e-06,0.2467151640140018,-0.002899391308840148,0.9929615978623486,0.24445212128264687,0.24884888265558022,-0.0033150671960015077,-0.0024817965824741133,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,499968,1.0,499968.0,0.3183915408519498,0.2751764515217177,48561,0.09712821620583717,0.21023692367648739,7.794988623232666e-08,2.6864496270598623e-06,0.3164966720596626,-0.0004949640345980182,0.9930734222065093,0.3103501213716274,0.3219302208254781,-0.0010054081230677465,2.346145029477194e-05,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,333312,1.0,333312.0,0.3183915408519498,0.2139815442448603,13500,0.04050259216589862,0.23178622973314966,7.794988623232667e-08,2.1496180922669053e-06,0.39284159046556305,-0.00038637387458805727,0.9717718955887039,0.37358200238036365,0.4104313572137338,-0.0011528442307073299,0.0003627690453897574,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,249984,1.0,249984.0,0.3183915408519498,0.17880662973526018,4009,0.01603702636968766,0.2489627053597105,7.794988623232667e-08,1.8478014877494356e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,199936,1.0,199936.0,0.31839418657745056,0.1564770172069434,1226,0.006131962227912932,0.26007224544831115,7.794869704471689e-08,1.6421202594160984e-06,0.5042929109975895,-0.0005454544302228706,0.8546648533039352,0.321282310475025,0.6874509685362752,-0.0026435145968563205,0.0014611580175878213,8
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,166656,1.0,166656.0,0.3183915408519498,0.14047839824570926,387,0.0023221486175115207,0.2689002320027063,7.794988623232666e-08,1.4918316965930222e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,142848,1.0,142848.0,0.3183915408519498,0.12820885538435603,137,0.0009590613799283155,0.2767116441515909,7.794988623232667e-08,1.376622981596762e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,124928,1.0,124928.0,0.3183772635820943,0.11849456002872281,52,0.00041623975409836063,0.28343614541918144,7.79851393508648e-08,1.2827950474435113e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,111104,1.0,111104.0,0.3183915408519498,0.11098493566794625,16,0.00014400921658986175,0.2872043027486289,7.794988623232667e-08,1.2060739963474185e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,99968,1.0,99968.0,0.31839418657745056,0.10477800521982747,4,4.001280409731114e-05,0.29001794939643716,7.794869704471689e-08,1.1454922105762172e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,1000064,1.0,1000064.0,0.20918304735744428,0.34757896214973155,276375,0.27635731313195955,0.17314881403956148,4.468647126099573e-08,3.052200843826515e-06,0.20805938424889883,-0.0024998046634876047,0.9937707415402932,0.20621696970844658,0.20983453037651623,-0.0028619228213416356,-0.0021426500947273686,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,499968,1.0,499968.0,0.20919006387632044,0.23396273568641324,85778,0.17156698028673836,0.19108107467411928,4.4689356620546566e-08,2.0188992253171998e-06,0.25406729074508105,-0.000807494960421846,0.9956568890763242,0.2503504006135419,0.25737179247441594,-0.0011259834831898261,-0.000446920679587494,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,333312,1.0,333312.0,0.20919006387632044,0.1845818575242024,35276,0.10583477342549923,0.20466414876325859,4.4689356620546566e-08,1.6040869392034827e-06,0.29519218402967606,-0.0005135927285605074,0.9945341596988385,0.2888389213468596,0.3004951084255477,-0.0009221385091693009,-0.00011186212944480552,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,249984,1.0,249984.0,0.20919006387632044,0.1545969609942529,15572,0.06229198668714798,0.2188160410496609,4.4689356620546566e-08,1.3716405863832144e-06,0.3279514637841647,-8.695850302734568e-05,0.9743353018530685,0.31425137968849115,0.34194172980584087,-0.0006699766154794038,0.00048787177085777536,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,199936,1.0,199936.0,0.20918771241136863,0.13462330638100622,7193,0.03597651248399488,0.23084775792940077,4.47311860674068e-08,1.213462164767372e-06,0.345441890880788,0.0003845172032028821,0.9378986494115,0.31637817614369956,0.3703353216828996,-0.00022763645481686944,0.0010516146049268733,56
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,166656,1.0,166656.0,0.20919006387632044,0.12047761880464783,3491,0.020947340629800307,0.24020223918144476,4.468935662054657e-08,1.1027847283820518e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,142848,1.0,142848.0,0.20919006387632044,0.1096830363196557,1629,0.011403729838709678,0.2484071452011713,4.4689356620546566e-08,1.0159511076191712e-06,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,124928,1.0,124928.0,0.20918060853468146,0.10101984511092278,781,0.006251600922131148,0.25622295673269035,4.479909413339625e-08,9.484475298226259e-07,0.3292054119267505,7.381260898292342e-05,0.8482996628403215,-0.02288140216288658,0.679468616396662,-0.002053537163850079,0.0022138151966452834,4
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,111104,1.0,111104.0,0.20919006387632044,0.09394950016304203,412,0.00370823732718894,0.2633356124644543,4.468935662054656e-08,8.912355155645464e-07,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,99968,1.0,99968.0,0.2091877124113687,0.08790525472967206,195,0.001950624199743918,0.2707113702857405,4.47311860674068e-08,8.426401324113256e-07,nan,nan,nan,nan,nan,nan,nan,0
