source,n,tau,n_samples,mean_action_current,mean_heat_current,heat_on_action_slope,heat_on_action_intercept,pearson_correlation,residual_variance,heat_variance,residual_variance_fraction
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,1000064,0.39809034486248035,3.2121209025957507,6.289516366059804,0.7083251634127935,0.8087361856548019,0.9239814976077786,2.6708852821750724,0.3459457820125174
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,499968,0.39808917164341345,3.2121237010991375,7.140778882021931,0.36945695106622556,0.8734164392549443,0.31272566675318336,1.3187178726642683,0.2371437236392109
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,333312,0.39808917164341345,3.2121237010991375,7.4649379328427505,0.24041274304424462,0.8973051851194727,0.1704847943584407,0.8749836545427182,0.19484340475770262
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,80.0,249984,0.39808917164341345,3.212123701099138,7.644307923574699,0.1690074920161084,0.9101128149903996,0.11235785166216705,0.654405029550294,0.17169466399024955
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,100.0,199936,0.3980933438737143,3.212162020577116,7.7463601965225415,0.1283875870931898,0.9180957779056764,0.08252670583878281,0.5253127366869126,0.15710014259176222
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,120.0,166656,0.39808917164341345,3.2121237010991375,7.82266796784666,0.0980042897375947,0.9228010338682506,0.06456178106955973,0.43494032196410515,0.14843825189168802
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,140.0,142848,0.39808917164341356,3.2121237010991384,7.883751383647142,0.07368764334044749,0.9276052292988538,0.05216641417296123,0.37382271935450956,0.13954853857742644
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,160.0,124928,0.3980926487683461,3.212172304442718,7.9184545148594205,0.05989377247065822,0.9297554708123097,0.044068684813713566,0.3250987523605272,0.1355547644945816
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,180.0,111104,0.3980891716434135,3.212123701099139,7.952376597566618,0.0463686887773715,0.9320961871188853,0.03822262143460135,0.29133828845838533,0.13119669795843214
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,200.0,99968,0.3980933438737143,3.212162020577116,7.96914493359987,0.03969846614607533,0.9336440614856814,0.033441427144118456,0.2606324421059254,0.12830876645251746
