source,n,tau,observable,first_quarter_mean,last_quarter_mean,last_minus_first,paired_se,paired_z
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,entropy_rate,1.2857056812933574,1.286024096747193,0.00031841545383557053,0.0017914940866675991,0.17773737362865802
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,action_current,0.39838482500778405,0.39840863206462884,2.3807056844820772e-05,0.0005231679875792633,0.04550556878485201
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,heat_current,3.214217099632333,3.215031512680051,0.0008144130477176423,0.004475631529164096,0.18196606275801896
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,entropy_rate,1.2856916582625373,1.2860279462694109,0.00033628800687360814,0.001793563527215516,0.18749712612392988
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,action_current,0.3983809182332173,0.3984040998411922,2.3181607974870257e-05,0.0005249779746506842,0.04415729629475427
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,40.0,heat_current,3.2142167172038434,3.2150442035194704,0.0008274863156269123,0.004481523908083334,0.18464395875125728
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,entropy_rate,1.2857056812933574,1.2860081371077516,0.0003024558143943073,0.001795208112718423,0.168479527388225
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,action_current,0.39838482500778405,0.3983978318439305,1.3006836146481349e-05,0.0005247268934602009,0.024787820690322367
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,60.0,heat_current,3.214217099632333,3.215008409332305,0.0007913096999719663,0.004480222517367706,0.17662285676758965
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,80.0,entropy_rate,1.2856916582625373,1.286027946269411,0.0003362880068736411,0.0017935635272155173,0.18749712612394812
