source,n,tau,observable,n_samples,autocorrelation_time,effective_sample_size,mean,std,negative_count,negative_probability,target_symmetry_slope,ft_slope,ft_intercept,ft_r_squared,ft_slope_ci_low,ft_slope_ci_high,ft_intercept_ci_low,ft_intercept_ci_high,ft_bins_used
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,40.0,action_current,499968,1.0,499968.0,0.05426098571770842,0.056501004584598856,78989,0.1579881112391193,nan,0.9444088908147229,0.0011688254154042022,0.9967822340502166,0.9334442399258586,0.9545741100588051,0.0008122813593006827,0.0015144251789612037,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,60.0,action_current,333312,1.0,333312.0,0.054260985717708425,0.0416927530553524,29100,0.08730558755760369,nan,1.1563637884191016,0.0007351847489633086,0.9917003692121407,1.1325089244447002,1.1794034714992356,0.00026384777801658236,0.0011565838313369226,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,80.0,action_current,249984,1.0,249984.0,0.05426098571770842,0.03389573568199524,11913,0.04765504992319509,nan,1.3374760550921871,0.0002760968642309647,0.982745967327869,1.283429776788524,1.3845457567882167,-0.0002783257574619101,0.0008707757567765063,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,100.0,action_current,199936,1.0,199936.0,0.05426065269138891,0.028941697984895782,5162,0.025818261843790012,nan,1.2537625051258143,-8.7944540537777e-05,0.8739668421915988,0.9765109868127342,1.5201523948450546,-0.00110232538588602,0.0009026647972027775,31
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,120.0,action_current,166656,1.0,166656.0,0.054260985717708425,0.025568403639770244,2219,0.013314852150537635,nan,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,140.0,action_current,142848,1.0,142848.0,0.05426098571770842,0.022998282126041866,1042,0.007294466845878136,nan,1.5812448472599943,-0.0007778585858598451,0.9111608914550101,1.1543644116174328,2.010646783251018,-0.002196009549777103,0.0005839113103449318,7
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,160.0,action_current,124928,1.0,124928.0,0.05426158230814064,0.021146752892650132,452,0.0036180840163934427,nan,nan,nan,nan,nan,nan,nan,nan,1
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,180.0,action_current,111104,1.0,111104.0,0.05426098571770841,0.01957068418601629,219,0.0019711261520737326,nan,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n30_blocks.csv,30,200.0,action_current,99968,1.0,99968.0,0.05426065269138891,0.018349902939005222,105,0.0010503361075544174,nan,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,20.0,action_current,1000064,1.0,1000064.0,0.03051862827008755,0.07920452071981446,347224,0.3472017790861385,nan,0.514601562643412,0.0016022073326079466,0.9936091330003606,0.5093391048157578,0.51921811674268,0.0012673962829851477,0.0019440464070848307,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,40.0,action_current,499968,1.0,499968.0,0.03051958681978504,0.04706885787189555,125818,0.25165210573476704,nan,0.7362278941032269,0.00106644550789753,0.9952731348205387,0.7273273570530447,0.7446729706633856,0.0007823799863798772,0.0013622170160724797,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,60.0,action_current,333312,1.0,333312.0,0.030519586819785043,0.03453552168253838,60273,0.18083057315668202,nan,0.9337199505347537,0.00039123629122071355,0.9960325122286219,0.9211894356100977,0.9452499899389663,0.00013697069358490656,0.0006506274331230865,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,80.0,action_current,249984,1.0,249984.0,0.03051958681978504,0.02773091445803842,32159,0.12864423323092677,nan,1.088585050154365,0.00012024048475637197,0.9921748419437091,1.069488404041199,1.106980940182717,-0.0001409367044576369,0.0004061436903140965,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,100.0,action_current,199936,1.0,199936.0,0.030520771371975303,0.023412610303785945,17885,0.08945362516005122,nan,1.2039532162269586,0.00023464214102360113,0.9892970908811737,1.173964743911026,1.230927555600383,-6.850088370293224e-05,0.0005171370597141372,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,120.0,action_current,166656,1.0,166656.0,0.030519586819785043,0.020449338331616277,10362,0.06217597926267281,nan,1.3340067370689705,-3.044841563430085e-05,0.9802704661818984,1.2873186261545984,1.3732052067838967,-0.00037642668863247306,0.00032398744477074424,60
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,140.0,action_current,142848,1.0,142848.0,0.030519586819785043,0.01824006001740158,6032,0.04222670250896057,nan,1.3312638370466183,0.0003708418979901968,0.9426847667110306,1.2288775012371445,1.4175893712007552,-9.093813826565294e-05,0.0009144914774870046,48
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,160.0,action_current,124928,1.0,124928.0,0.030520774349722005,0.01657396769027567,3604,0.028848616803278687,nan,1.0924114827497189,-9.872527335873815e-05,0.36454090850421406,-0.17751611345337892,2.4037883783890734,-0.0012985208435610058,0.0011025393387486973,11
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,180.0,action_current,111104,1.0,111104.0,0.030519586819785043,0.015180609331034416,2091,0.018820204493087557,nan,nan,nan,nan,nan,nan,nan,nan,0
/Users/jayleenjiang/Documents/NLS/experiments/entropy_ft_2026-08-26/production/n40_blocks.csv,40,200.0,action_current,99968,1.0,99968.0,0.030520771371975303,0.014085524777544387,1228,0.01228393085787452,nan,nan,nan,nan,nan,nan,nan,nan,0
