case	rows	sha256
weak_dt2p5e4	4000256	c2c81dc939a8de7f2abf28656b4e5e3140824125586b2db887ea4061243c3f7d
weak_dt1p25e4	4000256	1b5251958787876634cc484e5c727a008492c33d3e92c3056ee7be5dd7f13192
moderate_dt2p5e4	4000256	8a7df0b5ec26aba57508702e2ea2552bf7c86b0baeaf4f46e358ef43c7c11b47
moderate_dt1p25e4	4000256	315bf4a25af37e6d9154ddb423f54cf9af8cd119be9e62f48420e5c17687bc3a
