region,n,total_n,unsupported_n,mean,std,minimum,q01,q05,median,q95,q99,maximum
all,1000022,1000064,42,-9.089928397825596e-06,1.661776573708256,-24.13478485295756,-4.079812439749004,-2.7299920131336752,-0.00023123692117676953,2.7283889901353495,4.08584049063326,26.843957096134535
evaluation_parity_0,500012,500032,20,-7.24545616357228e-06,1.6595496838903905,-19.95681538171146,-4.076601518873882,-2.731392955264911,0.0008971438606719673,2.726549657011216,4.075978114929536,20.809841022382557
evaluation_parity_1,500010,500032,22,-1.0934408009819968e-05,1.6640021517508108,-24.13478485295756,-4.082448368259694,-2.7287301532281854,-0.001274250775450625,2.7299143858605706,4.097980466386579,26.843957096134535
