dataset,temperature,quantity,region,total_n,unsupported_n,energy_low,energy_high,n,mean,rmse,mae,median_abs,q90_abs,q95_abs,q99_abs,max_abs
T6,6.0,system_entropy_increment,0-80,800051,42,0.08282481569817483,18.37497161001966,800009,-0.00011862979489934422,0.2982393073491172,0.16373173696828605,0.12116802169818364,0.3274186897626825,0.4157344850539758,0.7339784891774547,25.86818155280889
T6,6.0,system_entropy_increment,80-95,150010,6,18.37497161001966,27.986103731023277,150004,0.0001721782074060904,0.3983913082258076,0.2880450897073408,0.23411356271782416,0.5895366440110601,0.7192214763832144,1.0169891678763319,14.627938636177658
T6,6.0,system_entropy_increment,95-99,40003,2,27.986103731023277,38.497004957395546,40001,0.0013147107244195588,0.8039984671225087,0.6901196666011067,0.6509391802547508,1.1998724569678831,1.3699217038401752,1.7313592741574029,15.388373434128052
T6,6.0,system_entropy_increment,99-100,10000,2,38.497004957395546,93.48603053975968,9998,0.0016528933840848801,1.7019351899815585,1.5291505540299823,1.4307138748886894,2.3901278334366984,2.800897570643829,3.7585652916758154,19.317547893750625
T10,10.0,system_entropy_increment,0-80,800051,51,0.06920221256801498,30.575028309471104,800000,2.7944083306917377e-05,0.29254193012328455,0.16131994443269349,0.11924931972411501,0.3231417390275898,0.4096170545782088,0.7265502690672311,25.770834917376472
T10,10.0,system_entropy_increment,80-95,150009,9,30.575028309471104,46.587089917635566,150000,-0.00047745950690271274,0.3996491890741533,0.28430392928477183,0.23200734679708912,0.5791192237376332,0.7060733510158832,0.9990607055918534,26.07767116989499
T10,10.0,system_entropy_increment,95-99,40004,1,46.587089917635566,64.24448417246202,40003,0.0008759055178495197,0.7877759572184626,0.682259310914394,0.645365497286944,1.1893717660336247,1.3673307465456928,1.7400127092752673,9.162019050425577
T10,10.0,system_entropy_increment,99-100,10000,1,64.24448417246202,150.04243467453503,9999,0.0016523043466144679,1.7209400273193745,1.5435371209035926,1.4316069880128,2.417611192225553,2.8576796411914027,3.852598418597722,20.63809699967284
