label,training_points,bandwidth_logI1,bandwidth_logI2,bandwidth_logI3,bandwidth_theta1,bandwidth_theta3,spacing_logI1,spacing_logI2,spacing_logI3,spacing_theta1,spacing_theta3,bw_over_spacing_min,raw_smoothed_mass,cell_volume,raw_training_points,maximum_statistical_inefficiency,effective_sample_size,scott_factor,g_logI1,g_logI2,g_logI3,g_cos_theta1,g_sin_theta1,g_cos_theta3,g_sin_theta3,evaluation_parity,evaluation_blocks,unsupported_start,unsupported_end,unsupported_pair,audit_blocks,unsupported_audit_pairs
T6_train_parity_1,500032,0.29910122633300446,0.2965584290473398,0.299618967442683,0.42239612686518924,0.42239612686518924,0.44147388313043207,0.36598187978916846,0.4026337082194818,0.19634954084936207,0.19634954084936207,0.6775060490829441,500031.99867294653,0.0025080403022599944,500032,1.0073350283418674,496390.9582525707,0.23287919005502794,1.0073350283418674,1.000778098094334,1.0,1.0,1.0011107634152325,1.0,1.0064410757542834,0,500032,12,12,24,,
T6_train_parity_0,500032,0.2991594148607656,0.2956638212099446,0.2991830455927064,0.4222823496732999,0.4222823496732999,0.44147388313043207,0.36598187978916846,0.4026337082194818,0.19634954084936207,0.19634954084936207,0.6776378542247309,500032.00218344555,0.0025080403022599944,500032,1.0048956237192652,497595.957428204,0.2328164614014994,1.0015832750114382,1.0048956237192652,1.0020478945806301,1.0,1.0,1.0001698926366935,1.0,1,500032,14,14,28,,
T10_train_parity_1,500032,0.2991878587303745,0.29592521985083176,0.2984580674534497,0.42233464002371607,0.42233464002371607,0.4008006598814724,0.3854493864280349,0.37190688249992093,0.19634954084936207,0.19634954084936207,0.7464754644337473,500032.0021423834,0.0022150818681071077,500032,1.0060160859126495,497041.75410512957,0.23284529058263553,1.0044929896219563,1.0,1.0040921200047377,1.0,1.0,1.0,1.0060160859126495,0,500032,10,10,20,,
T10_train_parity_0,500032,0.29950467324447283,0.2963398978241921,0.29878775122217754,0.42264327632839754,0.42264327632839754,0.4008006598814724,0.3854493864280349,0.37190688249992093,0.19634954084936207,0.19634954084936207,0.747265918506832,500032.00081354845,0.0022150818681071077,500032,1.0126521039158494,493784.5861045604,0.23301545069558266,1.0,1.0,1.0,1.0126521039158494,1.0014221717701353,1.0044397015693125,1.0,1,500032,21,21,42,,
driven_stability_train_mod3_0,335959,0.3076976396992783,0.3123975952259274,0.3305083171249959,0.44228724819331866,0.4163498512464764,0.359984669652433,0.45165902579172945,0.4319960915647975,0.19634954084936207,0.19634954084936207,0.6916668933568069,335958.99800522014,0.002707910444631575,335959,1.024053946423346,328067.6776583739,0.24384574000556636,1.000121279829774,1.024053946423346,1.0004852791584071,1.0058954607611195,1.0002911334736526,1.0078153827504452,1.0,,,,,,328146,22
driven_stability_train_mod3_1,335959,0.30708181174447313,0.31265311556365205,0.33051484050479196,0.4415537243294257,0.41575667380218845,0.359984669652433,0.45165902579172945,0.4319960915647975,0.19634954084936207,0.19634954084936207,0.6922326306124207,335959.00226757186,0.002707910444631575,335959,1.0088696141470987,333005.3708516345,0.24344132710392075,1.0,1.0,1.003516473283031,1.0088696141470987,1.0,1.0032499529640204,1.0035648178385732,,,,,,328146,20
driven_train_parity_1,500032,0.29429491072257397,0.2990732195832736,0.3161946377263065,0.4226411226028067,0.3986798101305501,0.359984669652433,0.45165902579172945,0.4319960915647975,0.19634954084936207,0.19634954084936207,0.6621659316096193,500032.001657772,0.002707910444631575,500032,1.0126056619782609,493807.2329391488,0.2330142632844316,1.003285038860093,1.0126056619782609,1.0,1.0047537894942158,1.0,1.0049516790068895,1.0,0,500032,10,10,20,,
driven_train_parity_0,500032,0.29406812045000774,0.29865854183695906,0.31554920765904926,0.4227910982005032,0.39809802438289416,0.359984669652433,0.45165902579172945,0.4319960915647975,0.19634954084936207,0.19634954084936207,0.6612478103663039,500032.0007314808,0.002707910444631575,500032,1.0158441942357856,492232.965288709,0.23309694916504983,1.0030863028573294,1.0,1.0031630551099586,1.012591307107372,1.0,1.0158441942357856,1.0052038062544826,1,500032,11,11,22,,
