observable,fd_width,qualifying_pairs,support_gate_negative_min,support_gate_pairs_min,support_gate_pass,fit_available,intercept,intercept_ci_low,intercept_ci_high,slope,slope_ci_low,slope_ci_high,weighted_r_squared,bootstrap_valid,analysis_status
medium_entropy,0.47850864681656713,0,1000,8,0,0,nan,nan,nan,nan,nan,nan,nan,0,computed
total_entropy_kde,nan,0,1000,8,0,0,nan,nan,nan,nan,nan,nan,nan,0,not_computed_no_kde_extrapolation
