dataset,temperature,quantity,region,total_n,unsupported_n,n,mean,rmse,mae,median_abs,q90_abs,q95_abs,q99_abs,max_abs
T6,6.0,centered_endpoint_log_density,all,1000064,52,1000012,5.5094822592967054e-17,0.27345555281678535,0.14354778151999323,0.09402025572361827,0.28556237081259717,0.4044721810055124,1.0001673168820187,25.8624607539783
T6,6.0,centered_endpoint_log_density,evaluation_parity_0,500032,24,500008,-4.2347669488590156e-16,0.27379449889957186,0.14369486865948716,0.09456767630956042,0.28571323886085886,0.40598375032288103,0.998706589378816,25.8624607539783
T6,6.0,centered_endpoint_log_density,evaluation_parity_1,500032,28,500004,5.336275363902593e-16,0.27311618337459515,0.14340069320381166,0.09344838976265679,0.2854034558592538,0.4029851216100537,1.0011467885425274,19.957652749803444
T6,6.0,system_entropy_increment,all,1000064,52,1000012,3.7887523050688806e-08,0.3870162261379677,0.21708609778645072,0.1405762279872143,0.44814396101862985,0.6581917891421634,1.3845768446039295,25.86818155280889
T6,6.0,system_entropy_increment,evaluation_parity_0,500032,24,500008,5.218267098121934e-06,0.38756092082652177,0.21702672500231404,0.14023852550547378,0.44955879437631746,0.6598688698157985,1.3833086603204168,25.86818155280889
T6,6.0,system_entropy_increment,evaluation_parity_1,500032,28,500004,-5.142533494725766e-06,0.3864707593868005,0.21714547104556586,0.14087722832156027,0.44697592674595144,0.6566082997257001,1.3862104853419772,20.010959825926236
T10,10.0,centered_endpoint_log_density,all,1000064,62,1000002,5.652000887601942e-17,0.270943951522236,0.14163717089697958,0.09202839853831257,0.2825839912734824,0.40003590190399896,1.0008696716112684,25.509748296335662
T10,10.0,centered_endpoint_log_density,evaluation_parity_0,500032,20,500012,1.6506932670794548e-16,0.27656011133412417,0.1418261835232215,0.09191942477976545,0.28216158890397364,0.4004550461552896,1.0031960896853078,25.509748296335662
T10,10.0,centered_endpoint_log_density,evaluation_parity_1,500032,42,499990,-5.21548799023894e-17,0.26520863344699874,0.14144814995401578,0.09212585209110813,0.28296911784537904,0.3997196885244,0.9989965158055149,15.815326860564468
T10,10.0,system_entropy_increment,all,1000064,62,1000002,2.2965756093082286e-06,0.38322465525659255,0.21442736297056814,0.13861812393823697,0.44182901045784023,0.6476104588433407,1.382827504090742,26.07767116989499
T10,10.0,system_entropy_increment,evaluation_parity_0,500032,20,500012,6.311521603599037e-06,0.3911924747303297,0.21470473711639199,0.1382098498967218,0.4418145682978589,0.6469800237916294,1.3891451185735826,26.07767116989499
T10,10.0,system_entropy_increment,evaluation_parity_1,500032,42,499990,-1.7185470461395209e-06,0.37508725518697594,0.2141499766200378,0.13901944754077328,0.44188999699993065,0.648239296921007,1.3753914057853287,15.890998538073777
