observable,bin_index,abs_left,abs_right,a_center,positive_count,negative_count,qualifies_ge_20_each,log_count_ratio
medium_entropy,0,0.0,0.47850864681656713,0.23925432340828356,9,13,0,-0.3677247801253174
medium_entropy,1,0.47850864681656713,0.9570172936331343,0.7177629702248507,13,4,0,1.1786549963416462
medium_entropy,2,0.9570172936331343,1.4355259404497014,1.1962716170414178,12,3,0,1.3862943611198906
medium_entropy,3,1.4355259404497014,1.9140345872662685,1.674780263857985,8,6,0,0.28768207245178085
medium_entropy,4,1.9140345872662685,2.3925432340828356,2.153288910674552,21,7,0,1.0986122886681098
medium_entropy,5,2.3925432340828356,2.8710518808994028,2.631797557491119,38,1,0,3.6375861597263857
medium_entropy,6,2.8710518808994028,3.34956052771597,3.1103062043076863,39,2,0,2.970414465569701
medium_entropy,7,3.34956052771597,3.828069174532537,3.5888148511242535,47,0,0,nan
medium_entropy,8,3.828069174532537,4.306577821349104,4.067323497940821,69,2,0,3.5409593240373143
medium_entropy,9,4.306577821349104,4.785086468165671,4.545832144757387,75,0,0,nan
medium_entropy,10,4.785086468165671,5.263595114982238,5.024340791573955,81,1,0,4.394449154672439
medium_entropy,11,5.263595114982238,5.7421037617988056,5.5028494383905215,89,0,0,nan
medium_entropy,12,5.7421037617988056,6.220612408615373,5.98135808520709,109,0,0,nan
medium_entropy,13,6.220612408615373,6.69912105543194,6.459866732023656,121,1,0,4.795790545596741
medium_entropy,14,6.69912105543194,7.177629702248507,6.938375378840224,160,0,0,nan
medium_entropy,15,7.177629702248507,7.656138349065074,7.41688402565679,151,1,0,5.017279836814924
medium_entropy,16,7.656138349065074,8.134646995881642,7.895392672473358,193,0,0,nan
medium_entropy,17,8.134646995881642,8.613155642698208,8.373901319289924,237,0,0,nan
medium_entropy,18,8.613155642698208,9.091664289514775,8.852409966106492,244,0,0,nan
medium_entropy,19,9.091664289514775,9.570172936331343,9.330918612923059,283,0,0,nan
medium_entropy,20,9.570172936331343,10.04868158314791,9.809427259739627,302,0,0,nan
medium_entropy,21,10.04868158314791,10.527190229964477,10.287935906556193,372,0,0,nan
medium_entropy,22,10.527190229964477,11.005698876781043,10.76644455337276,440,0,0,nan
medium_entropy,23,11.005698876781043,11.484207523597611,11.244953200189327,508,0,0,nan
medium_entropy,24,11.484207523597611,11.96271617041418,11.723461847005895,580,0,0,nan
medium_entropy,25,11.96271617041418,12.441224817230745,12.201970493822461,621,0,0,nan
medium_entropy,26,12.441224817230745,12.919733464047312,12.68047914063903,693,0,0,nan
medium_entropy,27,12.919733464047312,13.39824211086388,13.158987787455596,777,0,0,nan
medium_entropy,28,13.39824211086388,13.876750757680448,13.637496434272164,854,0,0,nan
