quantity,region,n,mean,rmse,mae,q90_abs,q95_abs,q99_abs,max_abs,log_density_cutoff
centered_endpoint_log_density_disagreement,all,328120,1.9272919505866425e-18,0.22069914794035034,0.08263782240395973,0.16349943647716061,0.2499057204006827,0.6577943717478869,30.85546945690296,
system_entropy_increment_disagreement,all,328120,-2.4015308052031363e-05,0.3119758260377118,0.13171974047927995,0.26365794516342156,0.3956897266354005,1.0056994650884592,30.874182076828703,
system_entropy_increment_disagreement,lowest_density_1_percent,3282,0.0017506834289730039,1.4671076264472491,0.31677287967862333,0.3165443107369855,0.5966338741186059,5.7770093802756595,30.874182076828703,-11.99449549224905
