event,time,log_mean_weight,cumulative_log_normalizer,scgf,population_mean_entropy_rate,tilted_mean_entropy_rate,population_mean_action_current,weight_ess,max_weight_fraction,unique_parents,parent_count_ess,unique_roots,root_count_ess
1,0.5,-0.029056442885166511,-0.029056442885166511,-0.058112885770333023,1.4198202123827353,-0.711072708379338,0.32838176735495361,210.95036154459049,0.014298542711510093,212,185.12994350282486,212,185.12994350282486
2,1,-0.059082950126344791,-0.088139393011511302,-0.088139393011511302,1.838243791455648,-0.57174508304159621,0.48879395635948614,203.04248857825468,0.018050069548231188,214,187.24571428571429,190,151.7037037037037
3,1.5,-0.046295449049580384,-0.13443484206109169,-0.089623228040727795,1.6168617902043341,-0.52969260726661604,0.28651185342925822,213.99406647379237,0.01060486898037636,216,191.62573099415204,170,138.84745762711864
4,2,-0.010682667197296603,-0.14511750925838829,-0.072558754629194144,1.2578869317272261,-0.94813111489521451,0.75042282605296029,205.22063078749412,0.021195182508009187,214,185.12994350282486,158,113.3840830449827
5,2.5,-0.045464136144043543,-0.19058164540243183,-0.07623265816097273,1.904380543936359,-0.81771871943640895,0.059295057386534032,198.2375857532783,0.020064018258420933,211,178.08695652173913,144,109.22666666666667
6,3,-0.072343485581225941,-0.26292513098365777,-0.087641710327885924,2.0840781931476,-0.3016344506058149,0.98139612403152732,214.29655730314877,0.011534593952060399,215,191.62573099415204,133,98.107784431137731
7,3.5,-0.057360038689748372,-0.32028516967340614,-0.091510048478116043,1.5172038798264431,-0.31153787357363344,0.74283210215372519,215.05988274527394,0.015372833747941397,210,184.08988764044943,120,89.530054644808743
8,4,-0.05082362277385144,-0.37110879244725758,-0.092777198111814396,1.9503966266470609,-0.74511163000691405,0.46852384961924093,202.3187300266838,0.014879912753962159,204,173.37566137566137,112,79.533980582524265
9,4.5,-0.033874532298016291,-0.40498332474527388,-0.089996294387838641,1.9870912512570431,-1.1055292265489611,0.53076202930367966,193.59675818578501,0.016102818659972894,198,166.33502538071065,104,72.495575221238937
10,5,-0.13861226540586991,-0.54359559015114378,-0.10871911803022875,3.4917619185075011,-0.13220303332760652,0.5084968534970058,197.62828420278524,0.011757133990248319,203,177.12432432432433,95,65.145129224652081
11,5.5,-0.030516242076867428,-0.57411183222801121,-0.10438396949600204,1.9263634133098915,-1.0279756222526018,0.63791776418222668,198.93232857279352,0.018500606110144913,206,174.29787234042553,88,59.686703096539162
12,6,-0.080063352286306788,-0.654175184514318,-0.10902919741905299,2.3374283053707559,-0.63732614427869594,0.3416207088972244,189.61619249575983,0.024428688346733927,210,172.46315789473684,86,60.014652014652015
13,6.5,-0.10800692424853775,-0.76218210876285575,-0.11725878596351627,2.4051389962145877,-0.12317763050040625,0.61606372314884394,203.10199312036548,0.01570915130744675,205,178.08695652173913,84,60.346224677716393
14,7,-0.090090378723362008,-0.85227248748621776,-0.1217532124980311,2.1322645391643751,-0.13462547296934665,0.44201761755345437,211.80821545854306,0.010902344300564212,214,191.62573099415204,82,57.087108013937282
