n,tau,reliable_k_min,reliable_k_max,reliable_k_count,reliable_symmetry_pair_count,reliable_residual_max_abs,reliable_residual_rms,psi_k1,psi_k1_ci_low,psi_k1_ci_high,k1_sample_weight_ess,k1_stream_weight_ess,k1_max_sample_weight_fraction,k1_max_stream_weight_fraction,k1_direct_reliability_gate
10,20.0,0.0,0.30000000000000004,13,0,nan,nan,0.2649085931967107,0.07834458745538224,0.3188185120475483,1.0839240340627538,1.083057527469054,0.9604312646074786,0.9608118251126354,0
10,40.0,0.0,0.2,9,0,nan,nan,-0.03373613691317208,-0.13940699796331826,-0.007169295247907788,1.1353976915198196,1.1328035734207975,0.9377430563120525,0.9388183082447098,0
10,60.0,0.0,0.15000000000000002,7,0,nan,nan,-0.16190649470677465,-0.26778007005006277,-0.14379678807967494,1.0663946615299749,1.0663920606895967,0.9680461010414655,0.9680469854170046,0
10,80.0,0.0,0.1,5,0,nan,nan,-0.248887423476826,-0.33225423219410427,-0.23704610434244433,1.7065572956653718,1.7065572949869958,0.7086950925703187,0.7086950925707997,0
10,100.0,0.0,0.125,6,0,nan,nan,-0.4397401971295739,-0.45467408758334193,-0.432278387325976,4.479835422612254,4.448660043410167,0.3415806987230971,0.34158072303526016,0
10,120.0,0.0,0.1,5,0,nan,nan,-0.4719087485250178,-0.5038123048745733,-0.46316899994019306,1.4725723567622466,1.4725701472531372,0.811728585566914,0.8117285893601661,0
10,140.0,0.0,0.07500000000000001,4,0,nan,nan,-0.5047151516555372,-0.533411115929054,-0.4968716365932388,1.4668195338050407,1.466819531694613,0.815198564050412,0.815198564088236,0
10,160.0,0.0,0.07500000000000001,4,0,nan,nan,-0.5706566664860998,-0.5998189241805322,-0.5640360896894677,1.1518957848736786,1.151895628108761,0.9306797040031967,0.9306797040064237,0
10,180.0,0.0,0.07500000000000001,4,0,nan,nan,-0.5989776721031582,-0.6125895635076869,-0.5940729174474667,2.3831533136247414,2.383150671404304,0.5746467328353648,0.574646732835373,0
10,200.0,0.0,0.05,3,0,nan,nan,-0.5335493216473183,-0.630347494852755,-0.5280562628651899,1.0000030564120646,1.0000030564120646,0.9999984717963624,0.9999984717963624,0
20,20.0,0.0,0.4,17,0,nan,nan,0.46007588476697936,0.38634772798727274,0.5000771805315501,3.4001865043010886,3.3826807877409304,0.5061725221666497,0.5067576819455988,0
20,40.0,0.0,0.30000000000000004,13,0,nan,nan,0.18397981131064833,0.1466191645036775,0.2035245831102385,3.035154098181092,2.9689798471924864,0.5490572872417819,0.5491031632550137,0
20,60.0,0.0,0.30000000000000004,13,0,nan,nan,0.039750924072101,0.02715457032774106,0.04845529245618644,9.533012753197408,8.99624658634989,0.20679427598732358,0.2105388096260669,0
20,80.0,0.0,0.2,9,0,nan,nan,0.0008562317121469043,-0.039218372469110356,0.013075658922670833,1.4968987256675024,1.495693675706115,0.8085165470846098,0.8088435573032909,0
20,100.0,0.0,0.17500000000000002,8,0,nan,nan,-0.036843051904077356,-0.0710369948581414,-0.0264539982867664,2.1346266940908643,2.117759419268022,0.6464074424326843,0.6470710568710875,0
20,120.0,0.0,0.125,6,0,nan,nan,-0.008983290486344482,-0.09503350414578572,0.00017013602542203631,1.0011331845585851,1.0011331842670035,0.9994337659839555,0.9994337661285738,0
20,140.0,0.0,0.125,6,0,nan,nan,-0.08610373126420817,-0.12428320847129323,-0.07829791543969668,1.0274333406876246,1.0274333360683054,0.9865391882427546,0.986539188794164,0
20,160.0,0.0,0.125,6,0,nan,nan,-0.12081593935675458,-0.12944330605031878,-0.11573050027922908,3.634771710191212,3.6347608477620468,0.4589774683488161,0.45897746859311167,0
20,180.0,0.0,0.1,5,0,nan,nan,-0.12352083075670701,-0.16683832753353908,-0.11742016645347024,1.0022915001509027,1.0022915000115487,0.9988560244738033,0.9988560244895007,0
20,200.0,0.0,0.1,5,0,nan,nan,-0.1435712855065111,-0.17845817616399154,-0.13851732220489726,1.2855697524594258,1.2855553573520906,0.8730616127719326,0.873066600850811,0
30,20.0,0.0,0.4,17,0,nan,nan,0.5933620125411486,0.5369367519056051,0.6286782784486236,4.578607443842073,4.561559252408412,0.4020509386586181,0.40234245351021924,0
30,40.0,0.0,0.325,14,0,nan,nan,0.2893834628659279,0.2280202390345322,0.31403122409399853,1.9912010661766097,1.9893345716052735,0.6759278387177867,0.6759384586397648,0
