n,tau,reliable_k_min,reliable_k_max,reliable_k_count,reliable_symmetry_pair_count,reliable_residual_max_abs,reliable_residual_rms,psi_k1,psi_k1_ci_low,psi_k1_ci_high,k1_sample_weight_ess,k1_stream_weight_ess,k1_max_sample_weight_fraction,k1_max_stream_weight_fraction,k1_direct_reliability_gate
30,60.0,0.0,0.225,10,0,nan,nan,0.22404057932621002,0.13691972189092746,0.24224465984997745,1.0241462526511584,1.0238608462870837,0.9881245790641343,0.9882621083208184,0
30,80.0,0.0,0.2,9,0,nan,nan,0.16840153035195604,0.07726413582303594,0.1821149769555229,1.0145480307635142,1.0145475614342092,0.992784515150458,0.9927847436840351,0
30,100.0,0.0,0.275,12,0,nan,nan,0.047289066743391166,0.03377034914737268,0.054478505643468074,6.6118070403276334,4.620017799840131,0.2112653024553738,0.36440250073635777,0
30,120.0,0.0,0.2,9,0,nan,nan,0.034146916759884384,0.002821660983254662,0.04314492278204823,1.0952574525997163,1.0952172739935648,0.9553657262112102,0.9553824034465148,0
30,140.0,0.0,0.17500000000000002,8,0,nan,nan,0.015757421011113732,0.0037037354322733288,0.02210086069321851,3.1639972852788425,3.1621134967213136,0.5282357448614772,0.5282371020193277,0
30,160.0,0.0,0.17500000000000002,8,0,nan,nan,-0.004469455063832594,-0.02433034973884433,0.001743002129438569,1.481912406257151,1.4818674989818121,0.8152272443545462,0.8152278999474577,0
30,180.0,0.0,0.15000000000000002,7,0,nan,nan,-0.025401724095857163,-0.04223672893256103,-0.01953393531235104,1.1960155075065255,1.1957215339140392,0.9139504147805961,0.9139564760761907,0
30,200.0,0.0,0.15000000000000002,7,0,nan,nan,-0.033169454524256924,-0.04983953904642938,-0.02795324381103567,1.2254108649031257,1.2253883956058964,0.9015463000210552,0.901546395916017,0
40,20.0,0.0,0.45,19,0,nan,nan,0.5344070868315159,0.4961099749183534,0.5655598942514819,7.968646910379635,7.716092880376291,0.2808217406995963,0.2847677105821656,0
40,40.0,0.0,0.35000000000000003,15,0,nan,nan,0.31627329414164757,0.2791567697017463,0.3345105528533028,4.0858779666019505,4.07461822598374,0.42492522479616845,0.4249992337573042,0
40,60.0,0.0,0.275,12,0,nan,nan,0.25904943864202606,0.19169378430741643,0.2736192191624303,2.1687844673466428,2.1390391230114667,0.5179865082816574,0.5180027969103106,0
40,80.0,0.0,0.30000000000000004,13,0,nan,nan,0.1327794292777922,0.11820664972132118,0.14169460539771772,3.971329574304188,3.9617982450954536,0.4624096883289591,0.4624772999190991,0
40,100.0,0.0,0.275,12,0,nan,nan,0.11083012884374403,0.09709785772294771,0.11749334167881656,4.846911817563384,4.819845067524543,0.30618962665161203,0.3061976420076121,0
40,120.0,0.0,0.2,9,0,nan,nan,0.09805476101601295,0.07141334505056839,0.10654661282485504,1.3346461963695615,1.3345471467022711,0.8616641332867383,0.8616955818511954,0
40,140.0,0.0,0.2,9,0,nan,nan,0.06668042529604176,0.03806703332741819,0.0745531934216076,1.345459755122994,1.345307728579009,0.8533598631788926,0.8534085288621966,0
40,160.0,0.0,0.225,10,0,nan,nan,0.03627853329720684,0.02587305564792617,0.04068787431312006,4.281890334898598,4.251062900964275,0.33408740634169615,0.33430210635865454,0
40,180.0,0.0,0.15000000000000002,7,0,nan,nan,0.050404761328502364,0.025203136744536846,0.05646956636707611,1.1163902526540832,1.1163148640687757,0.9458541094303875,0.9458545170222665,0
40,200.0,0.0,0.17500000000000002,8,0,nan,nan,0.019673539638269313,0.0054334053815348424,0.02486178744250673,1.2326697487239242,1.2326669213437667,0.9000188076626185,0.9000189608112691,0
