n,tau,k,one_minus_k,symmetry_residual,residual_ci_low,residual_ci_high,pair_reliability_gate,ci_contains_zero
10,20.0,0.0,1.0,-0.2649085931967108,-0.3188185120475484,-0.07834458745538232,0,0
10,20.0,0.025,0.9750000000000001,-0.2708886238287069,-0.32459351382571494,-0.09414631524421233,0,0
10,20.0,0.05,0.9500000000000001,-0.27228901511234155,-0.325739733397189,-0.10542552964596494,0,0
10,20.0,0.07500000000000001,0.925,-0.26994051045539125,-0.3230786795128751,-0.11259355024709962,0,0
10,20.0,0.1,0.9,-0.2644755511206909,-0.3172291709200375,-0.11674110344037525,0,0
10,20.0,0.125,0.875,-0.25638856838084123,-0.30866838824733467,-0.11865015365449896,0,0
10,20.0,0.15000000000000002,0.8500000000000001,-0.2460763136962738,-0.2977706364699407,-0.11848475509626359,0,0
10,20.0,0.17500000000000002,0.8250000000000001,-0.2338659511464358,-0.2848339570258771,-0.11630703226757656,0,0
10,20.0,0.2,0.8,-0.22003528570100545,-0.27009848078112975,-0.11246103590706968,0,0
10,20.0,0.225,0.775,-0.20482772463578833,-0.2537591916265681,-0.10736977824237652,0,0
10,20.0,0.25,0.75,-0.18846348188550904,-0.23597483531671937,-0.10108111468233565,0,0
10,20.0,0.275,0.7250000000000001,-0.17114776916256594,-0.21687570264521905,-0.0937492993229969,0,0
10,20.0,0.30000000000000004,0.7000000000000001,-0.15307612130154685,-0.1965641049229469,-0.08550993191810338,0,0
10,20.0,0.325,0.675,-0.134436544309529,-0.17512241194913314,-0.0764603666111126,0,0
10,20.0,0.35000000000000003,0.65,-0.11540793001534402,-0.15261757841663048,-0.06668884651738545,0,0
10,20.0,0.375,0.625,-0.0961543367851605,-0.12910939128568655,-0.05637241598001661,0,0
10,20.0,0.4,0.6000000000000001,-0.07681551832195516,-0.10466340282700157,-0.04558579402021738,0,0
10,20.0,0.42500000000000004,0.5750000000000001,-0.05749555508720201,-0.07936871409163047,-0.03446420995520389,0,0
10,20.0,0.45,0.55,-0.03825319977190214,-0.053357569797275635,-0.02310627998301001,0,0
10,20.0,0.47500000000000003,0.525,-0.0190985785964881,-0.02681940944220232,-0.011592038319369348,0,0
10,20.0,0.5,0.5,0.0,0.0,0.0,0,1
10,20.0,0.525,0.47500000000000003,0.0190985785964881,0.011592038319369346,0.02681940944220232,0,0
10,20.0,0.55,0.45,0.03825319977190214,0.023106279983010007,0.053357569797275635,0,0
10,20.0,0.5750000000000001,0.42500000000000004,0.05749555508720201,0.03446420995520389,0.07936871409163047,0,0
10,20.0,0.6000000000000001,0.4,0.07681551832195516,0.045585794020217375,0.10466340282700157,0,0
10,20.0,0.625,0.375,0.0961543367851605,0.056372415980016605,0.12910939128568655,0,0
10,20.0,0.65,0.35000000000000003,0.11540793001534402,0.06668884651738545,0.15261757841663048,0,0
10,20.0,0.675,0.325,0.134436544309529,0.0764603666111126,0.17512241194913314,0,0
10,20.0,0.7000000000000001,0.30000000000000004,0.15307612130154685,0.08550993191810337,0.1965641049229469,0,0
10,20.0,0.7250000000000001,0.275,0.17114776916256594,0.09374929932299689,0.21687570264521905,0,0
10,20.0,0.75,0.25,0.18846348188550904,0.10108111468233563,0.23597483531671937,0,0
10,20.0,0.775,0.225,0.20482772463578833,0.10736977824237649,0.2537591916265681,0,0
10,20.0,0.8,0.2,0.22003528570100545,0.11246103590706966,0.27009848078112975,0,0
10,20.0,0.8250000000000001,0.17500000000000002,0.2338659511464358,0.11630703226757655,0.2848339570258771,0,0
10,20.0,0.8500000000000001,0.15000000000000002,0.2460763136962738,0.11848475509626359,0.2977706364699407,0,0
10,20.0,0.875,0.125,0.25638856838084123,0.11865015365449895,0.30866838824733467,0,0
10,20.0,0.9,0.1,0.2644755511206909,0.11674110344037524,0.3172291709200375,0,0
10,20.0,0.925,0.07500000000000001,0.26994051045539125,0.1125935502470996,0.3230786795128751,0,0
10,20.0,0.9500000000000001,0.05,0.27228901511234155,0.10542552964596494,0.325739733397189,0,0
10,20.0,0.9750000000000001,0.025,0.2708886238287069,0.09414631524421233,0.32459351382571494,0,0
10,20.0,1.0,0.0,0.2649085931967108,0.07834458745538232,0.3188185120475484,0,0
10,40.0,0.0,1.0,0.03373613691317208,0.007169295247907787,0.1394069979633182,0,0
10,40.0,0.025,0.9750000000000001,0.011303461633610203,-0.015153224684321702,0.11288445248171733,0,1
10,40.0,0.05,0.9500000000000001,-0.006702987611003013,-0.033035654228534446,0.09077342686580654,0,1
10,40.0,0.07500000000000001,0.925,-0.021062197216459647,-0.04724988504625657,0.07228835199965034,0,1
10,40.0,0.1,0.9,-0.0323636868661405,-0.0583911211568614,0.05683221365274548,0,1
10,40.0,0.125,0.875,-0.04106266359020774,-0.06690753748411749,0.04394091098404529,0,1
10,40.0,0.15000000000000002,0.8500000000000001,-0.04751618205893324,-0.0731355447974899,0.03324478802904123,0,1
10,40.0,0.17500000000000002,0.8250000000000001,-0.05200783210008807,-0.07733372631008108,0.024442039192135095,0,1
10,40.0,0.2,0.8,-0.054764973279983004,-0.07962004215419238,0.017280286873023937,0,1
10,40.0,0.225,0.775,-0.055970999783140976,-0.08020794759688442,0.011543740610804478,0,1
10,40.0,0.25,0.75,-0.05577448583031387,-0.07919526470634405,0.007044225471230747,0,1
10,40.0,0.275,0.7250000000000001,-0.05429680688793084,-0.0767165065013065,0.0036149439570451036,0,1
10,40.0,0.30000000000000004,0.7000000000000001,-0.05163957793688011,-0.07264471136673394,0.0011061669287488847,0,1
10,40.0,0.325,0.675,-0.04789277806646136,-0.06718513377391748,-0.0006177616833504524,0,0
10,40.0,0.35000000000000003,0.65,-0.04314368935130153,-0.06038734069374261,-0.0016805890114768845,0,0
10,40.0,0.375,0.625,-0.037485913096847345,-0.05228046983898312,-0.0021734641778730383,0,0
10,40.0,0.4,0.6000000000000001,-0.03102707274716099,-0.043114229584032736,-0.0022065845286013664,0,0
10,40.0,0.42500000000000004,0.5750000000000001,-0.02389373680048909,-0.033072982742920864,-0.0019231549052007274,0,0
10,40.0,0.45,0.55,-0.016232706942598013,-0.022396196899641996,-0.0014078020941754006,0,0
10,40.0,0.47500000000000003,0.525,-0.008208795501883248,-0.011302973813054408,-0.0007409884193697899,0,0
10,40.0,0.5,0.5,0.0,0.0,0.0,0,1
10,40.0,0.525,0.47500000000000003,0.008208795501883248,0.0007409884193697897,0.011302973813054408,0,0
10,40.0,0.55,0.45,0.016232706942598013,0.0014078020941754004,0.022396196899641996,0,0
10,40.0,0.5750000000000001,0.42500000000000004,0.02389373680048909,0.0019231549052007267,0.033072982742920864,0,0
10,40.0,0.6000000000000001,0.4,0.03102707274716099,0.002206584528601364,0.043114229584032736,0,0
10,40.0,0.625,0.375,0.037485913096847345,0.0021734641778730327,0.05228046983898312,0,0
10,40.0,0.65,0.35000000000000003,0.04314368935130153,0.0016805890114768767,0.06038734069374261,0,0
10,40.0,0.675,0.325,0.04789277806646136,0.0006177616833504428,0.06718513377391748,0,0
10,40.0,0.7000000000000001,0.30000000000000004,0.05163957793688011,-0.001106166928748896,0.07264471136673394,0,1
10,40.0,0.7250000000000001,0.275,0.05429680688793084,-0.003614943957045117,0.0767165065013065,0,1
10,40.0,0.75,0.25,0.05577448583031387,-0.007044225471230762,0.07919526470634405,0,1
10,40.0,0.775,0.225,0.055970999783140976,-0.011543740610804496,0.08020794759688442,0,1
10,40.0,0.8,0.2,0.054764973279983004,-0.017280286873023958,0.07962004215419238,0,1
10,40.0,0.8250000000000001,0.17500000000000002,0.05200783210008807,-0.02444203919213512,0.07733372631008108,0,1
10,40.0,0.8500000000000001,0.15000000000000002,0.04751618205893324,-0.03324478802904126,0.0731355447974899,0,1
10,40.0,0.875,0.125,0.04106266359020774,-0.043940910984045324,0.06690753748411749,0,1
10,40.0,0.9,0.1,0.0323636868661405,-0.05683221365274552,0.0583911211568614,0,1
10,40.0,0.925,0.07500000000000001,0.021062197216459647,-0.07228835199965038,0.04724988504625657,0,1
10,40.0,0.9500000000000001,0.05,0.006702987611003013,-0.09077342686580658,0.033035654228534446,0,1
10,40.0,0.9750000000000001,0.025,-0.011303461633610203,-0.11288445248171737,0.015153224684321702,0,1
10,40.0,1.0,0.0,-0.03373613691317208,-0.13940699796331826,-0.007169295247907788,0,0
10,60.0,0.0,1.0,0.16190649470677465,0.14379678807967494,0.2677800700500627,0,0
10,60.0,0.025,0.9750000000000001,0.1334641461339888,0.1153715165080226,0.23575161244545265,0,0
10,60.0,0.05,0.9500000000000001,0.10937615170762265,0.09132082689992632,0.20807562880434982,0,0
10,60.0,0.07500000000000001,0.925,0.08887861039812138,0.07082128292267864,0.18398068863405245,0,0
10,60.0,0.1,0.9,0.07140024791789411,0.05336105389225997,0.16287655450186497,0,0
10,60.0,0.125,0.875,0.05650668710704966,0.038613100276814936,0.14429939346019768,0,0
10,60.0,0.15000000000000002,0.8500000000000001,0.043865046173568234,0.02619950382678874,0.12787477174431794,0,0
10,60.0,0.17500000000000002,0.8250000000000001,0.0332174190432144,0.01592987091950402,0.11328938345684274,0,0
10,60.0,0.2,0.8,0.024358225061932554,0.007699225601288828,0.10027001256385741,0,0
10,60.0,0.225,0.775,0.017114331882113393,0.0012656441031626228,0.08857084829710775,0,0
10,60.0,0.25,0.75,0.011328441906964859,-0.0032631340374654483,0.07796880749052935,0,1
10,60.0,0.275,0.7250000000000001,0.0068467885760035985,-0.006285113881722718,0.06826402863088384,0,1
10,60.0,0.30000000000000004,0.7000000000000001,0.003512307107071483,-0.008001807727203845,0.059281837777842586,0,1
10,60.0,0.325,0.675,0.001163742328620404,-0.008647683866324505,0.05085508788986501,0,1
10,60.0,0.35000000000000003,0.65,-0.0003604246959902635,-0.008528933322592249,0.042866983229218544,0,1
10,60.0,0.375,0.625,-0.0012158082647549528,-0.0077573632689532535,0.03524076903443316,0,1
10,60.0,0.4,0.6000000000000001,-0.0015465266170052727,-0.0065690386871165305,0.02789216021809169,0,1
10,60.0,0.42500000000000004,0.5750000000000001,-0.0014820108885152394,-0.005119611213204317,0.020750570118808462,0,1
10,60.0,0.45,0.55,-0.0011366754734480622,-0.003502097185828788,0.01375578614299929,0,1
10,60.0,0.47500000000000003,0.525,-0.0006119685521001894,-0.0017765557513985488,0.006854972361093187,0,1
