source,n,tau,k,psi,psi_ci_low,psi_ci_high,sample_count,n_streams,groups_per_stream,sample_weight_ess,sample_weight_relative_ess,stream_weight_ess,max_sample_weight_fraction,max_stream_weight_fraction,direct_reliability_gate
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.0,-8.881784197001253e-17,-8.881784197001253e-17,-8.881784197001253e-17,1000064,128,7813,1000063.9999999966,0.9999999999999967,127.99999999999986,9.999360040957394e-07,0.007812500000000009,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.025,-0.029455077220022118,-0.029488889082423742,-0.02942195466185736,1000064,128,7813,911171.817857639,0.9111135065932171,127.99826905727184,2.903369286149797e-06,0.00788389030410989,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.05,-0.054255764745954685,-0.05431948413979483,-0.05419064343340763,1000064,128,7813,732528.4895429087,0.7324816107198227,127.99366025499188,7.680771323685208e-06,0.007943948815416544,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.07500000000000001,-0.07521565023104886,-0.07530563956005873,-0.07511911157201641,1000064,128,7813,549396.3508645226,0.5493611917482507,127.98600123495525,1.8816836424303477e-05,0.007992863728337839,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.1,-0.09294567733063933,-0.09305956794962618,-0.09281791141733277,1000064,128,7813,395414.9726096824,0.39538966767095146,127.97413331598291,4.321496747200418e-05,0.008062984110717807,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.125,-0.10791329092183552,-0.1080669865696072,-0.10775537763231474,1000064,128,7813,276917.00861831574,0.2768992870639436,127.95594210492784,9.391344078181875e-05,0.008149873497144048,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.15000000000000002,-0.12048134319546042,-0.12067021044670706,-0.120291903704796,1000064,128,7813,189693.66667029075,0.1896815270525594,127.92793338108746,0.0001945265970990742,0.008255380779309766,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.17500000000000002,-0.13093445196797698,-0.13116825027492207,-0.13070173661866255,1000064,128,7813,126972.4152413794,0.12696428952684968,127.88395589168918,0.0003862425013840748,0.008389542493713873,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.2,-0.13949717966527864,-0.13979855722270593,-0.13920028914163846,1000064,128,7813,82492.83001319409,0.08248755080994226,127.8119671035835,0.0007384506735888332,0.008670201191645714,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.225,-0.14634668400678025,-0.14673896786232488,-0.1459426633619806,1000064,128,7813,51403.40949350914,0.05140011988583645,127.68625401223895,0.0013642754117966158,0.009423847820013924,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.25,-0.1516215106679506,-0.15213070106801058,-0.15103694607810875,1000064,128,7813,30264.567491144855,0.030262630682781157,127.44926808438771,0.0024423344556354326,0.01066460224464035,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.275,-0.1554276031583055,-0.1561040989999161,-0.1545809138165737,1000064,128,7813,16633.25061982027,0.016632186159906033,126.97070402122651,0.004245716170826437,0.012667920605456063,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.30000000000000004,-0.15784224706193967,-0.1587802341687673,-0.15656547632471382,1000064,128,7813,8521.550589263343,0.008521005244927667,125.96080268368196,0.00717812158992892,0.015837592873820545,1
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.325,-0.15891647778482226,-0.16026187975821213,-0.15699806308667014,1000064,128,7813,4122.790446995597,0.004122526605292859,123.80720884615447,0.011814843743052776,0.0207452276730085,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.35000000000000003,-0.1586764330913856,-0.16055776690002124,-0.1559230974484641,1000064,128,7813,1927.231406231125,0.0019271080713145609,119.34189448031364,0.018942160089689488,0.028167976703256062,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.375,-0.15712420946671735,-0.15977496049483933,-0.1528853243383661,1000064,128,7813,892.268193632516,0.0008922110921226201,110.75170802707986,0.029582412037497355,0.039112011614085194,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.4,-0.15423896451548877,-0.15795799525529697,-0.1482870396254895,1000064,128,7813,417.90488324369085,0.0004178781390427921,96.30334427637209,0.04498411541802964,0.05480152642349005,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.42500000000000004,-0.149979239740082,-0.15514523465722813,-0.14185987796123334,1000064,128,7813,201.24147523018178,0.00020122859659999938,76.39052847878186,0.06654971618849718,0.07660652539773172,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.45,-0.14428762930783706,-0.1514489992323711,-0.1334747977410873,1000064,128,7813,100.83362766616833,0.0001008271747269858,54.86193314903855,0.09567446223149381,0.10588364665153449,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.47500000000000003,-0.13709877113030905,-0.14693563480036387,-0.12308269880319853,1000064,128,7813,53.03535164542833,5.303195760014192e-05,36.48042688412003,0.13348759950486397,0.14372185121812603,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.5,-0.12835093941491263,-0.14157122518885484,-0.11070218614922152,1000064,128,7813,29.46977363107352,2.94678876862616e-05,23.37907647731166,0.1805280722434342,0.19062509395758784,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.525,-0.11800019253382095,-0.13543963131948464,-0.09642920549440903,1000064,128,7813,17.37360332543169,1.737249148597659e-05,14.998239095272478,0.23644265191576633,0.246218606418411,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.55,-0.10603442953593492,-0.12846687348090988,-0.08042910345733935,1000064,128,7813,10.889670985129603,1.0888974090787792e-05,9.88650475790169,0.2998327355243067,0.3091024614163662,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.5750000000000001,-0.09248368465288,-0.12078659221641434,-0.06291455780765594,1000064,128,7813,7.2558188246448045,7.255354481957959e-06,6.793695673476142,0.3683539189284226,0.3769536180200168,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.6000000000000001,-0.07742344619353361,-0.11252604473855579,-0.044117979656312485,1000064,128,7813,5.12738959714029,5.127061465206517e-06,4.895643710364842,0.439076554627392,0.44688308908558405,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.625,-0.06096987268155685,-0.10362196873412946,-0.024242536598142933,1000064,128,7813,3.826751740472614,3.826506844034596e-06,3.701137058169207,0.508994214820094,0.5159361326019858,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.65,-0.043268503076041576,-0.09403799694115524,-0.0035035970519387365,1000064,128,7813,2.9998475835645677,2.999655605605809e-06,2.9269428110352638,0.5755025145942544,0.5815610339683406,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.675,-0.024479933475293248,-0.08399449433100697,0.01789876168033324,1000064,128,7813,2.454762440848097,2.454605346105946e-06,2.409905028944063,0.6367050665495122,0.6419066810266273,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.7000000000000001,-0.004766125760392814,-0.07347257336537427,0.039824561492082536,1000064,128,7813,2.083603325847311,2.0834699837683496e-06,2.0546202430899307,0.691501091231821,0.6959054664605738,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.7250000000000001,0.015720166004260426,-0.06251123061932702,0.062179350963829864,1000064,128,7813,1.823518298032797,1.823401600330376e-06,1.8040210291951113,0.7394992240319593,0.7431861579721214,0
experiments/entropy_ft_2026-08-26/production/n10_blocks.csv,10,20.0,0.75,0.03684197121755846,-0.051146761350191916,0.08484006605661873,1000064,128,7813,1.6366263831704293,1.6365216457850991e-06,1.6230708601946853,0.7808409403158292,0.7838990085340346,0
