# bc_id=2
# bc_label=BC3b_no_global_with_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=gamma*(2*I_neighbor*sin(delta))
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=100 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026391500 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1137629504
j,mean_I,se_mean_I,mean_sin_theta,se_mean_sin_theta
1,3.0209209924858551,0.0029326663111501837,0.051245591916242603,0.00021631348938733969
2,3.3337346974206525,0.0052359732372231462,0.034872451251581033,0.00027779881583602531
3,3.1123882454586589,0.0053658480448297574,0.026202517434317729,0.00027523222189327007
4,3.0288389202179733,0.005195906033902126,0.023167194019562236,0.000293130171269706
5,2.9977470806947069,0.0055962294633485812,0.021223394979690703,0.00030466190292923069
6,2.9773977741069317,0.0059833557734694717,0.019502474608874356,0.00032191338501973615
7,2.9678058557588898,0.006554036703351895,0.017868139355248277,0.00030985438343827183
8,2.9596116932023673,0.0070339559990086949,0.017225810259883931,0.0002970587828264161
9,2.9594473838658928,0.007516065795729685,0.014886166607314283,0.00030719156668412953
10,2.9579532213638946,0.0076464882081422143,0.01380542759431613,0.00032211328386323897
11,2.9566684767241451,0.0078072440819053164,0.012744471038703607,0.00032511040054183975
12,2.9562877493767932,0.0079328930299313385,0.011592986944876345,0.00030329013512084139
13,2.9542700742096448,0.0084782846707048623,0.011290660277480078,0.00032069345792787361
14,2.9475436987443935,0.0088583281068084496,0.010408076569922226,0.00032647405731637592
15,2.9491625489740101,0.0095602986571771357,0.0095860008795557172,0.00035507727681905675
16,2.9475081261488651,0.0099025057808246036,0.0092716895335958425,0.00033416764392905549
17,2.9411094196659326,0.0098377410466278202,0.0083435478235465901,0.00033596994695677464
18,2.9370061859105872,0.0098274240649197202,0.0080625250297575585,0.00032277416313656958
19,2.9306019660827278,0.010442406970785082,0.0079027685797915664,0.00031122478421566384
20,2.9282896960084335,0.010575730626893787,0.0076447454305922664,0.00031764109882287601
21,2.9203394506775058,0.010471889651528931,0.0070324785334708647,0.00034561378900060198
22,2.9159111058331622,0.010882566660939738,0.0065194159454292824,0.00033892335471479175
23,2.910304168474743,0.011026216845686746,0.006096519974912137,0.00031358131024599779
24,2.9016843634731919,0.011221824221377881,0.005987646694204418,0.00032863684504411312
25,2.8945540068342011,0.011297675222084405,0.0056096806614625355,0.00035593812999400848
26,2.8847324026111791,0.011567596539426477,0.0052842617883630556,0.00033849643866516683
27,2.8845043340808667,0.011439367474748665,0.005371138475554634,0.00033454752511481918
28,2.878169871826048,0.011468249131080289,0.0052109621274397692,0.00033453125351603764
29,2.8659283642460109,0.011683416978998561,0.0056341862626183596,0.00032039519095264368
30,2.859368067553878,0.011896710947134476,0.0052627017510349016,0.00034401298712814679
31,2.8519591403078683,0.012314525472635921,0.0057879516428853079,0.00033296687072113064
32,2.8408221483832468,0.012499715400773735,0.0049789871626636107,0.00034356223173295374
33,2.8264622285040377,0.012766242068385442,0.0049055310039625198,0.00033744932053463012
34,2.8108038792941143,0.012484409433111141,0.0048282436642781952,0.00032180303155544669
35,2.8000200554558066,0.01248514391149594,0.0044260572312378012,0.00036424173145122154
36,2.7883919485147466,0.012432923933282648,0.0044318798207926549,0.00037572249299936572
37,2.7744951469173174,0.012611862237702406,0.0044762191029932251,0.00033925580685786096
38,2.7572181556982525,0.012732174377475734,0.004401610068075777,0.00037055240518078249
39,2.7424414372966988,0.012807903505495793,0.0048267058788674447,0.00035643120438262171
40,2.7282814412350436,0.012807911535930763,0.0044476777387628015,0.00032135738901855568
41,2.7122701877994255,0.012575949041520802,0.004875537489392995,0.00033544360856186837
42,2.6960061452250041,0.012539304241651967,0.0051822195655923785,0.0003657641780377347
43,2.6773373676005399,0.01251199783622021,0.0052632416663287371,0.00035650846166293998
44,2.6567623714287159,0.012705642352903088,0.0053324120897589753,0.00032886741927312397
45,2.6430420918615032,0.012692690419864086,0.0047637601979295353,0.00036855196469245553
46,2.6274441274281415,0.012508145350988095,0.0055966249186598718,0.00033450223547516463
47,2.6076378004581504,0.012389654125775531,0.0053055087243164545,0.00033646408944189852
48,2.588761138755415,0.012846868269689506,0.0054321244177396814,0.00035211675199515899
49,2.5711648003994561,0.012867315660689651,0.0056928480438903006,0.0003623183007504896
50,2.5561409295334254,0.012860063575937148,0.0052943842800332657,0.0003888969018753961
51,2.5427942686565159,0.012599758571833715,0.0046520822977881232,0.00037233682289057005
52,2.5349483058719273,0.012521987099156922,0.0052126679899346662,0.00036428704045815411
53,2.520645321123077,0.012469654864718601,0.0050956598654302949,0.00036963139131845787
54,2.5031305529192851,0.01254540599382244,0.0057514447517563036,0.00035683235307991357
55,2.4841388116841721,0.012625292660469373,0.0052857625083533675,0.000365340963223498
56,2.4715071994589963,0.012402119540429832,0.0057297534659119641,0.00035550048390422406
57,2.4614778728475537,0.012541938748063525,0.0055878709708497079,0.00035463383459048681
58,2.4436869208443133,0.012562992153208464,0.0053723109938360672,0.00036940712153870096
59,2.4210105556459931,0.012431165209808798,0.0051802634095355097,0.0003810722715082107
60,2.4005783665612257,0.01277359247927333,0.0058025994600995594,0.00036946360839869812
61,2.3855698309771149,0.012961021306351534,0.0048769554546438491,0.00037911754520826281
62,2.3644748216157891,0.012476649262243095,0.0054781832899521215,0.00040346278357107786
63,2.3425002375639332,0.012220178336147164,0.0053699113008410047,0.00036735372825417881
64,2.3205679637289798,0.012249438449549873,0.0060363545498227532,0.00040673494712546791
65,2.3062527596438098,0.012081502733976852,0.0059554249695680534,0.00039279175192540581
66,2.2886427248876604,0.011832606053119603,0.0059910782430989563,0.00037779811530600681
67,2.2672636425706392,0.011693766612321533,0.0059535168055777224,0.00037302406964902408
68,2.2486387513076318,0.011618722199590818,0.005475473589376282,0.00037466859196962998
69,2.231430717315424,0.011652902196648031,0.0055585611781576007,0.00039884901256990139
70,2.2132066837792927,0.011450472332707662,0.0053680161623705473,0.00039882586709688464
71,2.1972625698422568,0.011352261612100832,0.00547584905522327,0.0004150155240869806
72,2.1815531445202074,0.011041317748540487,0.0056050463971572531,0.0003404795399081389
73,2.158349932112178,0.010969132334592954,0.0055562619249311454,0.0003668817832289898
74,2.1420942919562873,0.010779740029887014,0.0047705571426772536,0.00038577522884873465
75,2.126315495846907,0.010862149620219466,0.0058553687103052362,0.00037229007398283521
76,2.1099966185723953,0.010659721202034513,0.0048718113233401934,0.00042399683931422576
77,2.084394020880779,0.010304050533401976,0.005167863515115465,0.0004331709523874124
78,2.0598594623633462,0.0099068953493174541,0.0051919354850322669,0.00039951052634511734
79,2.0378861241599888,0.009521345102465318,0.0046934704988799833,0.00038523522541051994
80,2.0217100309971383,0.0097263626659228539,0.0053706379432374562,0.00038533849319212249
81,1.998101805822925,0.0098798768096668398,0.0045919224027664799,0.0003725237236533782
82,1.9750348189606601,0.0098360835850711901,0.0041503137777859911,0.00040583124008921608
83,1.9524226405133831,0.0093513793385440469,0.0038410699511564617,0.00042334363547445432
84,1.9325106231436604,0.0092441632632517257,0.0039303630463584684,0.00039576558829238395
85,1.9115443733985535,0.0089903763461627855,0.0035445886037528962,0.00038074495056173753
86,1.8839006106768619,0.0086924871432990502,0.0024592425488149951,0.00038856162300965504
87,1.8566051306917011,0.00827429022147959,0.0027761890277995449,0.00040187036672385731
88,1.8300254272010337,0.0080640860873162929,0.0026556450878888996,0.00042518457407460692
89,1.806733188716966,0.0079356457146998564,0.0021223978198150572,0.00041117882818164609
90,1.7809920510500088,0.0075079743522059733,0.00083007875014415517,0.00041544353651885011
91,1.7575445725834149,0.0070888415584872974,-0.00025063063232516554,0.00043523250619015768
92,1.7341175851950208,0.0066573889798441097,-0.00080989203938208656,0.00041581321504418841
93,1.7101361522735732,0.0062902435402876636,-0.0016149856800200526,0.00041622423949648501
