# bc_id=1
# bc_label=BC2_no_phase_drift
# b_I=2*gamma*(2*T-(2*M*I-I^2+2*I*I_neighbor*cos(delta)))
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=100 T1=4 Tn=6 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=32000 measure=2000 seed=2026201501 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1024000256
trajectory_id,valid,time_averaged_flux,max_I_left,max_I_right
0,1,-0.0019211717779777523,3.3830006122589111,4.7802190780639648
1,1,-0.0016779686486218331,2.829392671585083,4.060676097869873
2,1,-0.0018147333304287677,2.9340782165527344,4.5496106147766113
3,1,-0.0020435852204428828,2.7687737941741943,4.0577173233032227
4,1,-0.0036222673578158778,3.1298329830169678,3.9283668994903564
5,1,-0.0020745290077353799,2.8854718208312988,3.8058655261993408
6,1,-0.0013963545688949574,2.9971587657928467,4.3580727577209473
7,1,-0.002776456319564195,3.0680973529815674,4.2294549942016602
8,1,-0.0014145552845608339,3.2987480163574219,4.3853354454040527
9,1,-0.00035500222091716535,2.9663722515106201,5.200101375579834
10,1,-7.4783041071096318e-05,2.8522543907165527,3.9217150211334229
11,1,-0.00090463371228462219,2.7693657875061035,4.2766199111938477
12,1,-0.0014620765809156206,2.8264641761779785,4.4958934783935547
13,1,-0.0032735282876406044,3.0263159275054932,4.0106515884399414
14,1,-0.00082446992181094711,2.7666501998901367,4.0560140609741211
15,1,-0.002378328278297019,2.8561525344848633,4.3679471015930176
16,1,0.00093497714790203613,3.5733358860015869,4.2985315322875977
17,1,-0.0032067175973107915,3.3815302848815918,4.6538882255554199
18,1,-0.001370524561289783,2.8095033168792725,4.2259306907653809
19,1,0.0011251867377542746,2.7748613357543945,4.229008674621582
20,1,-0.0019802571847590258,2.6407420635223389,3.9316666126251221
21,1,-0.0024590193249179938,2.6825122833251953,4.2481837272644043
22,1,0.00051884192068570967,2.7412581443786621,4.5505642890930176
23,1,-0.001536920199800115,3.0993824005126953,3.8151123523712158
24,1,-0.0017161681039308369,2.8833818435668945,4.2251334190368652
25,1,-0.0022487408055145756,3.0091657638549805,5.3041582107543945
26,1,-0.0010330193030121712,2.8443222045898438,4.5682873725891113
27,1,-0.0014611455618766731,3.0765352249145508,4.5338959693908691
28,1,0.00023235390035171688,2.8157215118408203,3.9513788223266602
29,1,-0.0038054604692370191,2.7221460342407227,3.6931862831115723
30,1,1.7027227896259529e-06,2.754744291305542,4.0073094367980957
31,1,-0.0006503983666076294,2.7481679916381836,4.4627547264099121
32,1,-0.0031734217043786692,3.3540782928466797,3.8630321025848389
33,1,-0.00035241702346564674,2.7352490425109863,4.1984033584594727
34,1,0.00025163742084472981,3.0776517391204834,4.1310725212097168
35,1,-0.0026463879610902057,2.5981190204620361,3.9642775058746338
36,1,-0.0043542118412607982,3.061873197555542,4.9574050903320312
37,1,-0.00036891330201123558,2.7579922676086426,4.263969898223877
38,1,-0.0034995025996089639,2.8360016345977783,4.3707833290100098
39,1,-0.00029595324953734863,3.8142704963684082,4.262272834777832
40,1,-0.0028885226564467782,3.1904525756835938,4.3859014511108398
41,1,0.00032341061165678999,2.7850825786590576,3.8955178260803223
42,1,6.6481824830909983e-05,3.0474312305450439,4.708585262298584
43,1,0.00050273713605928337,2.6898431777954102,3.9486627578735352
44,1,0.00060739155919665294,2.6426725387573242,4.2122287750244141
45,1,-0.00095667870076292846,3.0883979797363281,4.0754570960998535
46,1,0.00020162080101646831,3.0201241970062256,3.9508295059204102
47,1,-0.0023882350468363046,2.6657793521881104,4.0110177993774414
48,1,-0.0012091842837172733,2.5993742942810059,4.2181782722473145
