# bc_id=3
# bc_label=BC3_no_global_no_phase_drift
# b_I=2*gamma*(2*T-I^2)
# b_phi=0
# sigma_I=2*sqrt(2*gamma*T*I)
# sigma_phi=sqrt(2*gamma*T/I)
# n=50 T1=10 Tn=2 gamma=0.1 dt_max=0.0005 adaptive_dt=min(dt_max,1/max_drift),floor=1e-5
# burnin=8000 measure=2000 seed=2026291001 requested_trajectories=256 valid_trajectories=256 discarded_trajectories=0 integration_step_samples=1041177200
trajectory_id,valid,time_averaged_flux,max_I_left,max_I_right
0,1,0.53554646034066,62.480167388916016,47.736438751220703
1,1,0.5604776013741688,55.616165161132812,56.215568542480469
2,1,0.50369805660760469,72.764732360839844,47.875770568847656
3,1,0.62468884042940398,63.183223724365234,56.41180419921875
4,1,0.59666398852171021,58.212677001953125,51.053840637207031
5,1,0.59241742921635443,60.210891723632812,45.4542236328125
6,1,0.56153179087828597,60.931869506835938,47.508075714111328
7,1,0.49418783816766093,57.346012115478516,48.374805450439453
8,1,0.47521986860422655,59.28192138671875,54.519794464111328
9,1,0.43418103429330945,48.8116455078125,48.131938934326172
10,1,0.51240325034178535,65.609359741210938,57.538162231445312
11,1,0.35228707911217239,61.29180908203125,49.224014282226562
12,1,0.52408895726027127,53.847496032714844,45.221874237060547
13,1,0.52558605154985416,48.336284637451172,44.715961456298828
14,1,0.43893535679934537,55.26025390625,49.9930419921875
15,1,0.53569980697142039,57.597011566162109,53.142902374267578
16,1,0.49053795044336779,60.0430908203125,54.351833343505859
17,1,0.49200006929366691,65.561050415039062,63.275802612304688
18,1,0.4765011061159245,59.707691192626953,50.998287200927734
19,1,0.53700701641324766,61.937744140625,53.285816192626953
20,1,0.44417041679282487,55.900875091552734,46.118988037109375
21,1,0.48141470443448325,59.768924713134766,63.726367950439453
22,1,0.46497013651120911,62.594123840332031,42.493953704833984
23,1,0.48491726253114553,61.998748779296875,47.221240997314453
24,1,0.61262930681805761,58.484634399414062,54.77386474609375
25,1,0.42857641152447523,56.302303314208984,43.770641326904297
26,1,0.5234095063825176,53.722335815429688,43.986465454101562
27,1,0.46820585020586974,59.701881408691406,45.833160400390625
28,1,0.49309226499547176,50.635875701904297,45.452701568603516
29,1,0.42640381070882272,54.649887084960938,50.200897216796875
30,1,0.53415372477938705,68.909210205078125,48.823421478271484
31,1,0.54156119641225897,51.508903503417969,43.587680816650391
32,1,0.58288191234679221,61.135623931884766,47.273899078369141
33,1,0.59139054554005011,59.008148193359375,48.653873443603516
34,1,0.4313513420098149,55.176872253417969,60.466087341308594
35,1,0.46714028667186996,57.264251708984375,47.095260620117188
36,1,0.51302498644314953,53.693466186523438,49.364425659179688
37,1,0.42299209703567919,59.664722442626953,52.196449279785156
38,1,0.47141171152268407,50.404293060302734,52.765071868896484
39,1,0.44979697591280537,58.478424072265625,55.974006652832031
40,1,0.46610642454794016,58.293506622314453,49.52362060546875
41,1,0.47562625834354111,67.710189819335938,49.626258850097656
42,1,0.38049551332121345,57.488681793212891,55.898670196533203
43,1,0.54829683413338781,57.285430908203125,47.137302398681641
44,1,0.47865953371428721,59.489181518554688,43.267005920410156
45,1,0.39495891772976088,55.750751495361328,46.818527221679688
46,1,0.49822030957309099,60.682075500488281,59.329757690429688
47,1,0.51047655441744255,55.611015319824219,62.350147247314453
48,1,0.58872154336225002,63.123176574707031,50.011287689208984
49,1,0.61210580023594863,62.398014068603516,50.346836090087891
50,1,0.56025890449437699,54.523757934570312,50.349468231201172
51,1,0.49384067983561275,61.772136688232422,45.529510498046875
52,1,0.44647520683870029,49.858589172363281,42.53759765625
53,1,0.52095168638123523,51.037017822265625,53.850852966308594
54,1,0.5467506659333311,58.127040863037109,53.524826049804688
55,1,0.46354655562415642,68.065940856933594,53.066192626953125
56,1,0.50166927726361377,52.640804290771484,42.388645172119141
57,1,0.45389423965508119,54.854728698730469,55.985507965087891
58,1,0.40330936015817964,69.488800048828125,45.785392761230469
59,1,0.51632648617807397,56.424293518066406,53.562763214111328
60,1,0.48848313193450099,51.921562194824219,49.355960845947266
61,1,0.37962048595930653,57.595863342285156,47.411144256591797
62,1,0.47516529631090809,55.694370269775391,48.178333282470703
63,1,0.38771423800790167,59.095119476318359,50.736572265625
64,1,0.49962867831828617,55.172077178955078,44.245170593261719
65,1,0.50306222243708776,64.049720764160156,52.884204864501953
66,1,0.53305024986734251,65.453857421875,58.198467254638672
67,1,0.54660176241525638,67.165451049804688,51.823886871337891
68,1,0.45063829923598175,65.342788696289062,49.294055938720703
69,1,0.56393040835608121,56.159877777099609,51.778629302978516
70,1,0.50969566719241211,64.359825134277344,51.745658874511719
71,1,0.43529717270390078,53.535820007324219,42.757717132568359
72,1,0.64555386791354663,60.183567047119141,44.928752899169922
73,1,0.6050189063323459,53.088394165039062,56.607757568359375
74,1,0.47574803482674438,59.783470153808594,48.541061401367188
75,1,0.52169368510452563,66.037384033203125,58.254013061523438
76,1,0.53327310433788033,54.592735290527344,43.209526062011719
77,1,0.51532564546916271,58.617782592773438,52.586513519287109
78,1,0.51518094116201574,52.731002807617188,58.005615234375
79,1,0.43164645015943137,50.932338714599609,56.308849334716797
80,1,0.53137208931838209,71.062667846679688,66.515556335449219
81,1,0.48179164391611518,59.938999176025391,50.908042907714844
